start,end,distance_m,terrain_max_m,cruise_altitude_m,climb_m,descent_m,clearance_m
O01,S001,3054.0236075149764,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,50.0
O01,S002,7411.533814153884,258.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062,50.0
O01,S003,7263.826967765937,511.80413818359375,561.8041381835938,434.10413818359376,223.30413818359375,50.0
O01,S004,7714.681646286507,348.2391662597656,398.2391662597656,270.53916625976564,169.9391662597656,50.0
O01,S005,5280.5933691157215,276.410888671875,326.410888671875,198.710888671875,131.410888671875,50.0
O01,S006,3186.19885235084,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874,50.0
O01,S007,4534.717374921003,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,50.0
O01,S008,8079.110448788476,322.9093322753906,372.9093322753906,245.20933227539064,102.00933227539065,50.0
O01,S009,5705.303446619009,243.22891235351562,293.2289123535156,165.52891235351564,63.228912353515625,50.0
O01,S010,4784.6745062617865,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,50.0
O01,S011,2808.106412371872,245.36175537109375,295.36175537109375,167.66175537109376,83.26175537109376,50.0
O01,S012,7391.140162515387,363.3009948730469,413.3009948730469,285.6009948730469,133.50099487304686,50.0
O01,S013,4849.536854548781,349.18182373046875,399.18182373046875,271.48182373046876,47.48182373046876,50.0
O01,S014,5419.5362999417475,541.9473876953125,591.9473876953125,464.2473876953125,240.9473876953125,50.0
O01,S015,6009.764892220415,521.7992553710938,571.7992553710938,444.09925537109376,97.29925537109375,50.0
S001,O01,3054.0236075149764,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,50.0
S001,S002,4360.757979220348,259.2448425292969,309.2448425292969,125.24484252929688,89.74484252929688,50.0
S001,S003,7660.333413794971,505.94439697265625,555.9443969726562,371.94439697265625,217.44439697265625,50.0
S001,S004,4927.668400447896,358.7777404785156,408.7777404785156,224.77774047851562,180.4777404785156,50.0
S001,S005,2928.2450227459353,266.13800048828125,316.13800048828125,132.13800048828125,121.13800048828125,50.0
S001,S006,5296.500843364797,343.9356384277344,393.9356384277344,209.93563842773438,79.13563842773436,50.0
S001,S007,5188.755906060896,389.17535400390625,439.17535400390625,255.17535400390625,90.67535400390625,50.0
S001,S008,5968.762003083185,316.78717041015625,366.78717041015625,182.78717041015625,95.88717041015627,50.0
S001,S009,2651.3139266678877,243.22891235351562,293.2289123535156,109.22891235351562,63.228912353515625,50.0
S001,S010,3710.2964068657852,381.0796813964844,431.0796813964844,247.07968139648438,79.47968139648435,50.0
S001,S011,2354.5107772214506,226.38790893554688,276.3879089355469,92.38790893554688,64.28790893554688,50.0
S001,S012,4698.611392664784,385.599609375,435.599609375,251.599609375,155.799609375,50.0
S001,S013,2899.330449684421,328.3608093261719,378.3608093261719,194.36080932617188,26.660809326171886,50.0
S001,S014,5196.473098058807,550.0504150390625,600.0504150390625,416.0504150390625,249.0504150390625,50.0
S001,S015,5501.2796629594595,547.315185546875,597.315185546875,413.315185546875,122.815185546875,50.0
S002,O01,7411.533814153884,258.9542541503906,308.9542541503906,89.45425415039062,181.25425415039064,50.0
S002,S001,4360.757979220348,259.2448425292969,309.2448425292969,89.74484252929688,125.24484252929688,50.0
S002,S003,9778.984713151753,571.1314086914062,621.1314086914062,401.63140869140625,282.63140869140625,50.0
S002,S004,2248.9543920264437,283.658203125,333.658203125,114.158203125,105.35820312499999,50.0
S002,S005,3476.8588327008497,356.79864501953125,406.79864501953125,187.29864501953125,211.79864501953125,50.0
S002,S006,9185.738653365108,344.2987060546875,394.2987060546875,174.7987060546875,79.49870605468749,50.0
S002,S007,8119.9749226430185,424.7281799316406,474.7281799316406,255.22817993164062,126.22817993164062,50.0
S002,S008,4804.608941252063,331.8424987792969,381.8424987792969,162.34249877929688,110.9424987792969,50.0
S002,S009,1724.5836381782458,278.2866516113281,328.2866516113281,108.78665161132812,98.28665161132812,50.0
S002,S010,5917.156741090852,441.85394287109375,491.85394287109375,272.35394287109375,140.25394287109373,50.0
S002,S011,5782.491471312821,311.78533935546875,361.78533935546875,142.28533935546875,149.68533935546876,50.0
S002,S012,3072.0905890638455,358.1782531738281,408.1782531738281,188.67825317382812,128.3782531738281,50.0
S002,S013,4540.229317505124,327.2103271484375,377.2103271484375,157.7103271484375,25.51032714843751,50.0
S002,S014,7654.791491973555,457.5832214355469,507.5832214355469,288.0832214355469,156.58322143554688,50.0
S002,S015,7166.819354963631,593.7526245117188,643.7526245117188,424.25262451171875,169.25262451171875,50.0
S003,O01,7263.826967765937,511.80413818359375,561.8041381835938,223.30413818359375,434.10413818359376,50.0
S003,S001,7660.333413794971,505.94439697265625,555.9443969726562,217.44439697265625,371.94439697265625,50.0
S003,S002,9778.984713151753,571.1314086914062,621.1314086914062,282.63140869140625,401.63140869140625,50.0
S003,S004,8234.251527045497,674.2682495117188,724.2682495117188,385.76824951171875,495.96824951171874,50.0
S003,S005,6341.959268764235,533.8880615234375,583.8880615234375,245.3880615234375,388.8880615234375,50.0
S003,S006,4801.178457963222,612.3626708984375,662.3626708984375,323.8626708984375,347.5626708984375,50.0
S003,S007,2734.6883251703875,360.6993408203125,410.6993408203125,72.1993408203125,62.1993408203125,50.0
S003,S008,6255.275706641216,746.0787353515625,796.0787353515625,457.5787353515625,525.1787353515625,50.0
S003,S009,8900.023983514806,544.588134765625,594.588134765625,256.088134765625,364.588134765625,50.0
S003,S010,11226.030879235002,466.96417236328125,516.9641723632812,178.46417236328125,165.36417236328123,50.0
S003,S011,5357.674991345906,485.42230224609375,535.4223022460938,196.92230224609375,323.3223022460937,50.0
S003,S012,11820.289412987078,544.5889282226562,594.5889282226562,256.08892822265625,314.78892822265624,50.0
S003,S013,10559.663023062196,505.94439697265625,555.9443969726562,217.44439697265625,204.24439697265626,50.0
S003,S014,12386.88471069269,542.7295532226562,592.7295532226562,254.22955322265625,241.72955322265625,50.0
S003,S015,2616.9607414636503,437.89886474609375,487.89886474609375,149.39886474609375,13.39886474609375,50.0
S004,O01,7714.681646286507,348.2391662597656,398.2391662597656,169.9391662597656,270.53916625976564,50.0
S004,S001,4927.668400447896,358.7777404785156,408.7777404785156,180.4777404785156,224.77774047851562,50.0
S004,S002,2248.9543920264437,283.658203125,333.658203125,105.35820312499999,114.158203125,50.0
S004,S003,8234.251527045497,674.2682495117188,724.2682495117188,495.96824951171874,385.76824951171875,50.0
S004,S005,2608.294551451009,315.80657958984375,365.80657958984375,137.50657958984374,170.80657958984375,50.0
S004,S006,8706.373977539055,375.2806396484375,425.2806396484375,196.9806396484375,110.48063964843749,50.0
S004,S007,7097.409235448678,543.2369995117188,593.2369995117188,364.93699951171874,244.73699951171875,50.0
S004,S008,2612.9425415772093,336.83349609375,386.83349609375,158.53349609375,115.93349609375002,50.0
S004,S009,2985.4583447541227,275.2157897949219,325.2157897949219,96.91578979492186,95.21578979492188,50.0
S004,S010,7545.7668833224825,432.957275390625,482.957275390625,254.657275390625,131.35727539062498,50.0
S004,S011,5403.918133246597,311.138916015625,361.138916015625,132.838916015625,149.038916015625,50.0
S004,S012,5286.8273760721295,312.0069580078125,362.0069580078125,133.7069580078125,82.20695800781249,50.0
S004,S013,6196.834199747346,322.2989807128906,372.2989807128906,143.9989807128906,20.598980712890636,50.0
S004,S014,9294.319073004002,505.3861083984375,555.3861083984375,327.0861083984375,204.3861083984375,50.0
S004,S015,5649.854646912052,641.2510375976562,691.2510375976562,462.95103759765624,216.75103759765625,50.0
S005,O01,5280.5933691157215,276.410888671875,326.410888671875,131.410888671875,198.710888671875,50.0
S005,S001,2928.2450227459353,266.13800048828125,316.13800048828125,121.13800048828125,132.13800048828125,50.0
S005,S002,3476.8588327008497,356.79864501953125,406.79864501953125,211.79864501953125,187.29864501953125,50.0
S005,S003,6341.959268764235,533.8880615234375,583.8880615234375,388.8880615234375,245.3880615234375,50.0
S005,S004,2608.294551451009,315.80657958984375,365.80657958984375,170.80657958984375,137.50657958984374,50.0
S005,S006,6107.345678773729,366.7322998046875,416.7322998046875,221.7322998046875,101.93229980468749,50.0
S005,S007,4688.674242830819,467.1478271484375,517.1478271484375,322.1478271484375,168.6478271484375,50.0
S005,S008,3040.519784035267,316.78717041015625,366.78717041015625,171.78717041015625,95.88717041015627,50.0
S005,S009,2650.844495211464,313.5632019042969,363.5632019042969,168.56320190429688,133.56320190429688,50.0
S005,S010,6362.158983477257,416.15325927734375,466.15325927734375,271.15325927734375,114.55325927734373,50.0
S005,S011,2802.7636017267305,297.5489196777344,347.5489196777344,152.54891967773438,135.44891967773438,50.0
S005,S012,5624.552469240196,313.5632019042969,363.5632019042969,168.56320190429688,83.76320190429686,50.0
S005,S013,5215.452718960246,324.4444580078125,374.4444580078125,179.4444580078125,22.74445800781251,50.0
S005,S014,7996.206910845727,552.8875122070312,602.8875122070312,407.88751220703125,251.88751220703125,50.0
S005,S015,3756.1007289987383,568.6133422851562,618.6133422851562,423.61334228515625,144.11334228515625,50.0
S006,O01,3186.19885235084,316.09783935546875,366.09783935546875,51.29783935546874,238.39783935546876,50.0
S006,S001,5296.500843364797,343.9356384277344,393.9356384277344,79.13563842773436,209.93563842773438,50.0
S006,S002,9185.738653365108,344.2987060546875,394.2987060546875,79.49870605468749,174.7987060546875,50.0
S006,S003,4801.178457963222,612.3626708984375,662.3626708984375,347.5626708984375,323.8626708984375,50.0
S006,S004,8706.373977539055,375.2806396484375,425.2806396484375,110.48063964843749,196.9806396484375,50.0
S006,S005,6107.345678773729,366.7322998046875,416.7322998046875,101.93229980468749,221.7322998046875,50.0
S006,S007,2507.4538963749987,540.361328125,590.361328125,275.561328125,241.861328125,50.0
S006,S008,8061.429183547669,517.8421020507812,567.8421020507812,253.04210205078124,296.9421020507813,50.0
S006,S009,7669.726455069315,341.0712890625,391.0712890625,76.27128906249999,161.0712890625,50.0
S006,S010,7921.5762052622495,383.2227783203125,433.2227783203125,118.42277832031249,81.62277832031248,50.0
S006,S011,3409.8268591147494,350.46759033203125,400.46759033203125,85.66759033203124,188.36759033203126,50.0
S006,S012,9991.00540874686,385.3490295410156,435.3490295410156,120.54902954101561,155.5490295410156,50.0
S006,S013,7783.246213584943,344.1709289550781,394.1709289550781,79.37092895507811,42.470928955078136,50.0
S006,S014,8596.657308335378,556.662109375,606.662109375,291.862109375,255.662109375,50.0
S006,S015,4684.467491284072,601.2601318359375,651.2601318359375,336.4601318359375,176.7601318359375,50.0
S007,O01,4534.717374921003,461.9731750488281,511.9731750488281,163.47317504882812,384.27317504882814,50.0
S007,S001,5188.755906060896,389.17535400390625,439.17535400390625,90.67535400390625,255.17535400390625,50.0
S007,S002,8119.9749226430185,424.7281799316406,474.7281799316406,126.22817993164062,255.22817993164062,50.0
S007,S003,2734.6883251703875,360.6993408203125,410.6993408203125,62.1993408203125,72.1993408203125,50.0
S007,S004,7097.409235448678,543.2369995117188,593.2369995117188,244.73699951171875,364.93699951171874,50.0
S007,S005,4688.674242830819,467.1478271484375,517.1478271484375,168.6478271484375,322.1478271484375,50.0
S007,S006,2507.4538963749987,540.361328125,590.361328125,241.861328125,275.561328125,50.0
S007,S008,5911.691774962494,606.739501953125,656.739501953125,308.239501953125,385.839501953125,50.0
S007,S009,6909.13498404727,418.3708190917969,468.3708190917969,119.87081909179688,238.37081909179688,50.0
S007,S010,8600.953063992385,386.94964599609375,436.94964599609375,88.44964599609375,85.34964599609373,50.0
S007,S011,2834.4871024094664,389.17535400390625,439.17535400390625,90.67535400390625,227.07535400390626,50.0
S007,S012,9665.421630344517,407.66363525390625,457.66363525390625,109.16363525390625,177.86363525390624,50.0
S007,S013,8056.279598578932,382.5381164550781,432.5381164550781,84.03811645507812,80.83811645507814,50.0
S007,S014,9684.640719404892,530.8557739257812,580.8557739257812,232.35577392578125,229.85577392578125,50.0
S007,S015,2219.350975741213,452.918212890625,502.918212890625,154.418212890625,28.418212890625,50.0
S008,O01,8079.110448788476,322.9093322753906,372.9093322753906,102.00933227539065,245.20933227539064,50.0
S008,S001,5968.762003083185,316.78717041015625,366.78717041015625,95.88717041015627,182.78717041015625,50.0
S008,S002,4804.608941252063,331.8424987792969,381.8424987792969,110.9424987792969,162.34249877929688,50.0
S008,S003,6255.275706641216,746.0787353515625,796.0787353515625,525.1787353515625,457.5787353515625,50.0
S008,S004,2612.9425415772093,336.83349609375,386.83349609375,115.93349609375002,158.53349609375,50.0
S008,S005,3040.519784035267,316.78717041015625,366.78717041015625,95.88717041015627,171.78717041015625,50.0
S008,S006,8061.429183547669,517.8421020507812,567.8421020507812,296.9421020507813,253.04210205078124,50.0
S008,S007,5911.691774962494,606.739501953125,656.739501953125,385.839501953125,308.239501953125,50.0
S008,S009,5019.818775521816,338.620361328125,388.620361328125,117.72036132812502,158.620361328125,50.0
S008,S010,9294.307503123071,419.0903015136719,469.0903015136719,198.1903015136719,117.49030151367185,50.0
