start,end,drone_type,climb_speed_m_s,cruise_speed_m_s,descent_speed_m_s,climb_time_s,horizontal_time_s,descent_time_s,flight_time_s
O01,S001,A,3,12,2.5,48.452203369140626,254.5019672929147,35.62264404296875,338.5768147050241
O01,S001,B,3,15,2.5,48.452203369140626,203.60157383433176,35.62264404296875,287.6764212464411
O01,S001,C,2.5,15,2,58.142644042968755,203.60157383433176,44.52830505371094,306.27252293101145
O01,S002,A,3,12,2.5,60.418084716796876,617.627817846157,35.78170166015625,713.8276042231101
O01,S002,B,3,15,2.5,60.418084716796876,494.10225427692563,35.78170166015625,590.3020406538787
O01,S002,C,2.5,15,2,72.50170166015626,494.10225427692563,44.72712707519531,611.3310830122772
O01,S003,A,3,12,2.5,144.70137939453124,605.3189139804948,89.3216552734375,839.3419486484636
O01,S003,B,3,15,2.5,144.70137939453124,484.2551311843958,89.3216552734375,718.2781658523645
O01,S003,C,2.5,15,2,173.6416552734375,484.2551311843958,111.65206909179688,769.5488555496302
O01,S004,A,3,12,2.5,90.17972208658854,642.8901371905423,67.97566650390624,801.0455257810371
O01,S004,B,3,15,2.5,90.17972208658854,514.3121097524338,67.97566650390624,672.4674983429286
O01,S004,C,2.5,15,2,108.21566650390625,514.3121097524338,84.9695831298828,707.4973593862229
O01,S005,A,3,12,2.5,66.23696289062501,440.0494474263101,52.56435546875,558.8507657856851
O01,S005,B,3,15,2.5,66.23696289062501,352.0395579410481,52.56435546875,470.84087630042313
O01,S005,C,2.5,15,2,79.48435546875001,352.0395579410481,65.7054443359375,497.22935774573557
O01,S006,A,3,12,2.5,79.46594645182292,265.5165710292367,20.519135742187494,365.50165322324705
O01,S006,B,3,15,2.5,79.46594645182292,212.41325682338933,20.519135742187494,312.39833901739973
O01,S006,C,2.5,15,2,95.3591357421875,212.41325682338933,25.64891967773437,333.42131224331126
O01,S007,A,3,12,2.5,128.09105834960937,377.8931145767503,65.38927001953125,571.3734429458909
O01,S007,B,3,15,2.5,128.09105834960937,302.3144916614002,65.38927001953125,495.79482003054085
O01,S007,C,2.5,15,2,153.70927001953126,302.3144916614002,81.73658752441406,537.7603492053455
O01,S008,A,3,12,2.5,81.73644409179688,673.2592040657063,40.803732910156256,795.7993810676594
O01,S008,B,3,15,2.5,81.73644409179688,538.607363252565,40.803732910156256,661.1475402545182
