start_end,O01,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015
O01,0.0,3054.0236075149764,7411.533814153884,7263.826967765937,7714.681646286507,5280.5933691157215,3186.19885235084,4534.717374921003,8079.110448788476,5705.303446619009,4784.6745062617865,2808.106412371872,7391.140162515387,4849.536854548781,5419.5362999417475,6009.764892220415
S001,3054.0236075149764,0.0,4360.757979220348,7660.333413794971,4927.668400447896,2928.2450227459353,5296.500843364797,5188.755906060896,5968.762003083185,2651.3139266678877,3710.2964068657852,2354.5107772214506,4698.611392664784,2899.330449684421,5196.473098058807,5501.2796629594595
S002,7411.533814153884,4360.757979220348,0.0,9778.984713151753,2248.9543920264437,3476.8588327008497,9185.738653365108,8119.9749226430185,4804.608941252063,1724.5836381782458,5917.156741090852,5782.491471312821,3072.0905890638455,4540.229317505124,7654.791491973555,7166.819354963631
S003,7263.826967765937,7660.333413794971,9778.984713151753,0.0,8234.251527045497,6341.959268764235,4801.178457963222,2734.6883251703875,6255.275706641216,8900.023983514806,11226.030879235002,5357.674991345906,11820.289412987078,10559.663023062196,12386.88471069269,2616.9607414636503
S004,7714.681646286507,4927.668400447896,2248.9543920264437,8234.251527045497,0.0,2608.294551451009,8706.373977539055,7097.409235448678,2612.9425415772093,2985.4583447541227,7545.7668833224825,5403.918133246597,5286.8273760721295,6196.834199747346,9294.319073004002,5649.854646912052
S005,5280.5933691157215,2928.2450227459353,3476.8588327008497,6341.959268764235,2608.294551451009,0.0,6107.345678773729,4688.674242830819,3040.519784035267,2650.844495211464,6362.158983477257,2802.7636017267305,5624.552469240196,5215.452718960246,7996.206910845727,3756.1007289987383
S006,3186.19885235084,5296.500843364797,9185.738653365108,4801.178457963222,8706.373977539055,6107.345678773729,0.0,2507.4538963749987,8061.429183547669,7669.726455069315,7921.5762052622495,3409.8268591147494,9991.00540874686,7783.246213584943,8596.657308335378,4684.467491284072
S007,4534.717374921003,5188.755906060896,8119.9749226430185,2734.6883251703875,7097.409235448678,4688.674242830819,2507.4538963749987,0.0,5911.691774962494,6909.13498404727,8600.953063992385,2834.4871024094664,9665.421630344517,8056.279598578932,9684.640719404892,2219.350975741213
S008,8079.110448788476,5968.762003083185,4804.608941252063,6255.275706641216,2612.9425415772093,3040.519784035267,8061.429183547669,5911.691774962494,0.0,5019.818775521816,9294.307503123071,5327.2205375950225,7730.7311280642325,8055.544714856613,10975.508842233858,3929.3323094625107
S009,5705.303446619009,2651.3139266678877,1724.5836381782458,8900.023983514806,2985.4583447541227,2650.844495211464,7669.726455069315,6909.13498404727,5019.818775521816,0.0,4564.345674766632,4325.841074266331,2973.7180351331917,3211.380182761813,6315.671828574573,6364.775032059946
S010,4784.6745062617865,3710.2964068657852,5917.156741090852,11226.030879235002,7545.7668833224825,6362.158983477257,7921.5762052622495,8600.953063992385,9294.307503123071,4564.345674766632,0.0,5874.2555516550965,3951.019075213486,1378.6901866268836,1753.2001641815993,9197.582059770937
S011,2808.106412371872,2354.5107772214506,5782.491471312821,5357.674991345906,5403.918133246597,2802.7636017267305,3409.8268591147494,2834.4871024094664,5327.2205375950225,4325.841074266331,5874.2555516550965,0.0,6905.034446842321,5234.08976253383,7128.155043010001,3461.755516771228
S012,7391.140162515387,4698.611392664784,3072.0905890638455,11820.289412987078,5286.8273760721295,5624.552469240196,9991.00540874686,9665.421630344517,7730.7311280642325,2973.7180351331917,3951.019075213486,6905.034446842321,0.0,2855.3381723583707,5454.829145664104,9320.587718504818
S013,4849.536854548781,2899.330449684421,4540.229317505124,10559.663023062196,6196.834199747346,5215.452718960246,7783.246213584943,8056.279598578932,8055.544714856613,3211.380182761813,1378.6901866268836,5234.08976253383,2855.3381723583707,0.0,3127.4329177558398,8350.811075889993
S014,5419.5362999417475,5196.473098058807,7654.791491973555,12386.88471069269,9294.319073004002,7996.206910845727,8596.657308335378,9684.640719404892,10975.508842233858,6315.671828574573,1753.2001641815993,7128.155043010001,5454.829145664104,3127.4329177558398,0.0,10557.270162790164
S015,6009.764892220415,5501.2796629594595,7166.819354963631,2616.9607414636503,5649.854646912052,3756.1007289987383,4684.467491284072,2219.350975741213,3929.3323094625107,6364.775032059946,9197.582059770937,3461.755516771228,9320.587718504818,8350.811075889993,10557.270162790164,0.0
