node_id,name,longitude_deg,latitude_deg,ground_elevation_m,operation_altitude_m,east_m,north_m
O01,凤丹村无人机调度中心,109.2308517,23.0085095,127.7,127.7,0.0,0.0
S001,平旺、那龙、镇龙乡,109.2432319,23.0335927,154,184.0,1269.169921901062,2777.817111438484
S002,上良,109.2585519,23.0703271,189.5,219.5,2839.716698490673,6845.936207025278
S003,六造、那旭、都长,109.1688578,23.0402714,308.5,338.5,-6355.373355953578,3517.443919109309
S004,大站,109.2381714,23.0778414,198.3,228.3,750.3871566968315,7678.1008080523625
S005,上良、古律、那麓,109.2283003,23.0561338,165,195.0,-261.55959828932436,5274.111575089368
S006,六昌、木路,109.1997836,23.007714,284.8,314.8,-3184.9806990700627,-88.09695382351546
S007,佛子、那桑、银坑,109.1928191,23.0294186,318.5,348.5,-3898.9541341595636,2315.560046755532
S008,古麻、大站,109.2127472,23.0795113,240.9,270.9,-1856.0028796848844,7863.032427398767
S009,那龙,109.2541424,23.0552989,200,230.0,2387.6719196811728,5181.651302622434
S010,镇龙乡,109.2760168,23.0194009,321.6,351.6,4630.150275412627,1206.1585956945476
S011,那从,109.2203356,23.0319231,182.1,212.1,-1078.0696447321873,2592.918715330475
S012,镇龙乡,109.2831357,23.054464,249.8,279.8,5359.952197597734,5089.1910301555
S013,镇龙乡,109.2713839,23.0310882,321.7,351.7,4155.203398046757,2500.458442863541
S014,镇龙乡,109.2835966,23.0052097,321,351.0,5407.201871835279,-365.43347357259984
S015,六造、那托、那旭,109.1923786,23.0494548,444.5,474.5,-3944.1124797915336,4534.451544180149
