架次编号,服务区编号,机型编号,货箱编号列表,总质量（kg）,总体积（m³）,往返时间（s）,架次能耗（kWh）,返航SOC（%）
Q1-S001-01,S001,C,S001-WAT-01; S001-WAT-02; S001-WAT-03; S001-FOD-01; S001-FOD-02; S001-FOD-03; S001-HYG-01; S001-HYG-02,78.0,0.23500000000000001,618.1750458620229,2.995775804904669,62.552802438691636
Q1-S001-02,S001,C,S001-MED-01; S001-MED-02; S001-WAT-04; S001-WAT-05; S001-WAT-06; S001-WAT-07; S001-WAT-08,76.0,0.159,618.1750458620229,2.9175880955868267,63.530148805164664
Q1-S002-01,S002,B,S002-MED-01; S002-WAT-01; S002-FOD-01,25.0,0.067,1186.7240813077574,2.713472941241988,32.163176468950304
Q1-S002-02,S002,C,S002-WAT-02; S002-WAT-03; S002-WAT-04; S002-FOD-02; S002-HYG-01,56.0,0.14400000000000002,1231.8421660245544,5.721356203945945,28.48304745067569
Q1-S003-01,S003,B,S003-MED-01; S003-WAT-01; S003-FOD-01,25.0,0.067,1450.6096650380623,2.7800780342326075,30.49804914418481
Q1-S003-02,S003,C,S003-WAT-02; S003-WAT-03; S003-WAT-04; S003-FOD-02; S003-HYG-01,56.0,0.14400000000000002,1560.1777110992603,5.7653646949838375,27.93294131270203
Q1-S004-01,S004,C,S004-MED-01; S004-WAT-01; S004-WAT-02; S004-WAT-03; S004-FOD-01; S004-HYG-01,59.0,0.156,1425.0547187724458,6.152860129174583,23.089248385317717
Q1-S005-01,S005,C,S005-MED-01; S005-WAT-01; S005-WAT-02; S005-WAT-03; S005-FOD-01; S005-HYG-01,59.0,0.156,1001.1887154914712,4.222137373445114,47.223282831936075
Q1-S006-01,S006,C,S006-MED-01; S006-WAT-01; S006-WAT-02; S006-WAT-03; S006-FOD-01; S006-HYG-01,59.0,0.156,685.5526244866224,2.5979362904386822,67.52579636951648
Q1-S007-01,S007,C,S007-MED-01; S007-WAT-01; S007-WAT-02; S007-FOD-01; S007-HYG-01,45.0,0.129,1097.6006984106912,3.4110038084433194,57.36245239445851
Q1-S008-01,S008,C,S008-MED-01; S008-WAT-01; S008-WAT-02; S008-FOD-01; S008-HYG-01,45.0,0.129,1389.7115246008332,5.836020667966359,27.04974165042051
Q1-S009-01,S009,B,S009-MED-01; S009-WAT-01; S009-FOD-01,25.0,0.067,928.4628643343575,2.0962654017373348,47.59336495656663
Q1-S010-01,S010,B,S010-MED-01; S010-WAT-01; S010-FOD-01,25.0,0.067,925.4035197802173,1.823216564231414,54.41958589421465
Q1-S011-01,S011,B,S011-MED-01; S011-WAT-01; S011-FOD-01,25.0,0.067,558.4247628605204,1.0739366863951036,73.15158284012242
Q1-S012-01,S012,B,S012-MED-01; S012-WAT-01; S012-FOD-01,25.0,0.067,1292.8268141491867,2.7525999542899324,31.185001142751688
Q1-S013-01,S013,B,S013-MED-01; S013-WAT-01; S013-FOD-01,25.0,0.067,880.5115887445249,1.8248281910807473,54.37929522298132
Q1-S014-01,S014,B,S014-MED-01; S014-WAT-01; S014-FOD-01,25.0,0.067,1239.7476752786915,2.1402909781417883,46.49272554645529
Q1-S015-01,S015,B,S015-MED-01; S015-WAT-01; S015-FOD-01,25.0,0.067,1198.3275601736595,2.3075285057525154,42.31178735618711
