安全余量,服务区,无法交付类别,单箱质量kg,机型,单箱往返能耗kWh,可用预算kWh,单箱是否可行
0.4,S004,饮用水,14,A,3.0353051994065083,2.6999999999999997,不可行
0.4,S004,饮用水,14,B,2.501251581998628,2.4,不可行
0.4,S004,饮用水,14,C,4.975728034918761,4.8,不可行
0.4,S008,医疗物资,3,A,3.0154120621045486,2.6999999999999997,不可行
0.4,S008,医疗物资,3,B,2.4123462738763477,2.4,不可行
0.4,S008,医疗物资,3,C,5.076128030943584,4.8,不可行
0.4,S008,饮用水,14,A,3.146459854356152,2.6999999999999997,不可行
0.4,S008,饮用水,14,B,2.589336252272207,2.4,不可行
0.4,S008,饮用水,14,C,5.178588212064751,4.8,不可行
0.4,S008,应急食品,8,A,3.0624858497464924,2.6999999999999997,不可行
0.4,S008,应急食品,8,B,2.4735150647595305,2.4,不可行
0.4,S008,应急食品,8,C,5.114070125209643,4.8,不可行
0.4,S008,生活卫生用品,6,A,3.0410236755457847,2.6999999999999997,不可行
0.4,S008,生活卫生用品,6,B,2.445278098845157,2.4,不可行
0.4,S008,生活卫生用品,6,C,5.096953486596645,4.8,不可行
