服务区,架次数,货箱数,质量kg,体积m³,能耗kWh,累计作业时间s,A型架次,B型架次,C型架次
S001,2,15,154.0,0.394,5.913363900491496,3186.350091724046,0,0,2
S002,2,8,81.0,0.21100000000000002,8.434829145187933,3858.566247332312,0,1,1
S003,2,8,81.0,0.21100000000000002,8.545442729216445,4450.787376137323,0,1,1
S004,1,6,59.0,0.156,6.152860129174583,2301.054718772446,0,0,1
S005,1,6,59.0,0.156,4.222137373445114,1877.1887154914712,0,0,1
S006,1,6,59.0,0.156,2.5979362904386822,1561.5526244866223,0,0,1
S007,1,5,45.0,0.129,3.4110038084433194,1907.6006984106912,0,0,1
S008,1,5,45.0,0.129,5.836020667966359,2199.7115246008334,0,0,1
S009,1,3,25.0,0.067,2.0962654017373348,1558.4628643343576,0,1,0
S010,1,3,25.0,0.067,1.823216564231414,1555.4035197802173,0,1,0
S011,1,3,25.0,0.067,1.0739366863951036,1188.4247628605203,0,1,0
S012,1,3,25.0,0.067,2.7525999542899324,1922.8268141491867,0,1,0
S013,1,3,25.0,0.067,1.8248281910807473,1510.511588744525,0,1,0
S014,1,3,25.0,0.067,2.1402909781417883,1869.7476752786915,0,1,0
S015,1,3,25.0,0.067,2.3075285057525154,1828.3275601736595,0,1,0
