row_index,sortie,service,drone,box_position,box_id,category,mass_kg,volume_m3
0,Q1-S001-01,S001,C,0,S001-WAT-01,饮用水,14,0.027
0,Q1-S001-01,S001,C,1,S001-WAT-02,饮用水,14,0.027
0,Q1-S001-01,S001,C,2,S001-WAT-03,饮用水,14,0.027
0,Q1-S001-01,S001,C,3,S001-FOD-01,应急食品,8,0.028
0,Q1-S001-01,S001,C,4,S001-FOD-02,应急食品,8,0.028
0,Q1-S001-01,S001,C,5,S001-FOD-03,应急食品,8,0.028
0,Q1-S001-01,S001,C,6,S001-HYG-01,生活卫生用品,6,0.035
0,Q1-S001-01,S001,C,7,S001-HYG-02,生活卫生用品,6,0.035
1,Q1-S001-02,S001,C,0,S001-MED-01,医疗物资,3,0.012
1,Q1-S001-02,S001,C,1,S001-MED-02,医疗物资,3,0.012
1,Q1-S001-02,S001,C,2,S001-WAT-04,饮用水,14,0.027
1,Q1-S001-02,S001,C,3,S001-WAT-05,饮用水,14,0.027
1,Q1-S001-02,S001,C,4,S001-WAT-06,饮用水,14,0.027
1,Q1-S001-02,S001,C,5,S001-WAT-07,饮用水,14,0.027
1,Q1-S001-02,S001,C,6,S001-WAT-08,饮用水,14,0.027
2,Q1-S002-01,S002,B,0,S002-MED-01,医疗物资,3,0.012
2,Q1-S002-01,S002,B,1,S002-WAT-01,饮用水,14,0.027
2,Q1-S002-01,S002,B,2,S002-FOD-01,应急食品,8,0.028
3,Q1-S002-02,S002,C,0,S002-WAT-02,饮用水,14,0.027
3,Q1-S002-02,S002,C,1,S002-WAT-03,饮用水,14,0.027
3,Q1-S002-02,S002,C,2,S002-WAT-04,饮用水,14,0.027
3,Q1-S002-02,S002,C,3,S002-FOD-02,应急食品,8,0.028
3,Q1-S002-02,S002,C,4,S002-HYG-01,生活卫生用品,6,0.035
4,Q1-S003-01,S003,B,0,S003-MED-01,医疗物资,3,0.012
4,Q1-S003-01,S003,B,1,S003-WAT-01,饮用水,14,0.027
4,Q1-S003-01,S003,B,2,S003-FOD-01,应急食品,8,0.028
5,Q1-S003-02,S003,C,0,S003-WAT-02,饮用水,14,0.027
