service,sorties,boxes,mass_kg,volume_m3,operation_s,energy_kwh,preparation_s,loading_s,flight_s,handover_s,box_handover_s,horizontal_kwh,climb_kwh,A,B,C
S001,2,15,154.0,0.394,3186.350091724046,5.913363900491496,600.0,450.0,1236.3500917240458,360.0,540.0,5.704685478099478,0.20867842239201917,0,0,2
S002,2,8,81.0,0.21100000000000002,3858.566247332312,8.434829145187933,600.0,240.0,2418.566247332312,330.0,270.0,8.241116888152998,0.1937122570349329,0,1,1
S003,2,8,81.0,0.21100000000000002,4450.787376137323,8.545442729216445,600.0,240.0,3010.7873761373226,330.0,270.0,8.076877013278665,0.46856571593777907,0,1,1
S004,1,6,59.0,0.156,2301.054718772446,6.152860129174583,300.0,180.0,1425.0547187724458,180.0,216.0,5.975980071666285,0.17688005750829647,0,0,1
S005,1,6,59.0,0.156,1877.1887154914712,4.222137373445114,300.0,180.0,1001.1887154914712,180.0,216.0,4.090476080189082,0.1316612932560323,0,0,1
S006,1,6,59.0,0.156,1561.5526244866223,2.5979362904386822,300.0,180.0,685.5526244866224,180.0,216.0,2.468107138961451,0.12982915147723115,0,0,1
S007,1,5,45.0,0.129,1907.6006984106912,3.4110038084433194,300.0,150.0,1097.6006984106912,180.0,180.0,3.200721678673755,0.2102821297695643,0,0,1
S008,1,5,45.0,0.129,2199.7115246008334,5.836020667966359,300.0,150.0,1389.7115246008332,180.0,180.0,5.70244666202321,0.13357400594314944,0,0,1
S009,1,3,25.0,0.067,1558.4628643343576,2.0962654017373348,300.0,90.0,928.4628643343575,150.0,90.0,2.0243519304347117,0.07191347130262292,0,1,0
S010,1,3,25.0,0.067,1555.4035197802173,1.823216564231414,300.0,90.0,925.4035197802173,150.0,90.0,1.6976949892109054,0.1255215750205087,0,1,0
S011,1,3,25.0,0.067,1188.4247628605203,1.0739366863951036,300.0,90.0,558.4247628605204,150.0,90.0,0.9963704279602887,0.07756625843481488,0,1,0
S012,1,3,25.0,0.067,1922.8268141491867,2.7525999542899324,300.0,90.0,1292.8268141491867,150.0,90.0,2.622519379748025,0.13008057454190725,0,1,0
S013,1,3,25.0,0.067,1510.511588744525,1.8248281910807473,300.0,90.0,880.5115887445249,150.0,90.0,1.7207094039910897,0.1041187870896575,0,1,0
S014,1,3,25.0,0.067,1869.7476752786915,2.1402909781417883,300.0,90.0,1239.7476752786915,150.0,90.0,1.9229562237131437,0.21733475442864453,0,1,0
S015,1,3,25.0,0.067,1828.3275601736595,2.3075285057525154,300.0,90.0,1198.3275601736595,150.0,90.0,2.132380735723131,0.1751477700293847,0,1,0
