service,drone,reserve,safe_payload_kg,reason,energy_budget_kwh,energy_at_limit_kwh,rated_payload_kg,reachable
S001,A,0.05,25,额定载质量限制,4.2749999999999995,1.3127102413808114,25,True
S001,B,0.05,30,额定载质量限制,3.8,1.2739409718481534,30,True
S001,C,0.05,80,额定载质量限制,7.6,3.08170436066632,80,True
S002,A,0.05,25,额定载质量限制,4.2749999999999995,3.0905097276380133,25,True
S002,B,0.05,30,额定载质量限制,3.8,2.998820311876019,30,True
S002,C,0.05,80,额定载质量限制,7.6,7.347947548727337,80,True
S003,A,0.05,25,额定载质量限制,4.2749999999999995,3.1570180488003334,25,True
S003,B,0.05,30,额定载质量限制,3.8,3.0645901579839023,30,True
S003,C,0.05,80,额定载质量限制,7.6,7.382826534199005,80,True
S004,A,0.05,25,额定载质量限制,4.2749999999999995,3.266691534200595,25,True
S004,B,0.05,30,额定载质量限制,3.8,3.169798492551682,30,True
S004,C,0.05,78.95869493484497,往返安全能量限制,7.6,7.599999954841055,80,True
S005,A,0.05,25,额定载质量限制,4.2749999999999995,2.244865011388093,25,True
S005,B,0.05,30,额定载质量限制,3.8,2.178257601126719,30,True
S005,C,0.05,80,额定载质量限制,7.6,5.292642814980954,80,True
S006,A,0.05,25,额定载质量限制,4.2749999999999995,1.3896826004864364,25,True
S006,B,0.05,30,额定载质量限制,3.8,1.3500226341272559,30,True
S006,C,0.05,80,额定载质量限制,7.6,3.2532717885603226,80,True
S007,A,0.05,25,额定载质量限制,4.2749999999999995,2.0179724910850116,25,True
S007,B,0.05,30,额定载质量限制,3.8,1.95981561942133,30,True
S007,C,0.05,80,额定载质量限制,7.6,4.6796101703532695,80,True
S008,A,0.05,25,额定载质量限制,4.2749999999999995,3.387190459625516,25,True
S008,B,0.05,30,额定载质量限制,3.8,3.2871572498746544,30,True
S008,C,0.05,75.93930304050446,往返安全能量限制,7.6,7.59999999918996,80,True
S009,A,0.05,25,额定载质量限制,4.2749999999999995,2.3868888130198633,25,True
S009,B,0.05,30,额定载质量限制,3.8,2.3164140175598926,30,True
S009,C,0.05,80,额定载质量限制,7.6,5.669612668817532,80,True
S010,A,0.05,25,额定载质量限制,4.2749999999999995,2.0707297630186403,25,True
S010,B,0.05,30,额定载质量限制,3.8,2.011040412354545,30,True
S010,C,0.05,80,额定载质量限制,7.6,4.858856926614966,80,True
S011,A,0.05,25,额定载质量限制,4.2749999999999995,1.2195961128656,25,True
S011,B,0.05,30,额定载质量限制,3.8,1.1839226028325527,30,True
S011,C,0.05,80,额定载质量限制,7.6,2.8532102708956293,80,True
S012,A,0.05,25,额定载质量限制,4.2749999999999995,3.1314205551132304,25,True
S012,B,0.05,30,额定载质量限制,3.8,3.0391455377960237,30,True
S012,C,0.05,80,额定载质量限制,7.6,7.398904295159435,80,True
S013,A,0.05,25,额定载质量限制,4.2749999999999995,2.07421509600092,25,True
S013,B,0.05,30,额定载质量限制,3.8,2.014429642036623,30,True
S013,C,0.05,80,额定载质量限制,7.6,4.89171403094015,80,True
S014,A,0.05,25,额定载质量限制,4.2749999999999995,2.4255872304885484,25,True
S014,B,0.05,30,额定载质量限制,3.8,2.3552205378029694,30,True
S014,C,0.05,80,额定载质量限制,7.6,5.607586660887968,80,True
S015,A,0.05,25,额定载质量限制,4.2749999999999995,2.6193442676312952,25,True
S015,B,0.05,30,额定载质量限制,3.8,2.544527926579269,30,True
S015,C,0.05,80,额定载质量限制,7.6,6.133265017718501,80,True
S001,A,0.1,25,额定载质量限制,4.05,1.3127102413808114,25,True
S001,B,0.1,30,额定载质量限制,3.6,1.2739409718481534,30,True
S001,C,0.1,80,额定载质量限制,7.2,3.08170436066632,80,True
S002,A,0.1,25,额定载质量限制,4.05,3.0905097276380133,25,True
S002,B,0.1,30,额定载质量限制,3.6,2.998820311876019,30,True
