row_index,sortie,service,drone,box_count,mass_kg,volume_m3,flight_s,operation_s,energy_kwh,return_soc,rated_payload_kg,rated_volume_m3,battery_kwh,mass_utilization,volume_utilization,reserve,preparation_s,loading_s,handover_s,box_handover_s,horizontal_kwh,climb_kwh,box_ids
0,Q1-S001-01,S001,C,8,78.0,0.23500000000000001,618.1750458620229,1626.175045862023,2.995775804904669,0.6255280243869163,80,0.25,8,0.975,0.9400000000000001,0.2,300,240,180,288,2.8908866471806856,0.1048891577239841,S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02
1,Q1-S001-02,S001,C,7,76.0,0.159,618.1750458620229,1560.175045862023,2.9175880955868267,0.6353014880516467,80,0.25,8,0.95,0.636,0.2,300,210,180,252,2.813798830918792,0.10378926466803508,S001-MED-01;S001-MED-02;S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-WAT-07;S001-WAT-08
2,Q1-S002-01,S002,B,3,25.0,0.067,1186.7240813077574,1816.7240813077574,2.713472941241988,0.32163176468950305,30,0.073,4,0.8333333333333334,0.9178082191780823,0.2,300,90,150,90,2.6297554415016675,0.08371749974031978,S002-MED-01;S002-WAT-01;S002-FOD-01
3,Q1-S002-02,S002,C,5,56.0,0.14400000000000002,1231.8421660245544,2041.8421660245544,5.721356203945945,0.2848304745067569,80,0.25,8,0.7,0.5760000000000001,0.2,300,150,180,180,5.6113614466513315,0.1099947572946131,S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-02;S002-HYG-01
4,Q1-S003-01,S003,B,3,25.0,0.067,1450.6096650380623,2080.6096650380623,2.7800780342326075,0.30498049144184813,30,0.073,4,0.8333333333333334,0.9178082191780823,0.2,300,90,150,90,2.577346197642595,0.2027318365900122,S003-MED-01;S003-WAT-01;S003-FOD-01
5,Q1-S003-02,S003,C,5,56.0,0.14400000000000002,1560.1777110992603,2370.1777110992603,5.7653646949838375,0.2793294131270203,80,0.25,8,0.7,0.5760000000000001,0.2,300,150,180,180,5.499530815636071,0.26583387934776687,S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-02;S003-HYG-01
6,Q1-S004-01,S004,C,6,59.0,0.156,1425.0547187724458,2301.054718772446,6.152860129174583,0.23089248385317718,80,0.25,8,0.7375,0.624,0.2,300,180,180,216,5.975980071666285,0.17688005750829647,S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01
7,Q1-S005-01,S005,C,6,59.0,0.156,1001.1887154914712,1877.1887154914712,4.222137373445114,0.47223282831936075,80,0.25,8,0.7375,0.624,0.2,300,180,180,216,4.090476080189082,0.1316612932560323,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01
8,Q1-S006-01,S006,C,6,59.0,0.156,685.5526244866224,1561.5526244866223,2.5979362904386822,0.6752579636951648,80,0.25,8,0.7375,0.624,0.2,300,180,180,216,2.468107138961451,0.12982915147723115,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01
9,Q1-S007-01,S007,C,5,45.0,0.129,1097.6006984106912,1907.6006984106912,3.4110038084433194,0.5736245239445851,80,0.25,8,0.5625,0.516,0.2,300,150,180,180,3.200721678673755,0.2102821297695643,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01
10,Q1-S008-01,S008,C,5,45.0,0.129,1389.7115246008332,2199.7115246008334,5.836020667966359,0.2704974165042051,80,0.25,8,0.5625,0.516,0.2,300,150,180,180,5.70244666202321,0.13357400594314944,S008-MED-01;S008-WAT-01;S008-WAT-02;S008-FOD-01;S008-HYG-01
11,Q1-S009-01,S009,B,3,25.0,0.067,928.4628643343575,1558.4628643343576,2.0962654017373348,0.4759336495656663,30,0.073,4,0.8333333333333334,0.9178082191780823,0.2,300,90,150,90,2.0243519304347117,0.07191347130262292,S009-MED-01;S009-WAT-01;S009-FOD-01
12,Q1-S010-01,S010,B,3,25.0,0.067,925.4035197802173,1555.4035197802173,1.823216564231414,0.5441958589421465,30,0.073,4,0.8333333333333334,0.9178082191780823,0.2,300,90,150,90,1.6976949892109054,0.1255215750205087,S010-MED-01;S010-WAT-01;S010-FOD-01
