安全余量,服务区,无法交付类别,单箱质量kg,机型,单箱往返能耗kWh,可用预算kWh,单箱是否可行
0.4,S004,饮用水,14,A,3.0353051994065083,2.6999999999999997,不可行
0.4,S004,饮用水,14,B,2.501251581998628,2.4,不可行
0.4,S004,饮用水,14,C,4.975728034918761,4.8,不可行
0.4,S008,医疗物资,3,A,3.0154120621045486,2.6999999999999997,不可行
0.4,S008,医疗物资,3,B,2.4123462738763477,2.4,不可行
0.4,S008,医疗物资,3,C,5.076128030943584,4.8,不可行
0.4,S008,饮用水,14,A,3.146459854356152,2.6999999999999997,不可行
0.4,S008,饮用水,14,B,2.589336252272207,2.4,不可行
0.4,S008,饮用水,14,C,5.178588212064751,4.8,不可行
0.4,S008,应急食品,8,A,3.0624858497464924,2.6999999999999997,不可行
0.4,S008,应急食品,8,B,2.4735150647595305,2.4,不可行
0.4,S008,应急食品,8,C,5.114070125209643,4.8,不可行
0.4,S008,生活卫生用品,6,A,3.0410236755457847,2.6999999999999997,不可行
0.4,S008,生活卫生用品,6,B,2.445278098845157,2.4,不可行
0.4,S008,生活卫生用品,6,C,5.096953486596645,4.8,不可行
0.45,S002,医疗物资,3,A,2.753088210341005,2.475,不可行
0.45,S002,医疗物资,3,B,2.2007583370552024,2.2,不可行
0.45,S002,医疗物资,3,C,4.643545377606388,4.4,不可行
0.45,S002,饮用水,14,A,2.871489106123694,2.475,不可行
0.45,S002,饮用水,14,B,2.361305217629492,2.2,不可行
0.45,S002,饮用水,14,C,4.73572085564016,4.4,不可行
0.45,S002,应急食品,8,A,2.7954457371438926,2.475,不可行
0.45,S002,应急食品,8,B,2.2560461974381587,2.2,不可行
0.45,S002,应急食品,8,C,4.67752576256119,4.4,不可行
0.45,S002,生活卫生用品,6,A,2.776087603818577,2.475,不可行
0.45,S002,生活卫生用品,6,B,2.2304730732189864,2.2,不可行
0.45,S002,生活卫生用品,6,C,4.66215409335876,4.4,不可行
0.45,S003,医疗物资,3,A,2.8049743691692726,2.475,不可行
0.45,S003,医疗物资,3,B,2.2562347401437037,2.2,不可行
0.45,S003,医疗物资,3,C,4.657607659869029,4.4,不可行
0.45,S003,饮用水,14,A,2.9316889875927306,2.475,不可行
0.45,S003,饮用水,14,B,2.4242554024426743,2.2,不可行
0.45,S003,饮用水,14,C,4.7586195153472906,4.4,不可行
0.45,S003,应急食品,8,A,2.8513392720115585,2.475,不可行
0.45,S003,应急食品,8,B,2.315272283780226,2.2,不可行
0.45,S003,应急食品,8,C,4.695762371623376,4.4,不可行
0.45,S003,生活卫生用品,6,A,2.8304263200273425,2.475,不可行
0.45,S003,生活卫生用品,6,B,2.288268201458995,2.2,不可行
0.45,S003,生活卫生用品,6,C,4.6787564362335585,4.4,不可行
0.45,S004,医疗物资,3,A,2.908654155689928,2.475,不可行
0.45,S004,医疗物资,3,B,2.3307306911640993,2.2,不可行
0.45,S004,医疗物资,3,C,4.876375085503173,4.4,不可行
0.45,S004,饮用水,14,A,3.0353051994065083,2.475,不可行
0.45,S004,饮用水,14,B,2.501251581998628,2.2,不可行
0.45,S004,饮用水,14,C,4.975728034918761,4.4,不可行
0.45,S004,应急食品,8,A,2.954292967396544,2.475,不可行
0.45,S004,应急食品,8,B,2.38982871518113,2.2,不可行
0.45,S004,应急食品,8,C,4.9132941120635145,4.4,不可行
0.45,S004,生活卫生用品,6,A,2.9335235363491625,2.475,不可行
0.45,S004,生活卫生用品,6,B,2.3625900866122973,2.2,不可行
0.45,S004,生活卫生用品,6,C,4.896674200180934,4.4,不可行
0.45,S008,医疗物资,3,A,3.0154120621045486,2.475,不可行
0.45,S008,医疗物资,3,B,2.4123462738763477,2.2,不可行
0.45,S008,医疗物资,3,C,5.076128030943584,4.4,不可行
0.45,S008,饮用水,14,A,3.146459854356152,2.475,不可行
0.45,S008,饮用水,14,B,2.589336252272207,2.2,不可行
0.45,S008,饮用水,14,C,5.178588212064751,4.4,不可行
0.45,S008,应急食品,8,A,3.0624858497464924,2.475,不可行
0.45,S008,应急食品,8,B,2.4735150647595305,2.2,不可行
0.45,S008,应急食品,8,C,5.114070125209643,4.4,不可行
0.45,S008,生活卫生用品,6,A,3.0410236755457847,2.475,不可行
0.45,S008,生活卫生用品,6,B,2.445278098845157,2.2,不可行
0.45,S008,生活卫生用品,6,C,5.096953486596645,4.4,不可行
0.45,S012,医疗物资,3,A,2.7862006288811205,2.475,不可行
0.45,S012,医疗物资,3,B,2.2325692794044087,2.2,不可行
0.45,S012,医疗物资,3,C,4.671399569571495,4.4,不可行
0.45,S012,饮用水,14,A,2.908639162260452,2.475,不可行
0.45,S012,饮用水,14,B,2.3970378282559874,2.2,不可行
0.45,S012,饮用水,14,C,4.767684847327464,4.4,不可行
0.45,S012,应急食品,8,A,2.830424981875665,2.475,不可行
0.45,S012,应急食品,8,B,2.2896883867419553,2.2,不可行
0.45,S012,应急食品,8,C,4.707269831346455,4.4,不可行
