安全余量,服务区编号,机型编号,最大安全载荷kg,限制原因
0.05,S001,A,25,额定载质量限制
0.05,S001,B,30,额定载质量限制
0.05,S001,C,80,额定载质量限制
0.05,S002,A,25,额定载质量限制
0.05,S002,B,30,额定载质量限制
0.05,S002,C,80,额定载质量限制
0.05,S003,A,25,额定载质量限制
0.05,S003,B,30,额定载质量限制
0.05,S003,C,80,额定载质量限制
0.05,S004,A,25,额定载质量限制
0.05,S004,B,30,额定载质量限制
0.05,S004,C,78.95869493484497,往返安全能量限制
0.05,S005,A,25,额定载质量限制
0.05,S005,B,30,额定载质量限制
0.05,S005,C,80,额定载质量限制
0.05,S006,A,25,额定载质量限制
0.05,S006,B,30,额定载质量限制
0.05,S006,C,80,额定载质量限制
0.05,S007,A,25,额定载质量限制
0.05,S007,B,30,额定载质量限制
0.05,S007,C,80,额定载质量限制
0.05,S008,A,25,额定载质量限制
0.05,S008,B,30,额定载质量限制
0.05,S008,C,75.93930304050446,往返安全能量限制
0.05,S009,A,25,额定载质量限制
0.05,S009,B,30,额定载质量限制
0.05,S009,C,80,额定载质量限制
0.05,S010,A,25,额定载质量限制
0.05,S010,B,30,额定载质量限制
0.05,S010,C,80,额定载质量限制
0.05,S011,A,25,额定载质量限制
0.05,S011,B,30,额定载质量限制
0.05,S011,C,80,额定载质量限制
0.05,S012,A,25,额定载质量限制
0.05,S012,B,30,额定载质量限制
0.05,S012,C,80,额定载质量限制
0.05,S013,A,25,额定载质量限制
0.05,S013,B,30,额定载质量限制
0.05,S013,C,80,额定载质量限制
0.05,S014,A,25,额定载质量限制
0.05,S014,B,30,额定载质量限制
0.05,S014,C,80,额定载质量限制
0.05,S015,A,25,额定载质量限制
0.05,S015,B,30,额定载质量限制
0.05,S015,C,80,额定载质量限制
0.1,S001,A,25,额定载质量限制
0.1,S001,B,30,额定载质量限制
0.1,S001,C,80,额定载质量限制
0.1,S002,A,25,额定载质量限制
0.1,S002,B,30,额定载质量限制
