架次编号,货箱数,准备时间s,装载时间s,基础交接s,逐箱交接s,往返飞行时间s,累计作业时间s
Q1-S001-01,8,300,240,180,288,618.1750458620229,1626.175045862023
Q1-S001-02,7,300,210,180,252,618.1750458620229,1560.175045862023
Q1-S002-01,3,300,90,150,90,1186.7240813077574,1816.7240813077574
Q1-S002-02,5,300,150,180,180,1231.8421660245544,2041.8421660245544
Q1-S003-01,3,300,90,150,90,1450.6096650380623,2080.6096650380623
Q1-S003-02,5,300,150,180,180,1560.1777110992603,2370.1777110992603
Q1-S004-01,6,300,180,180,216,1425.0547187724458,2301.054718772446
Q1-S005-01,6,300,180,180,216,1001.1887154914712,1877.1887154914712
Q1-S006-01,6,300,180,180,216,685.5526244866224,1561.5526244866223
Q1-S007-01,5,300,150,180,180,1097.6006984106912,1907.6006984106912
Q1-S008-01,5,300,150,180,180,1389.7115246008332,2199.7115246008334
Q1-S009-01,3,300,90,150,90,928.4628643343575,1558.4628643343576
Q1-S010-01,3,300,90,150,90,925.4035197802173,1555.4035197802173
Q1-S011-01,3,300,90,150,90,558.4247628605204,1188.4247628605203
Q1-S012-01,3,300,90,150,90,1292.8268141491867,1922.8268141491867
Q1-S013-01,3,300,90,150,90,880.5115887445249,1510.511588744525
Q1-S014-01,3,300,90,150,90,1239.7476752786915,1869.7476752786915
Q1-S015-01,3,300,90,150,90,1198.3275601736595,1828.3275601736595
