服务区编号,机型编号,安全余量,最大安全载荷kg,限制原因,能量预算kWh,上限载荷能耗kWh
S001,A,0.2,25,额定载质量限制,3.6,1.3127102413808114
S001,B,0.2,30,额定载质量限制,3.2,1.2739409718481534
S001,C,0.2,80,额定载质量限制,6.4,3.08170436066632
S002,A,0.2,25,额定载质量限制,3.6,3.0905097276380133
S002,B,0.2,30,额定载质量限制,3.2,2.998820311876019
S002,C,0.2,68.85810375213623,往返安全能量限制,6.4,6.399999976409767
S003,A,0.2,25,额定载质量限制,3.6,3.1570180488003334
S003,B,0.2,30,额定载质量限制,3.2,3.0645901579839023
S003,C,0.2,68.1995415687561,往返安全能量限制,6.4,6.399999982142404
S004,A,0.2,25,额定载质量限制,3.6,3.266691534200595
S004,B,0.2,30,额定载质量限制,3.2,3.169798492551682
S004,C,0.2,63.69825065135956,往返安全能量限制,6.4,6.399999982992551
S005,A,0.2,25,额定载质量限制,3.6,2.244865011388093
S005,B,0.2,30,额定载质量限制,3.2,2.178257601126719
S005,C,0.2,80,额定载质量限制,6.4,5.292642814980954
S006,A,0.2,25,额定载质量限制,3.6,1.3896826004864364
S006,B,0.2,30,额定载质量限制,3.2,1.3500226341272559
S006,C,0.2,80,额定载质量限制,6.4,3.2532717885603226
S007,A,0.2,25,额定载质量限制,3.6,2.0179724910850116
S007,B,0.2,30,额定载质量限制,3.2,1.95981561942133
S007,C,0.2,80,额定载质量限制,6.4,4.6796101703532695
S008,A,0.2,25,额定载质量限制,3.6,3.387190459625516
S008,B,0.2,28.80136013031006,往返安全能量限制,3.2,3.1999999843748013
S008,C,0.2,58.904165625572205,往返安全能量限制,6.4,6.399999980533199
S009,A,0.2,25,额定载质量限制,3.6,2.3868888130198633
S009,B,0.2,30,额定载质量限制,3.2,2.3164140175598926
S009,C,0.2,80,额定载质量限制,6.4,5.669612668817532
S010,A,0.2,25,额定载质量限制,3.6,2.0707297630186403
S010,B,0.2,30,额定载质量限制,3.2,2.011040412354545
S010,C,0.2,80,额定载质量限制,6.4,4.858856926614966
S011,A,0.2,25,额定载质量限制,3.6,1.2195961128656
S011,B,0.2,30,额定载质量限制,3.2,1.1839226028325527
S011,C,0.2,80,额定载质量限制,6.4,2.8532102708956293
S012,A,0.2,25,额定载质量限制,3.6,3.1314205551132304
S012,B,0.2,30,额定载质量限制,3.2,3.0391455377960237
S012,C,0.2,68.1097400188446,往返安全能量限制,6.4,6.3999999657083695
S013,A,0.2,25,额定载质量限制,3.6,2.07421509600092
S013,B,0.2,30,额定载质量限制,3.2,2.014429642036623
S013,C,0.2,80,额定载质量限制,6.4,4.89171403094015
S014,A,0.2,25,额定载质量限制,3.6,2.4255872304885484
S014,B,0.2,30,额定载质量限制,3.2,2.3552205378029694
S014,C,0.2,80,额定载质量限制,6.4,5.607586660887968
S015,A,0.2,25,额定载质量限制,3.6,2.6193442676312952
S015,B,0.2,30,额定载质量限制,3.2,2.544527926579269
S015,C,0.2,80,额定载质量限制,6.4,6.133265017718501
