服务区,候选批次数,DP架次数,MILP架次数,DP能耗kWh,MILP能耗kWh,DP时间s,MILP时间s,核验状态
S001,201,2,2,5.913363900491496,5.913363900491497,3186.350091724046,3186.350091724046,通过
S002,76,2,2,8.434829145187933,8.434829145187932,3858.566247332312,3858.566247332312,通过
S003,76,2,2,8.545442729216445,8.545442729216445,4450.787376137323,4450.787376137323,通过
S004,51,1,1,6.152860129174583,6.152860129174583,2301.054718772446,2301.054718772446,通过
S005,51,1,1,4.222137373445114,4.222137373445114,1877.1887154914712,1877.1887154914712,通过
S006,51,1,1,2.5979362904386822,2.5979362904386822,1561.5526244866223,1561.5526244866223,通过
S007,43,1,1,3.4110038084433194,3.4110038084433194,1907.6006984106912,1907.6006984106912,通过
S008,43,1,1,5.836020667966359,5.836020667966359,2199.7115246008334,2199.7115246008334,通过
S009,20,1,1,2.0962654017373348,2.0962654017373348,1558.4628643343576,1558.4628643343576,通过
S010,20,1,1,1.823216564231414,1.823216564231414,1555.4035197802173,1555.4035197802173,通过
S011,20,1,1,1.0739366863951036,1.0739366863951036,1188.4247628605203,1188.4247628605203,通过
S012,20,1,1,2.7525999542899324,2.7525999542899324,1922.8268141491867,1922.8268141491867,通过
S013,20,1,1,1.8248281910807473,1.8248281910807473,1510.511588744525,1510.511588744525,通过
S014,20,1,1,2.1402909781417883,2.1402909781417883,1869.7476752786915,1869.7476752786915,通过
S015,20,1,1,2.3075285057525154,2.3075285057525154,1828.3275601736595,1828.3275601736595,通过
