架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
Q2-001,U05,B,BAT-B-01,0.0,O01 → S012 → O01,1922.828,2.7525999542899324
Q2-002,U07,C,BAT-C-01,0.0,O01 → S001 → O01,1626.176,2.8127111414518087
Q2-003,U01,A,BAT-A-01,0.0,O01 → S006 → O01,1253.477,1.2888475197755174
Q2-004,U02,A,BAT-A-02,0.0,O01 → S014 → O01,1930.4,2.251627801047422
Q2-005,U03,A,BAT-A-03,0.0,O01 → S007 → O01,1727.468,1.8275023375986301
Q2-006,U06,B,BAT-B-02,0.0,O01 → S006 → O01,1207.271,1.1381173257060366
Q2-007,U04,A,BAT-A-04,0.0,O01 → S001 → O01,1190.908,1.1865798323864554
Q2-008,U08,C,BAT-C-02,78.002,O01 → S002 → O01,2119.846,6.105796952880379
Q2-009,U04,A,BAT-A-05,1190.914,O01 → S007 → O01,2858.382,1.872588415047149
Q2-010,U06,B,BAT-B-03,1207.272,O01 → S006 → O01,2474.543,1.224316782124016
Q2-011,U01,A,BAT-A-06,1253.477,O01 → S010 → O01,2848.371,1.9213904848411352
Q2-012,U07,C,BAT-C-03,1626.176,O01 → S002 → S004 → S005 → O01,4474.034,6.3893671713938325
Q2-013,U05,B,BAT-B-04,1922.828,O01 → S013 → S010 → O01,3809.475,2.0860323287879208
Q2-014,U02,A,BAT-A-04,2033.704,O01 → S014 → O01,4024.104,2.2175912570533356
Q2-015,U08,C,BAT-C-04,2119.846,O01 → S001 → O01,3614.022,2.8127111414518087
Q2-016,U03,A,BAT-A-01,2125.812,O01 → S013 → O01,3737.976,1.8957192181279305
Q2-017,U06,B,BAT-B-02,2474.543,O01 → S007 → S003 → O01,4714.596,2.634280077133032
Q2-018,U01,A,BAT-A-03,2858.382,O01 → S015 → O01,4767.036,2.360976089416118
Q2-019,U04,A,BAT-A-02,3080.871,O01 → S004 → O01,5199.67,2.954292967396544
Q2-020,U08,C,BAT-C-01,3614.022,O01 → S004 → O01,5783.078,5.385859200506205
Q2-021,U05,B,BAT-B-01,3809.475,O01 → S003 → O01,5830.086,2.585631733410008
Q2-022,U03,A,BAT-A-05,3899.352,O01 → S008 → O01,6010.499,3.0410236755457847
Q2-023,U02,A,BAT-A-06,4024.104,O01 → S003 → O01,6226.842,2.9316889875927306
Q2-024,U07,C,BAT-C-02,4606.833,O01 → S011 → S003 → S015 → O01,7626.25,6.267621076943908
Q2-025,U01,A,BAT-A-01,4785.629,O01 → S008 → O01,6896.776,3.146459854356152
Q2-026,U04,A,BAT-A-04,5199.67,O01 → S003 → O01,7402.408,2.9316889875927306
Q2-027,U06,B,BAT-B-03,5741.371,O01 → S008 → O01,7703.214,2.9752068745422333
Q2-028,U08,C,BAT-C-04,5783.078,O01 → S005 → O01,7594.268,3.8483163612652334
Q2-029,U05,B,BAT-B-04,5830.086,O01 → S009 → O01,7388.55,2.0962654017373348
Q2-030,U03,A,BAT-A-03,6010.499,O01 → S007 → O01,7677.967,1.819855847054329
Q2-031,U02,A,BAT-A-02,6553.133,O01 → S011 → O01,7715.162,1.1014345822951725
