货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,Q2-007,S001,1063.53
S001-FOD-02,Q2-007,S001,1171.53
S001-FOD-03,Q2-004,S001,848.577
S001-HYG-01,Q2-007,S001,1135.53
S001-HYG-02,Q2-007,S001,1099.53
S001-MED-01,Q2-007,S001,1279.53
S001-MED-02,Q2-013,S001,3122.117
S001-WAT-01,Q2-013,S001,2978.117
S001-WAT-02,Q2-013,S001,3050.117
S001-WAT-03,Q2-013,S001,3014.117
S001-WAT-04,Q2-007,S001,1207.53
S001-WAT-05,Q2-007,S001,1315.53
S001-WAT-06,Q2-007,S001,1243.53
S001-WAT-07,Q2-013,S001,3158.117
S001-WAT-08,Q2-013,S001,3086.117
S002-FOD-01,Q2-016,S002,3350.158
S002-FOD-02,Q2-023,S002,5241.167
S002-HYG-01,Q2-002,S002,1247.332
S002-MED-01,Q2-016,S002,3380.158
S002-WAT-01,Q2-002,S002,1283.332
S002-WAT-02,Q2-002,S002,1319.332
S002-WAT-03,Q2-016,S002,3320.158
S002-WAT-04,Q2-002,S002,1355.332
S003-FOD-01,Q2-026,S003,6212.971
S003-FOD-02,Q2-010,S003,2600.269
S003-HYG-01,Q2-028,S003,6760.482
S003-MED-01,Q2-027,S003,6810.569
S003-WAT-01,Q2-026,S003,6182.971
S003-WAT-02,Q2-028,S003,6730.482
S003-WAT-03,Q2-010,S003,2570.269
S003-WAT-04,Q2-027,S003,6840.569
S004-FOD-01,Q2-020,S004,4789.518
S004-HYG-01,Q2-024,S004,5622.391
S004-MED-01,Q2-024,S004,5658.391
S004-WAT-01,Q2-024,S004,5730.391
S004-WAT-02,Q2-024,S004,5694.391
S004-WAT-03,Q2-020,S004,4753.518
S005-FOD-01,Q2-029,S005,7955.39
S005-HYG-01,Q2-029,S005,7991.39
S005-MED-01,Q2-029,S005,8027.39
S005-WAT-01,Q2-005,S005,1010.841
S005-WAT-02,Q2-029,S005,8063.39
S005-WAT-03,Q2-033,S005,8012.476
S006-FOD-01,Q2-009,S006,2090.096
S006-HYG-01,Q2-035,S006,8229.322
S006-MED-01,Q2-009,S006,2030.096
S006-WAT-01,Q2-006,S006,822.825
S006-WAT-02,Q2-009,S006,2060.096
S006-WAT-03,Q2-001,S006,875.502
S007-FOD-01,Q2-030,S007,6896.408
S007-HYG-01,Q2-014,S007,3175.072
S007-MED-01,Q2-014,S007,3145.072
S007-WAT-01,Q2-017,S007,3450.763
S007-WAT-02,Q2-017,S007,3480.763
S008-FOD-01,Q2-019,S008,4819.465
S008-HYG-01,Q2-032,S008,7844.456
S008-MED-01,Q2-019,S008,4789.465
S008-WAT-01,Q2-005,S008,1489.16
S008-WAT-02,Q2-025,S008,6094.912
S009-FOD-01,Q2-012,S009,3653.323
S009-MED-01,Q2-012,S009,3581.323
S009-WAT-01,Q2-012,S009,3617.323
S010-FOD-01,Q2-022,S010,4956.517
S010-MED-01,Q2-011,S010,2298.461
S010-WAT-01,Q2-015,S010,3170.795
S011-FOD-01,Q2-034,S011,7899.568
S011-MED-01,Q2-036,S011,8279.214
S011-WAT-01,Q2-029,S011,6528.979
S012-FOD-01,Q2-012,S012,3033.167
S012-MED-01,Q2-012,S012,3069.167
S012-WAT-01,Q2-012,S012,2997.167
S013-FOD-01,Q2-021,S013,4902.678
S013-MED-01,Q2-003,S013,1053.615
S013-WAT-01,Q2-003,S013,1083.615
S014-FOD-01,Q2-031,S014,7140.296
S014-MED-01,Q2-008,S014,1244.314
S014-WAT-01,Q2-008,S014,1274.314
S015-FOD-01,Q2-029,S015,7183.531
S015-MED-01,Q2-018,S015,4046.138
S015-WAT-01,Q2-029,S015,7219.531
