sortie,segment,from,to,payload_kg,volume_m3,distance_m,cruise_altitude_m,climb_m,descent_m,start_s,end_s,flight_s,energy_kwh
Q2-001,1,O01,S006,59.0,0.156,3186.19885235084,366.09783935546875,238.39783935546876,51.29783935546874,480.0,813.422,333.42131224331126,1.6040010968407112
Q2-001,2,S006,O01,0.0,0.0,3186.19885235084,366.09783935546875,51.29783935546874,238.39783935546876,1209.422,1561.554,352.1313122433112,0.9939351935979709
Q2-002,1,O01,S010,25.0,0.067,4784.6745062617865,435.63653564453125,307.93653564453126,84.03653564453123,390.001,845.24,455.2384265567753,1.119025123192104
Q2-002,2,S010,O01,0.0,0.0,4784.6745062617865,435.63653564453125,84.03653564453123,307.93653564453126,1085.24,1555.406,470.165093223442,0.7041914410393101
Q2-003,1,O01,S008,25.0,0.067,8079.110448788476,372.9093322753906,245.20933227539064,102.00933227539065,390.006,1051.154,661.1475402545182,1.7959618045128665
Q2-003,2,S008,O01,0.0,0.0,8079.110448788476,372.9093322753906,102.00933227539065,245.20933227539064,1291.154,1961.849,670.6942069211849,1.1792450700293666
Q2-004,1,O01,S002,53.0,0.157,7411.533814153884,308.9542541503906,181.25425415039064,89.45425415039062,516.016,1127.348,611.3310830122772,3.2978320478538623
Q2-004,2,S002,O01,0.0,0.0,7411.533814153884,308.9542541503906,89.45425415039062,181.25425415039064,1523.348,2143.86,620.5110830122771,2.3041291706893916
Q2-005,1,O01,S013,50.0,0.134,4849.536854548781,399.18182373046875,271.48182373046876,47.48182373046876,2046.315,2501.952,455.6360983273406,2.1562336965630235
Q2-005,2,S013,S014,25.0,0.067,3127.4329177558398,533.2603149414062,181.56031494140626,182.26031494140625,2789.952,3162.202,372.24981129765496,1.1273923915628266
Q2-005,3,S014,O01,0.0,0.0,5419.5362999417475,591.9473876953125,240.9473876953125,464.2473876953125,3450.202,4140.008,689.8050689218977,1.7312709966070177
Q2-006,1,O01,S012,25.0,0.067,7391.140162515387,413.3009948730469,285.6009948730469,133.50099487304686,1966.31,2607.654,641.3434070745934,1.6638918316039737
Q2-006,2,S012,O01,0.0,0.0,7391.140162515387,413.3009948730469,133.50099487304686,285.6009948730469,2847.654,3499.138,651.4834070745934,1.0887081226859587
Q2-007,1,O01,S007,70.0,0.196,4534.717374921003,511.9731750488281,384.27317504882814,163.47317504882812,2683.86,3221.621,537.7603492053455,2.6982252032490663
Q2-007,2,S007,S011,25.0,0.067,2834.4871024094664,439.17535400390625,90.67535400390625,227.07535400390626,3581.621,3920.395,338.7736254308134,0.9952640425524268
Q2-007,3,S011,O01,0.0,0.0,2808.106412371872,295.36175537109375,83.26175537109376,167.66175537109376,4208.395,4512.738,304.3426739921092,0.8860522911272053
Q2-008,1,O01,S001,20.0,0.051000000000000004,3054.0236075149764,273.0566101074219,145.3566101074219,89.05661010742188,2882.456,3170.133,287.6764212464411,0.6157821078236306
Q2-008,2,S001,O01,0.0,0.0,3054.0236075149764,273.0566101074219,89.05661010742188,145.3566101074219,3410.133,3701.563,291.42975457977445,0.4581901498118301
Q2-009,1,O01,S005,25.0,0.067,5280.5933691157215,326.410888671875,198.710888671875,131.410888671875,3889.138,4359.979,470.84087630042313,1.1869488876888767
Q2-009,2,S005,S004,11.0,0.04,2608.294551451009,365.80657958984375,170.80657958984375,137.50657958984374,4539.979,4825.804,285.82446179595263,0.46091187367230546
Q2-009,3,S004,O01,0.0,0.0,7714.681646286507,398.2391662597656,169.9391662597656,270.53916625976564,5035.804,5714.979,679.1741650095953,1.1438893167415802
Q2-010,1,O01,S004,20.0,0.062,7714.681646286507,398.2391662597656,270.53916625976564,169.9391662597656,4359.948,5032.416,672.4674983429286,1.5244303112827176
Q2-010,2,S004,O01,0.0,0.0,7714.681646286507,398.2391662597656,169.9391662597656,270.53916625976564,5242.416,5921.591,679.1741650095953,1.1438893167415802
Q2-011,1,O01,S003,67.0,0.184,7263.826967765937,561.8041381835938,434.10413818359376,223.30413818359375,4650.008,5419.557,769.5488555496302,4.030420307127749
Q2-011,2,S003,O01,0.0,0.0,7263.826967765937,561.8041381835938,223.30413818359375,434.10413818359376,5851.557,6642.186,790.6288555496302,2.294079083746617
Q2-012,1,O01,S001,64.0,0.136,3054.0236075149764,273.0566101074219,145.3566101074219,89.05661010742188,4962.738,5269.011,306.27252293101145,1.6023297277546398
Q2-012,2,S001,O01,0.0,0.0,3054.0236075149764,273.0566101074219,89.05661010742188,145.3566101074219,5629.011,5940.914,311.90252293101145,0.9632516377796227
Q2-013,1,O01,S015,25.0,0.067,6009.764892220415,571.7992553710938,444.09925537109376,97.29925537109375,6104.979,6692.583,587.6037800868298,1.425062545459473
Q2-013,2,S015,O01,0.0,0.0,6009.764892220415,571.7992553710938,97.29925537109375,444.09925537109376,6932.583,7543.307,610.7237800868297,0.8824659602930425
Q2-014,1,O01,S002,28.0,0.054,7411.533814153884,308.9542541503906,181.25425415039064,89.45425415039062,6311.59,6901.893,590.3020406538787,1.7894178823075964
Q2-014,2,S002,O01,0.0,0.0,7411.533814153884,308.9542541503906,89.45425415039062,181.25425415039064,7111.893,7708.316,596.4220406538788,1.0807893976936154
Q2-015,1,O01,S005,70.0,0.196,5280.5933691157215,326.410888671875,198.710888671875,131.410888671875,6871.543,7368.773,497.22935774573557,3.0103592973850866
Q2-015,2,S005,S009,25.0,0.067,2650.844495211464,363.5632019042969,168.56320190429688,133.56320190429688,7728.773,8039.703,310.9298480612981,0.9608569683670679
Q2-015,3,S009,O01,0.0,0.0,5705.303446619009,293.2289123535156,63.228912353515625,165.52891235351564,8327.703,8816.113,488.409584226098,1.7721996118744159
Q2-016,1,O01,S001,70.0,0.20700000000000002,3054.0236075149764,273.0566101074219,145.3566101074219,89.05661010742188,7152.186,7458.459,306.27252293101145,1.757144938212013
Q2-016,2,S001,O01,0.0,0.0,3054.0236075149764,273.0566101074219,89.05661010742188,145.3566101074219,7890.459,8202.362,311.90252293101145,0.9632516377796227
