sortie,from,to,phase,start_s,end_s,box
Q2-001,O01,S006,爬升,480.0,575.3591357421875,
Q2-001,O01,S006,巡航,575.3591357421875,787.7723925655769,
Q2-001,O01,S006,下降,787.7723925655769,813.4213122433113,
Q2-001,O01,S006,毫秒保守裕量,813.4213122433113,813.422,
Q2-001,S006,S006,基础交接,813.422,993.422,
Q2-001,S006,S006,逐箱交接,993.422,1029.422,S006-FOD-01
Q2-001,S006,S006,逐箱交接,1029.422,1065.422,S006-HYG-01
Q2-001,S006,S006,逐箱交接,1065.422,1101.422,S006-MED-01
Q2-001,S006,S006,逐箱交接,1101.422,1137.422,S006-WAT-01
Q2-001,S006,S006,逐箱交接,1137.422,1173.422,S006-WAT-02
Q2-001,S006,S006,逐箱交接,1173.422,1209.422,S006-WAT-03
Q2-001,S006,O01,爬升,1209.422,1229.9411357421875,
Q2-001,S006,O01,巡航,1229.9411357421875,1442.3543925655767,
Q2-001,S006,O01,下降,1442.3543925655767,1561.5533122433112,
Q2-001,S006,O01,毫秒保守裕量,1561.5533122433112,1561.554,
Q2-002,O01,S010,爬升,390.001,492.6465118815104,
Q2-002,O01,S010,巡航,492.6465118815104,811.6248122989628,
Q2-002,O01,S010,下降,811.6248122989628,845.2394265567752,
Q2-002,O01,S010,毫秒保守裕量,845.2394265567752,845.24,
Q2-002,S010,S010,基础交接,845.24,995.24,
Q2-002,S010,S010,逐箱交接,995.24,1025.24,S010-WAT-01
Q2-002,S010,S010,逐箱交接,1025.24,1055.24,S010-MED-01
Q2-002,S010,S010,逐箱交接,1055.24,1085.24,S010-FOD-01
Q2-002,S010,O01,爬升,1085.24,1113.2521785481772,
Q2-002,S010,O01,巡航,1113.2521785481772,1432.2304789656296,
Q2-002,S010,O01,下降,1432.2304789656296,1555.405093223442,
Q2-002,S010,O01,毫秒保守裕量,1555.405093223442,1555.406,
Q2-003,O01,S008,爬升,390.006,471.74244409179687,
Q2-003,O01,S008,巡航,471.74244409179687,1010.3498073443619,
