sortie,from,to,phase,start_s,end_s,box
Q2-001,O01,S001,爬升,480.0,538.1426440429688,
Q2-001,O01,S001,巡航,538.1426440429688,741.7442178773006,
Q2-001,O01,S001,下降,741.7442178773006,786.2725229310115,
Q2-001,O01,S001,毫秒保守裕量,786.2725229310115,786.273,
Q2-001,S001,S001,基础交接,786.273,966.273,
Q2-001,S001,S001,逐箱交接,966.273,1002.273,S001-MED-02
Q2-001,S001,S001,逐箱交接,1002.273,1038.273,S001-WAT-08
Q2-001,S001,S001,逐箱交接,1038.273,1074.273,S001-WAT-07
Q2-001,S001,S001,逐箱交接,1074.273,1110.273,S001-WAT-03
Q2-001,S001,S001,逐箱交接,1110.273,1146.273,S001-WAT-02
Q2-001,S001,S001,逐箱交接,1146.273,1182.273,S001-WAT-01
Q2-001,S001,O01,爬升,1182.273,1217.8956440429686,
Q2-001,S001,O01,巡航,1217.8956440429686,1421.4972178773003,
Q2-001,S001,O01,下降,1421.4972178773003,1494.1755229310113,
Q2-001,S001,O01,毫秒保守裕量,1494.1755229310113,1494.176,
Q2-002,O01,S002,爬升,450.0,522.5017016601563,
Q2-002,O01,S002,巡航,522.5017016601563,1016.603955937082,
Q2-002,O01,S002,下降,1016.603955937082,1061.3310830122773,
Q2-002,O01,S002,毫秒保守裕量,1061.3310830122773,1061.332,
Q2-002,S002,S002,基础交接,1061.332,1241.332,
Q2-002,S002,S002,逐箱交接,1241.332,1277.332,S002-WAT-02
Q2-002,S002,S002,逐箱交接,1277.332,1313.332,S002-WAT-04
Q2-002,S002,S002,逐箱交接,1313.332,1349.332,S002-WAT-01
Q2-002,S002,S002,逐箱交接,1349.332,1385.332,S002-FOD-02
Q2-002,S002,S002,逐箱交接,1385.332,1421.332,S002-WAT-03
Q2-002,S002,O01,爬升,1421.332,1457.1137016601563,
Q2-002,S002,O01,巡航,1457.1137016601563,1951.2159559370818,
Q2-002,S002,O01,下降,1951.2159559370818,2041.8430830122772,
Q2-002,S002,O01,毫秒保守裕量,2041.8430830122772,2041.844,
Q2-003,O01,S007,爬升,360.0,488.0910583496094,
Q2-003,O01,S007,巡航,488.0910583496094,865.9841729263596,
Q2-003,O01,S007,下降,865.9841729263596,931.3734429458909,
Q2-003,O01,S007,毫秒保守裕量,931.3734429458909,931.374,
