box,sortie,service,rank,start_s,completion_s,expected_s,hard_s,first,priority,lateness_s,mass_kg,volume_m3
S001-FOD-01,Q2-010,S001,8,3386.117,3422.117,7200.0,,False,10,0,8,0.028
S001-FOD-02,Q2-010,S001,7,3350.117,3386.117,7200.0,,False,10,0,8,0.028
S001-FOD-03,Q2-008,S001,1,4101.106,4137.106,7200.0,,False,10,0,8,0.028
S001-HYG-01,Q2-010,S001,6,3314.117,3350.117,10800.0,,False,8,0,6,0.035
S001-HYG-02,Q2-010,S001,5,3278.117,3314.117,10800.0,,False,8,0,6,0.035
S001-MED-01,Q2-010,S001,4,3242.117,3278.117,3600.0,3600.0,True,24,0,3,0.012
S001-MED-02,Q2-006,S001,6,1146.413,1182.413,3600.0,3600.0,False,24,0,3,0.012
S001-WAT-01,Q2-006,S001,5,1110.413,1146.413,3600.0,3600.0,True,12,0,14,0.027
S001-WAT-02,Q2-006,S001,4,1074.413,1110.413,3600.0,,False,12,0,14,0.027
S001-WAT-03,Q2-006,S001,3,1038.413,1074.413,3600.0,,False,12,0,14,0.027
S001-WAT-04,Q2-010,S001,3,3206.117,3242.117,3600.0,,False,12,0,14,0.027
S001-WAT-05,Q2-010,S001,2,3170.117,3206.117,3600.0,,False,12,0,14,0.027
S001-WAT-06,Q2-010,S001,1,3134.117,3170.117,3600.0,,False,12,0,14,0.027
S001-WAT-07,Q2-006,S001,2,1002.413,1038.413,3600.0,,False,12,0,14,0.027
S001-WAT-08,Q2-006,S001,1,966.413,1002.413,3600.0,,False,12,0,14,0.027
S002-FOD-01,Q2-004,S002,6,1451.332,1487.332,7200.0,,False,10,0,8,0.028
S002-FOD-02,Q2-004,S002,5,1415.332,1451.332,7200.0,,False,10,0,8,0.028
S002-HYG-01,Q2-004,S002,4,1379.332,1415.332,10800.0,,False,8,0,6,0.035
S002-MED-01,Q2-004,S002,3,1343.332,1379.332,3600.0,3600.0,True,24,0,3,0.012
S002-WAT-01,Q2-004,S002,2,1307.332,1343.332,3600.0,3600.0,True,12,0,14,0.027
S002-WAT-02,Q2-004,S002,1,1271.332,1307.332,3600.0,,False,12,0,14,0.027
S002-WAT-03,Q2-001,S002,1,1100.303,1130.303,3600.0,,False,12,0,14,0.027
S002-WAT-04,Q2-001,S002,2,1130.303,1160.303,3600.0,,False,12,0,14,0.027
S003-FOD-01,Q2-015,S003,7,6133.925,6169.925,10800.0,,False,8,0,8,0.028
S003-FOD-02,Q2-015,S003,6,6097.925,6133.925,10800.0,,False,8,0,8,0.028
S003-HYG-01,Q2-015,S003,5,6061.925,6097.925,14400.0,,False,6,0,6,0.035
