sortie,segment,from,to,payload_kg,volume_m3,distance_m,cruise_altitude_m,climb_m,descent_m,start_s,end_s,flight_s,energy_kwh
Q2-001,1,O01,S012,25.0,0.067,7391.140162515387,413.3009948730469,285.6009948730469,133.50099487304686,390.0,1031.344,641.3434070745934,1.6638918316039737
Q2-001,2,S012,O01,0.0,0.0,7391.140162515387,413.3009948730469,133.50099487304686,285.6009948730469,1271.344,1922.828,651.4834070745934,1.0887081226859587
Q2-002,1,O01,S001,73.0,0.219,3054.0236075149764,273.0566101074219,145.3566101074219,89.05661010742188,540.0,846.273,306.27252293101145,1.8494595036721861
Q2-002,2,S001,O01,0.0,0.0,3054.0236075149764,273.0566101074219,89.05661010742188,145.3566101074219,1314.273,1626.176,311.90252293101145,0.9632516377796227
Q2-003,1,O01,S006,14.0,0.027,3186.19885235084,366.09783935546875,238.39783935546876,51.29783935546874,330.0,695.502,365.50165322324705,0.7017460022234805
Q2-003,2,S006,O01,0.0,0.0,3186.19885235084,366.09783935546875,51.29783935546874,238.39783935546876,875.502,1253.477,377.9749865565804,0.5871015175520368
Q2-004,1,O01,S014,14.0,0.027,5419.5362999417475,591.9473876953125,464.2473876953125,240.9473876953125,330.0,1032.757,702.7561093050415,1.2122987404498995
Q2-004,2,S014,O01,0.0,0.0,5419.5362999417475,591.9473876953125,240.9473876953125,464.2473876953125,1212.757,1930.4,717.642775971708,1.0393290605975225
Q2-005,1,O01,S007,9.0,0.047,4534.717374921003,511.9731750488281,384.27317504882814,163.47317504882812,360.0,931.374,571.3734429458909,0.9679589605578799
Q2-005,2,S007,O01,0.0,0.0,4534.717374921003,511.9731750488281,163.47317504882812,384.27317504882814,1141.374,1727.468,586.093442945891,0.8595433770407502
Q2-006,1,O01,S006,20.0,0.062,3186.19885235084,366.09783935546875,238.39783935546876,51.29783935546874,360.0,672.399,312.39833901739973,0.6703307458219514
Q2-006,2,S006,O01,0.0,0.0,3186.19885235084,366.09783935546875,51.29783935546874,238.39783935546876,882.399,1207.271,324.8716723507331,0.4677865798840852
Q2-007,1,O01,S001,8.0,0.028,3054.0236075149764,273.0566101074219,145.3566101074219,89.05661010742188,330.0,668.577,338.5768147050241,0.6132698228540927
Q2-007,2,S001,O01,0.0,0.0,3054.0236075149764,273.0566101074219,89.05661010742188,145.3566101074219,848.577,1190.908,342.33014803835744,0.5733100095323627
Q2-008,1,O01,S002,64.0,0.136,7411.533814153884,308.9542541503906,181.25425415039064,89.45425415039062,528.002,1139.334,611.3310830122772,3.801667782190987
Q2-008,2,S002,O01,0.0,0.0,7411.533814153884,308.9542541503906,89.45425415039062,181.25425415039064,1499.334,2119.846,620.5110830122771,2.3041291706893916
Q2-009,1,O01,S007,14.0,0.027,4534.717374921003,511.9731750488281,384.27317504882814,163.47317504882812,1520.914,2092.288,571.3734429458909,1.013045038006399
Q2-009,2,S007,O01,0.0,0.0,4534.717374921003,511.9731750488281,163.47317504882812,384.27317504882814,2272.288,2858.382,586.093442945891,0.8595433770407502
Q2-010,1,O01,S006,25.0,0.067,3186.19885235084,366.09783935546875,238.39783935546876,51.29783935546874,1597.272,1909.671,312.39833901739973,0.7565302022399308
Q2-010,2,S006,O01,0.0,0.0,3186.19885235084,366.09783935546875,51.29783935546874,238.39783935546876,2149.671,2474.543,324.8716723507331,0.4677865798840852
Q2-011,1,O01,S010,14.0,0.027,4784.6745062617865,435.63653564453125,307.93653564453126,84.03653564453123,1583.477,2118.461,534.9830016611384,1.0378928304811854
Q2-011,2,S010,O01,0.0,0.0,4784.6745062617865,435.63653564453125,84.03653564453123,307.93653564453126,2298.461,2848.371,549.9096683278051,0.8834976543599498
Q2-012,1,O01,S002,45.0,0.129,7411.533814153884,308.9542541503906,181.25425415039064,89.45425415039062,2076.176,2687.508,611.3310830122772,3.029575875514752
Q2-012,2,S002,S004,28.0,0.054,2248.9543920264437,333.658203125,114.158203125,105.35820312499999,2975.508,3223.781,248.2726756142629,0.8211048168702194
Q2-012,3,S004,S005,14.0,0.027,2608.294551451009,365.80657958984375,137.50657958984374,170.80657958984375,3439.781,3754.074,314.2922250609266,0.8791353667583988
Q2-012,4,S005,O01,0.0,0.0,5280.5933691157215,326.410888671875,131.410888671875,198.710888671875,3970.074,4474.034,503.9593577457356,1.659551112250462
Q2-013,1,O01,S013,25.0,0.067,4849.536854548781,399.18182373046875,271.48182373046876,47.48182373046876,2312.828,2745.618,432.78912770559583,1.1203603423631132
Q2-013,2,S013,S010,11.0,0.04,1378.6901866268836,504.07037353515625,152.37037353515626,152.47037353515623,2925.618,3129.309,203.69095303424015,0.26148054538549725
Q2-013,3,S010,O01,0.0,0.0,4784.6745062617865,435.63653564453125,84.03653564453123,307.93653564453126,3339.309,3809.475,470.165093223442,0.7041914410393101
Q2-014,1,O01,S014,11.0,0.04,5419.5362999417475,591.9473876953125,464.2473876953125,240.9473876953125,2393.704,3096.461,702.7561093050415,1.1782621964558133
