sortie,from,to,phase,start_s,end_s,box
Q2-001,O01,S012,爬升,390.0,485.20033162434896,
Q2-001,O01,S012,巡航,485.20033162434896,977.9430091253747,
Q2-001,O01,S012,下降,977.9430091253747,1031.3434070745934,
Q2-001,O01,S012,毫秒保守裕量,1031.3434070745934,1031.344,
Q2-001,S012,S012,基础交接,1031.344,1181.344,
Q2-001,S012,S012,逐箱交接,1181.344,1211.344,S012-WAT-01
Q2-001,S012,S012,逐箱交接,1211.344,1241.344,S012-MED-01
Q2-001,S012,S012,逐箱交接,1241.344,1271.344,S012-FOD-01
Q2-001,S012,O01,爬升,1271.344,1315.844331624349,
Q2-001,S012,O01,巡航,1315.844331624349,1808.5870091253748,
Q2-001,S012,O01,下降,1808.5870091253748,1922.8274070745936,
Q2-001,S012,O01,毫秒保守裕量,1922.8274070745936,1922.828,
Q2-002,O01,S001,爬升,540.0,598.1426440429688,
Q2-002,O01,S001,巡航,598.1426440429688,801.7442178773006,
Q2-002,O01,S001,下降,801.7442178773006,846.2725229310115,
Q2-002,O01,S001,毫秒保守裕量,846.2725229310115,846.273,
Q2-002,S001,S001,基础交接,846.273,1026.2730000000001,
Q2-002,S001,S001,逐箱交接,1026.273,1062.273,S001-WAT-05
Q2-002,S001,S001,逐箱交接,1062.273,1098.273,S001-WAT-04
Q2-002,S001,S001,逐箱交接,1098.273,1134.273,S001-WAT-06
Q2-002,S001,S001,逐箱交接,1134.273,1170.273,S001-HYG-02
Q2-002,S001,S001,逐箱交接,1170.273,1206.273,S001-HYG-01
Q2-002,S001,S001,逐箱交接,1206.273,1242.273,S001-FOD-02
Q2-002,S001,S001,逐箱交接,1242.273,1278.273,S001-MED-01
Q2-002,S001,S001,逐箱交接,1278.273,1314.273,S001-FOD-01
Q2-002,S001,O01,爬升,1314.273,1349.8956440429686,
Q2-002,S001,O01,巡航,1349.8956440429686,1553.4972178773003,
Q2-002,S001,O01,下降,1553.4972178773003,1626.1755229310113,
Q2-002,S001,O01,毫秒保守裕量,1626.1755229310113,1626.176,
Q2-003,O01,S006,爬升,330.0,409.4659464518229,
Q2-003,O01,S006,巡航,409.4659464518229,674.9825174810596,
Q2-003,O01,S006,下降,674.9825174810596,695.5016532232471,
Q2-003,O01,S006,毫秒保守裕量,695.5016532232471,695.502,
Q2-003,S006,S006,基础交接,695.502,845.502,
Q2-003,S006,S006,逐箱交接,845.502,875.502,S006-WAT-03
Q2-003,S006,O01,爬升,875.502,892.6012797851562,
Q2-003,S006,O01,巡航,892.6012797851562,1158.1178508143928,
Q2-003,S006,O01,下降,1158.1178508143928,1253.4769865565804,
Q2-003,S006,O01,毫秒保守裕量,1253.4769865565804,1253.477,
Q2-004,O01,S014,爬升,330.0,484.74912923177084,
Q2-004,O01,S014,巡航,484.74912923177084,936.3771542269164,
Q2-004,O01,S014,下降,936.3771542269164,1032.7561093050415,
Q2-004,O01,S014,毫秒保守裕量,1032.7561093050415,1032.757,
Q2-004,S014,S014,基础交接,1032.757,1182.757,
Q2-004,S014,S014,逐箱交接,1182.757,1212.757,S014-WAT-01
Q2-004,S014,O01,爬升,1212.757,1293.0727958984376,
Q2-004,S014,O01,巡航,1293.0727958984376,1744.700820893583,
Q2-004,S014,O01,下降,1744.700820893583,1930.399775971708,
Q2-004,S014,O01,毫秒保守裕量,1930.399775971708,1930.4,
Q2-005,O01,S007,爬升,360.0,488.0910583496094,
Q2-005,O01,S007,巡航,488.0910583496094,865.9841729263596,
Q2-005,O01,S007,下降,865.9841729263596,931.3734429458909,
Q2-005,O01,S007,毫秒保守裕量,931.3734429458909,931.374,
Q2-005,S007,S007,基础交接,931.374,1081.374,
Q2-005,S007,S007,逐箱交接,1081.374,1111.374,S007-MED-01
Q2-005,S007,S007,逐箱交接,1111.374,1141.374,S007-HYG-01
Q2-005,S007,O01,爬升,1141.374,1195.8650583496094,
Q2-005,S007,O01,巡航,1195.8650583496094,1573.7581729263597,
Q2-005,S007,O01,下降,1573.7581729263597,1727.467442945891,
Q2-005,S007,O01,毫秒保守裕量,1727.467442945891,1727.468,
Q2-006,O01,S006,爬升,360.0,439.4659464518229,
Q2-006,O01,S006,巡航,439.4659464518229,651.8792032752123,
Q2-006,O01,S006,下降,651.8792032752123,672.3983390173997,
Q2-006,O01,S006,毫秒保守裕量,672.3983390173997,672.399,
Q2-006,S006,S006,基础交接,672.399,822.399,
Q2-006,S006,S006,逐箱交接,822.399,852.399,S006-WAT-01
Q2-006,S006,S006,逐箱交接,852.399,882.399,S006-HYG-01
Q2-006,S006,O01,爬升,882.399,899.4982797851562,
Q2-006,S006,O01,巡航,899.4982797851562,1111.9115366085455,
Q2-006,S006,O01,下降,1111.9115366085455,1207.270672350733,
Q2-006,S006,O01,毫秒保守裕量,1207.270672350733,1207.271,
Q2-007,O01,S001,爬升,330.0,378.45220336914065,
Q2-007,O01,S001,巡航,378.45220336914065,632.9541706620554,
Q2-007,O01,S001,下降,632.9541706620554,668.5768147050242,
Q2-007,O01,S001,毫秒保守裕量,668.5768147050242,668.577,
Q2-007,S001,S001,基础交接,668.577,818.577,
Q2-007,S001,S001,逐箱交接,818.577,848.577,S001-FOD-03
Q2-007,S001,O01,爬升,848.577,878.262536702474,
Q2-007,S001,O01,巡航,878.262536702474,1132.7645039953886,
Q2-007,S001,O01,下降,1132.7645039953886,1190.9071480383573,
Q2-007,S001,O01,毫秒保守裕量,1190.9071480383573,1190.908,
Q2-008,O01,S002,爬升,528.002,600.5037016601563,
Q2-008,O01,S002,巡航,600.5037016601563,1094.605955937082,
Q2-008,O01,S002,下降,1094.605955937082,1139.3330830122773,
Q2-008,O01,S002,毫秒保守裕量,1139.3330830122773,1139.334,
Q2-008,S002,S002,基础交接,1139.334,1319.334,
Q2-008,S002,S002,逐箱交接,1319.334,1355.334,S002-FOD-02
Q2-008,S002,S002,逐箱交接,1355.334,1391.334,S002-WAT-01
Q2-008,S002,S002,逐箱交接,1391.334,1427.334,S002-WAT-02
Q2-008,S002,S002,逐箱交接,1427.334,1463.334,S002-WAT-03
Q2-008,S002,S002,逐箱交接,1463.334,1499.334,S002-WAT-04
Q2-008,S002,O01,爬升,1499.334,1535.1157016601562,
Q2-008,S002,O01,巡航,1535.1157016601562,2029.2179559370818,
Q2-008,S002,O01,下降,2029.2179559370818,2119.845083012277,
Q2-008,S002,O01,毫秒保守裕量,2119.845083012277,2119.846,
Q2-009,O01,S007,爬升,1520.914,1649.0050583496093,
Q2-009,O01,S007,巡航,1649.0050583496093,2026.8981729263596,
Q2-009,O01,S007,下降,2026.8981729263596,2092.2874429458907,
Q2-009,O01,S007,毫秒保守裕量,2092.2874429458907,2092.288,
Q2-009,S007,S007,基础交接,2092.288,2242.288,
Q2-009,S007,S007,逐箱交接,2242.288,2272.288,S007-WAT-02
Q2-009,S007,O01,爬升,2272.288,2326.7790583496094,
Q2-009,S007,O01,巡航,2326.7790583496094,2704.6721729263595,
Q2-009,S007,O01,下降,2704.6721729263595,2858.3814429458907,
Q2-009,S007,O01,毫秒保守裕量,2858.3814429458907,2858.382,
Q2-010,O01,S006,爬升,1597.272,1676.7379464518228,
Q2-010,O01,S006,巡航,1676.7379464518228,1889.151203275212,
Q2-010,O01,S006,下降,1889.151203275212,1909.6703390173996,
Q2-010,O01,S006,毫秒保守裕量,1909.6703390173996,1909.671,
Q2-010,S006,S006,基础交接,1909.671,2059.6710000000003,
Q2-010,S006,S006,逐箱交接,2059.671,2089.671,S006-WAT-02
Q2-010,S006,S006,逐箱交接,2089.671,2119.671,S006-MED-01
Q2-010,S006,S006,逐箱交接,2119.671,2149.671,S006-FOD-01
Q2-010,S006,O01,爬升,2149.671,2166.770279785156,
Q2-010,S006,O01,巡航,2166.770279785156,2379.1835366085456,
Q2-010,S006,O01,下降,2379.1835366085456,2474.542672350733,
Q2-010,S006,O01,毫秒保守裕量,2474.542672350733,2474.543,
Q2-011,O01,S010,爬升,1583.477,1686.1225118815105,
Q2-011,O01,S010,巡航,1686.1225118815105,2084.845387403326,
Q2-011,O01,S010,下降,2084.845387403326,2118.4600016611384,
Q2-011,O01,S010,毫秒保守裕量,2118.4600016611384,2118.461,
Q2-011,S010,S010,基础交接,2118.461,2268.461,
Q2-011,S010,S010,逐箱交接,2268.461,2298.461,S010-WAT-01
Q2-011,S010,O01,爬升,2298.461,2326.4731785481767,
Q2-011,S010,O01,巡航,2326.4731785481767,2725.1960540699924,
Q2-011,S010,O01,下降,2725.1960540699924,2848.370668327805,
Q2-011,S010,O01,毫秒保守裕量,2848.370668327805,2848.371,
Q2-012,O01,S002,爬升,2076.176,2148.6777016601563,
Q2-012,O01,S002,巡航,2148.6777016601563,2642.779955937082,
Q2-012,O01,S002,下降,2642.779955937082,2687.5070830122772,
Q2-012,O01,S002,毫秒保守裕量,2687.5070830122772,2687.508,
Q2-012,S002,S002,基础交接,2687.508,2867.508,
Q2-012,S002,S002,逐箱交接,2867.508,2903.508,S002-FOD-01
Q2-012,S002,S002,逐箱交接,2903.508,2939.508,S002-HYG-01
Q2-012,S002,S002,逐箱交接,2939.508,2975.508,S002-MED-01
Q2-012,S002,S004,爬升,2975.508,3021.17128125,
Q2-012,S002,S004,巡航,3021.17128125,3171.101574051763,
Q2-012,S002,S004,下降,3171.101574051763,3223.7806756142627,
Q2-012,S002,S004,毫秒保守裕量,3223.7806756142627,3223.781,
Q2-012,S004,S004,基础交接,3223.781,3403.781,
Q2-012,S004,S004,逐箱交接,3403.781,3439.781,S004-WAT-03
Q2-012,S004,S005,爬升,3439.781,3494.7836318359373,
Q2-012,S004,S005,巡航,3494.7836318359373,3668.6699352660044,
Q2-012,S004,S005,下降,3668.6699352660044,3754.0732250609262,
Q2-012,S004,S005,毫秒保守裕量,3754.0732250609262,3754.074,
Q2-012,S005,S005,基础交接,3754.074,3934.074,
Q2-012,S005,S005,逐箱交接,3934.074,3970.074,S005-WAT-03
Q2-012,S005,O01,爬升,3970.074,4022.63835546875,
Q2-012,S005,O01,巡航,4022.63835546875,4374.677913409798,
Q2-012,S005,O01,下降,4374.677913409798,4474.033357745735,
Q2-012,S005,O01,毫秒保守裕量,4474.033357745735,4474.034,
Q2-013,O01,S013,爬升,2312.828,2403.3219412434896,
Q2-013,O01,S013,巡航,2403.3219412434896,2726.6243982134083,
Q2-013,O01,S013,下降,2726.6243982134083,2745.617127705596,
Q2-013,O01,S013,毫秒保守裕量,2745.617127705596,2745.618,
Q2-013,S013,S013,基础交接,2745.618,2895.618,
Q2-013,S013,S013,逐箱交接,2895.618,2925.618,S013-WAT-01
Q2-013,S013,S010,爬升,2925.618,2976.4081245117186,
Q2-013,S013,S010,巡航,2976.4081245117186,3068.3208036201777,
Q2-013,S013,S010,下降,3068.3208036201777,3129.3089530342404,
Q2-013,S013,S010,毫秒保守裕量,3129.3089530342404,3129.309,
Q2-013,S010,S010,基础交接,3129.309,3279.309,
Q2-013,S010,S010,逐箱交接,3279.309,3309.309,S010-MED-01
Q2-013,S010,S010,逐箱交接,3309.309,3339.309,S010-FOD-01
Q2-013,S010,O01,爬升,3339.309,3367.321178548177,
Q2-013,S010,O01,巡航,3367.321178548177,3686.2994789656295,
Q2-013,S010,O01,下降,3686.2994789656295,3809.474093223442,
Q2-013,S010,O01,毫秒保守裕量,3809.474093223442,3809.475,
Q2-014,O01,S014,爬升,2393.704,2548.453129231771,
Q2-014,O01,S014,巡航,2548.453129231771,3000.0811542269166,
Q2-014,O01,S014,下降,3000.0811542269166,3096.4601093050414,
Q2-014,O01,S014,毫秒保守裕量,3096.4601093050414,3096.461,
Q2-014,S014,S014,基础交接,3096.461,3246.461,
Q2-014,S014,S014,逐箱交接,3246.461,3276.461,S014-MED-01
Q2-014,S014,S014,逐箱交接,3276.461,3306.461,S014-FOD-01
Q2-014,S014,O01,爬升,3306.461,3386.7767958984373,
Q2-014,S014,O01,巡航,3386.7767958984373,3838.404820893583,
Q2-014,S014,O01,下降,3838.404820893583,4024.103775971708,
Q2-014,S014,O01,毫秒保守裕量,4024.103775971708,4024.104,
Q2-015,O01,S001,爬升,2599.846,2657.9886440429686,
Q2-015,O01,S001,巡航,2657.9886440429686,2861.5902178773003,
Q2-015,O01,S001,下降,2861.5902178773003,2906.1185229310113,
Q2-015,O01,S001,毫秒保守裕量,2906.1185229310113,2906.119,
Q2-015,S001,S001,基础交接,2906.119,3086.119,
Q2-015,S001,S001,逐箱交接,3086.119,3122.119,S001-WAT-07
Q2-015,S001,S001,逐箱交接,3122.119,3158.119,S001-MED-02
Q2-015,S001,S001,逐箱交接,3158.119,3194.119,S001-WAT-02
Q2-015,S001,S001,逐箱交接,3194.119,3230.119,S001-WAT-08
Q2-015,S001,S001,逐箱交接,3230.119,3266.119,S001-WAT-03
Q2-015,S001,S001,逐箱交接,3266.119,3302.119,S001-WAT-01
Q2-015,S001,O01,爬升,3302.119,3337.741644042969,
Q2-015,S001,O01,巡航,3337.741644042969,3541.3432178773005,
Q2-015,S001,O01,下降,3541.3432178773005,3614.0215229310115,
Q2-015,S001,O01,毫秒保守裕量,3614.0215229310115,3614.022,
Q2-016,O01,S013,爬升,2485.812,2576.3059412434895,
Q2-016,O01,S013,巡航,2576.3059412434895,2980.434012455888,
Q2-016,O01,S013,下降,2980.434012455888,2999.4267419480757,
Q2-016,O01,S013,毫秒保守裕量,2999.4267419480757,2999.427,
Q2-016,S013,S013,基础交接,2999.427,3149.427,
Q2-016,S013,S013,逐箱交接,3149.427,3179.427,S013-MED-01
Q2-016,S013,S013,逐箱交接,3179.427,3209.427,S013-FOD-01
Q2-016,S013,O01,爬升,3209.427,3225.2542745768233,
Q2-016,S013,O01,巡航,3225.2542745768233,3629.3823457892217,
Q2-016,S013,O01,下降,3629.3823457892217,3737.9750752814093,
Q2-016,S013,O01,毫秒保守裕量,3737.9750752814093,3737.976,
Q2-017,O01,S007,爬升,2864.543,2992.6340583496094,
Q2-017,O01,S007,巡航,2992.6340583496094,3294.9485500110095,
Q2-017,O01,S007,下降,3294.9485500110095,3360.3378200305406,
Q2-017,O01,S007,毫秒保守裕量,3360.3378200305406,3360.338,
Q2-017,S007,S007,基础交接,3360.338,3510.338,
Q2-017,S007,S007,逐箱交接,3510.338,3540.338,S007-WAT-01
Q2-017,S007,S003,爬升,3540.338,3561.071113606771,
Q2-017,S007,S003,巡航,3561.071113606771,3743.3836686181303,
Q2-017,S007,S003,下降,3743.3836686181303,3772.2634049462554,
Q2-017,S007,S003,毫秒保守裕量,3772.2634049462554,3772.264,
Q2-017,S003,S003,基础交接,3772.264,3922.264,
Q2-017,S003,S003,逐箱交接,3922.264,3952.264,S003-FOD-01
Q2-017,S003,S003,逐箱交接,3952.264,3982.264,S003-MED-01
Q2-017,S003,O01,爬升,3982.264,4056.698712727865,
Q2-017,S003,O01,巡航,4056.698712727865,4540.953843912261,
Q2-017,S003,O01,下降,4540.953843912261,4714.595499185698,
Q2-017,S003,O01,毫秒保守裕量,4714.595499185698,4714.596,
Q2-018,O01,S015,爬升,3188.382,3336.415085123698,
Q2-018,O01,S015,巡航,3336.415085123698,3837.2288261420663,
Q2-018,O01,S015,下降,3837.2288261420663,3876.1485282905037,
Q2-018,O01,S015,毫秒保守裕量,3876.1485282905037,3876.149,
Q2-018,S015,S015,基础交接,3876.149,4026.149,
Q2-018,S015,S015,逐箱交接,4026.149,4056.149,S015-FOD-01
Q2-018,S015,O01,爬升,4056.149,4088.5820851236977,
Q2-018,S015,O01,巡航,4088.5820851236977,4589.395826142066,
Q2-018,S015,O01,下降,4589.395826142066,4767.035528290503,
Q2-018,S015,O01,毫秒保守裕量,4767.035528290503,4767.036,
Q2-019,O01,S004,爬升,3410.871,3501.050722086589,
Q2-019,O01,S004,巡航,3501.050722086589,4143.9408592771315,
Q2-019,O01,S004,下降,4143.9408592771315,4211.916525781037,
Q2-019,O01,S004,毫秒保守裕量,4211.916525781037,4211.917,
Q2-019,S004,S004,基础交接,4211.917,4361.917,
Q2-019,S004,S004,逐箱交接,4361.917,4391.917,S004-FOD-01
Q2-019,S004,O01,爬升,4391.917,4448.563388753256,
Q2-019,S004,O01,巡航,4448.563388753256,5091.453525943798,
Q2-019,S004,O01,下降,5091.453525943798,5199.6691924477045,
Q2-019,S004,O01,毫秒保守裕量,5199.6691924477045,5199.67,
Q2-020,O01,S004,爬升,4034.022,4142.237666503906,
Q2-020,O01,S004,巡航,4142.237666503906,4656.54977625634,
Q2-020,O01,S004,下降,4656.54977625634,4741.519359386223,
Q2-020,O01,S004,毫秒保守裕量,4741.519359386223,4741.52,
Q2-020,S004,S004,基础交接,4741.52,4921.52,
Q2-020,S004,S004,逐箱交接,4921.52,4957.52,S004-WAT-02
Q2-020,S004,S004,逐箱交接,4957.52,4993.52,S004-WAT-01
Q2-020,S004,S004,逐箱交接,4993.52,5029.52,S004-MED-01
Q2-020,S004,S004,逐箱交接,5029.52,5065.52,S004-HYG-01
Q2-020,S004,O01,爬升,5065.52,5133.495666503906,
Q2-020,S004,O01,巡航,5133.495666503906,5647.80777625634,
Q2-020,S004,O01,下降,5647.80777625634,5783.077359386222,
Q2-020,S004,O01,毫秒保守裕量,5783.077359386222,5783.078,
Q2-021,O01,S003,爬升,4169.475,4314.176379394532,
Q2-021,O01,S003,巡航,4314.176379394532,4798.431510578927,
Q2-021,O01,S003,下降,4798.431510578927,4887.753165852365,
Q2-021,O01,S003,毫秒保守裕量,4887.753165852365,4887.754,
Q2-021,S003,S003,基础交接,4887.754,5037.754,
Q2-021,S003,S003,逐箱交接,5037.754,5067.754,S003-HYG-01
Q2-021,S003,S003,逐箱交接,5067.754,5097.754,S003-WAT-02
Q2-021,S003,O01,爬升,5097.754,5172.188712727864,
Q2-021,S003,O01,巡航,5172.188712727864,5656.44384391226,
Q2-021,S003,O01,下降,5656.44384391226,5830.085499185697,
Q2-021,S003,O01,毫秒保守裕量,5830.085499185697,5830.086,
Q2-022,O01,S008,爬升,4229.352,4311.088444091797,
Q2-022,O01,S008,巡航,4311.088444091797,4984.3476481575035,
Q2-022,O01,S008,下降,4984.3476481575035,5025.15138106766,
Q2-022,O01,S008,毫秒保守裕量,5025.15138106766,5025.152,
Q2-022,S008,S008,基础交接,5025.152,5175.152,
Q2-022,S008,S008,逐箱交接,5175.152,5205.152,S008-HYG-01
Q2-022,S008,O01,爬升,5205.152,5239.155110758464,
Q2-022,S008,O01,巡航,5239.155110758464,5912.41431482417,
Q2-022,S008,O01,下降,5912.41431482417,6010.498047734326,
Q2-022,S008,O01,毫秒保守裕量,6010.498047734326,6010.499,
Q2-023,O01,S003,爬升,4354.104,4498.805379394532,
Q2-023,O01,S003,巡航,4498.805379394532,5104.124293375026,
Q2-023,O01,S003,下降,5104.124293375026,5193.445948648464,
Q2-023,O01,S003,毫秒保守裕量,5193.445948648464,5193.446,
Q2-023,S003,S003,基础交接,5193.446,5343.446,
Q2-023,S003,S003,逐箱交接,5343.446,5373.446,S003-WAT-04
Q2-023,S003,O01,爬升,5373.446,5447.880712727864,
Q2-023,S003,O01,巡航,5447.880712727864,6053.199626708359,
Q2-023,S003,O01,下降,6053.199626708359,6226.841281981796,
Q2-023,S003,O01,毫秒保守裕量,6226.841281981796,6226.842,
Q2-024,O01,S011,爬升,5086.833,5153.897702148437,
Q2-024,O01,S011,巡航,5153.897702148437,5341.104796306562,
Q2-024,O01,S011,下降,5341.104796306562,5382.735673992109,
Q2-024,O01,S011,毫秒保守裕量,5382.735673992109,5382.736,
Q2-024,S011,S011,基础交接,5382.736,5562.736,
Q2-024,S011,S011,逐箱交接,5562.736,5598.736,S011-MED-01
Q2-024,S011,S011,逐箱交接,5598.736,5634.736,S011-WAT-01
Q2-024,S011,S003,爬升,5634.736,5764.064920898438,
