方案,架次,无人机,机型,电池,准备开始s,访问路线,返航s,能耗kWh,质量kg,体积m³,SOC,充满时刻s,货箱列表
完工时间优先,Q2-001,U07,C,BAT-C-01,0.0,O01 → S001 → O01,1494.176,2.8127111414518087,73,0.147,0.6484111073185239,3089.286,S001-MED-02; S001-WAT-01; S001-WAT-02; S001-WAT-03; S001-WAT-07; S001-WAT-08
完工时间优先,Q2-002,U08,C,BAT-C-02,0.0,O01 → S002 → O01,2041.844,6.105796952880379,64,0.136,0.23677538088995265,4528.831,S002-FOD-02; S002-WAT-01; S002-WAT-02; S002-WAT-03; S002-WAT-04
完工时间优先,Q2-003,U01,A,BAT-A-01,0.0,O01 → S007 → O01,1727.468,1.8275023375986301,9,0.047,0.5938883694225267,2755.414,S007-HYG-01; S007-MED-01
完工时间优先,Q2-004,U02,A,BAT-A-02,0.0,O01 → S013 → O01,1552.164,1.8407071587945603,3,0.012,0.5909539647123199,2583.924,S013-MED-01
完工时间优先,Q2-005,U05,B,BAT-B-01,0.0,O01 → S006 → O01,1207.271,1.1381173257060366,20,0.062,0.7154706685734908,2367.122,S006-HYG-01; S006-WAT-01
完工时间优先,Q2-006,U06,B,BAT-B-02,0.0,O01 → S013 → S010 → O01,1886.647,2.0860323287879208,25,0.067,0.4784919178030198,3457.262,S010-FOD-01; S010-MED-01; S013-WAT-01
完工时间优先,Q2-007,U03,A,BAT-A-03,0.226,O01 → S014 → O01,1930.626,2.251627801047422,14,0.027,0.4996382664339062,3081.097,S014-WAT-01
完工时间优先,Q2-008,U04,A,BAT-A-04,0.277,O01 → S010 → O01,1595.171,1.9213904848411352,14,0.027,0.57302433670197,2650.24,S010-WAT-01
完工时间优先,Q2-009,U05,B,BAT-B-03,1207.271,O01 → S006 → O01,2474.542,1.224316782124016,25,0.067,0.693920804468996,3671.746,S006-FOD-01; S006-MED-01; S006-WAT-02
完工时间优先,Q2-010,U07,C,BAT-C-03,1494.176,O01 → S001 → O01,3120.352,2.8127111414518087,73,0.219,0.6484111073185239,4715.462,S001-FOD-01; S001-FOD-02; S001-HYG-01; S001-HYG-02; S001-MED-01; S001-WAT-04; S001-WAT-05; S001-WAT-06
完工时间优先,Q2-011,U02,A,BAT-A-05,1552.164,O01 → S007 → O01,3219.632,1.872588415047149,14,0.027,0.5838692411006335,4260.602,S007-WAT-01
完工时间优先,Q2-012,U04,A,BAT-A-06,1595.171,O01 → S014 → O01,3585.571,2.2175912570533356,11,0.04,0.5072019428770365,4726.209,S014-FOD-01; S014-MED-01
完工时间优先,Q2-013,U06,B,BAT-B-04,1886.647,O01 → S012 → O01,3809.475,2.7525999542899324,25,0.067,0.3118500114275169,5668.935,S012-FOD-01; S012-MED-01; S012-WAT-01
完工时间优先,Q2-014,U08,C,BAT-C-04,2041.844,O01 → S002 → S004 → S005 → O01,4889.702,6.3893671713938325,45,0.129,0.20132910357577094,7453.489,S002-FOD-01; S002-HYG-01; S002-MED-01; S004-WAT-03; S005-WAT-03
完工时间优先,Q2-015,U05,B,BAT-B-01,2474.542,O01 → S008 → O01,4436.385,2.9752068745422333,25,0.067,0.25619828136444167,6392.308,S008-FOD-01; S008-MED-01; S008-WAT-01
完工时间优先,Q2-016,U01,A,BAT-A-02,2583.924,O01 → S007 → O01,4251.392,1.872588415047149,14,0.027,0.5838692411006335,5292.362,S007-WAT-02
完工时间优先,Q2-017,U03,A,BAT-A-04,2650.24,O01 → S006 → O01,3903.717,1.2888475197755174,14,0.027,0.713589440049885,4776.051,S006-WAT-03
完工时间优先,Q2-018,U07,C,BAT-C-01,3120.352,O01 → S011 → S005 → O01,5425.52,4.467964535576655,70,0.196,0.4415044330529181,7468.928,S005-FOD-01; S005-HYG-01; S005-MED-01; S005-WAT-01; S005-WAT-02; S011-FOD-01; S011-MED-01; S011-WAT-01
完工时间优先,Q2-019,U02,A,BAT-A-01,3219.632,O01 → S008 → O01,5330.779,3.146459854356152,14,0.027,0.3007866990319662,6739.757,S008-WAT-02
完工时间优先,Q2-020,U04,A,BAT-A-03,3585.571,O01 → S013 → O01,5137.735,1.871314772241416,8,0.028,0.5841522728352408,6178.338,S013-FOD-01
完工时间优先,Q2-021,U06,B,BAT-B-02,3809.475,O01 → S004 → O01,5671.118,2.38982871518113,8,0.028,0.4025428212047175,7373.378,S004-FOD-01
完工时间优先,Q2-022,U01,A,BAT-A-05,4260.602,O01 → S007 → O01,5928.07,1.819855847054329,8,0.028,0.5955875895434825,6953.807,S007-FOD-01
完工时间优先,Q2-023,U05,B,BAT-B-03,4436.385,O01 → S009 → S008 → O01,6722.519,2.9610521692180924,14,0.063,0.2597369576954769,8672.309,S008-HYG-01; S009-FOD-01
完工时间优先,Q2-024,U03,A,BAT-A-06,4726.209,O01 → S003 → O01,6928.947,2.9316889875927306,14,0.027,0.34851355831272657,8275.88,S003-WAT-03
完工时间优先,Q2-025,U08,C,BAT-C-02,4889.702,O01 → S003 → O01,7391.88,6.324499390874367,67,0.184,0.20943757614070413,9938.099,S003-FOD-01; S003-FOD-02; S003-HYG-01; S003-MED-01; S003-WAT-01; S003-WAT-02; S003-WAT-04
完工时间优先,Q2-026,U04,A,BAT-A-04,5137.735,O01 → S004 → O01,7256.534,3.0353051994065083,14,0.027,0.3254877334652204,8633.4,S004-WAT-01
完工时间优先,Q2-027,U02,A,BAT-A-02,5330.779,O01 → S009 → O01,7019.419,2.2548592248661103,17,0.039,0.4989201722519755,8170.823,S009-MED-01; S009-WAT-01
完工时间优先,Q2-028,U07,C,BAT-C-03,5425.52,O01 → S004 → O01,7528.576,5.102400065580047,23,0.07400000000000001,0.36219999180249407,9743.81,S004-HYG-01; S004-MED-01; S004-WAT-02
完工时间优先,Q2-029,U06,B,BAT-B-04,5671.118,O01 → S015 → O01,7499.446,2.3075285057525154,25,0.067,0.42311787356187114,9166.042,S015-FOD-01; S015-MED-01; S015-WAT-01
完工时间优先,Q2-030,U01,A,BAT-A-03,6178.338,O01 → S001 → O01,7369.246,1.1865798323864554,8,0.028,0.7363155928030098,8212.036,S001-FOD-03
能耗优先,Q2-001,U07,C,BAT-C-01,0.0,O01 → S006 → O01,1561.554,2.5979362904386822,59,0.156,0.6752579636951648,3098.496,S006-FOD-01; S006-HYG-01; S006-MED-01; S006-WAT-01; S006-WAT-02; S006-WAT-03
能耗优先,Q2-002,U05,B,BAT-B-01,0.001,O01 → S010 → O01,1555.406,1.823216564231414,25,0.067,0.5441958589421465,3012.134,S010-FOD-01; S010-MED-01; S010-WAT-01
能耗优先,Q2-003,U06,B,BAT-B-02,0.006,O01 → S008 → O01,1961.849,2.9752068745422333,25,0.067,0.25619828136444167,3917.772,S008-FOD-01; S008-MED-01; S008-WAT-01
能耗优先,Q2-004,U08,C,BAT-C-02,36.016,O01 → S002 → O01,2143.86,5.601961218543254,53,0.157,0.29975484768209326,4494.392,S002-FOD-01; S002-FOD-02; S002-HYG-01; S002-MED-01; S002-WAT-01; S002-WAT-02
能耗优先,Q2-005,U07,C,BAT-C-03,1566.315,O01 → S013 → S014 → O01,4140.008,5.014897084732867,50,0.134,0.3731378644083916,6331.543,S013-FOD-01; S013-MED-01; S013-WAT-01; S014-FOD-01; S014-MED-01; S014-WAT-01
能耗优先,Q2-006,U05,B,BAT-B-03,1576.31,O01 → S012 → O01,3499.138,2.7525999542899324,25,0.067,0.3118500114275169,5358.598,S012-FOD-01; S012-MED-01; S012-WAT-01
能耗优先,Q2-007,U08,C,BAT-C-04,2143.86,O01 → S007 → S011 → O01,4512.738,4.579541536928699,70,0.196,0.42755730788391266,6586.364,S007-FOD-01; S007-HYG-01; S007-MED-01; S007-WAT-01; S007-WAT-02; S011-FOD-01; S011-MED-01; S011-WAT-01
能耗优先,Q2-008,U06,B,BAT-B-04,2492.456,O01 → S001 → O01,3701.563,1.0739722576354607,20,0.051000000000000004,0.7315069355911348,4833.618,S001-MED-01; S001-MED-02; S001-WAT-01
能耗优先,Q2-009,U05,B,BAT-B-01,3499.138,O01 → S005 → S004 → O01,5714.979,2.7917500781027624,25,0.067,0.3020624804743094,7591.405,S004-FOD-01; S004-MED-01; S005-WAT-03
能耗优先,Q2-010,U06,B,BAT-B-02,3999.948,O01 → S004 → O01,5921.591,2.668319628024298,20,0.062,0.33292009299392555,7744.53,S004-HYG-01; S004-WAT-01
能耗优先,Q2-011,U07,C,BAT-C-01,4140.008,O01 → S003 → O01,6642.186,6.324499390874367,67,0.184,0.20943757614070413,9188.405,S003-FOD-01; S003-FOD-02; S003-HYG-01; S003-MED-01; S003-WAT-01; S003-WAT-02; S003-WAT-04
