方案,货箱,服务区,架次,交箱次序,完成时刻s,期望时刻s,硬截止s,逾期s
完工时间优先,S001-FOD-01,S001,Q2-010,7,2772.449,7200.0,,0
完工时间优先,S001-FOD-02,S001,Q2-010,5,2700.449,7200.0,,0
完工时间优先,S001-FOD-03,S001,Q2-030,1,7026.915,7200.0,,0
完工时间优先,S001-HYG-01,S001,Q2-010,8,2808.449,10800.0,,0
完工时间优先,S001-HYG-02,S001,Q2-010,2,2592.449,10800.0,,0
完工时间优先,S001-MED-01,S001,Q2-010,4,2664.449,3600.0,3600.0,0
完工时间优先,S001-MED-02,S001,Q2-001,1,1002.273,3600.0,3600.0,0
完工时间优先,S001-WAT-01,S001,Q2-001,6,1182.273,3600.0,3600.0,0
完工时间优先,S001-WAT-02,S001,Q2-001,5,1146.273,3600.0,,0
完工时间优先,S001-WAT-03,S001,Q2-001,4,1110.273,3600.0,,0
完工时间优先,S001-WAT-04,S001,Q2-010,3,2628.449,3600.0,,0
完工时间优先,S001-WAT-05,S001,Q2-010,1,2556.449,3600.0,,0
完工时间优先,S001-WAT-06,S001,Q2-010,6,2736.449,3600.0,,0
完工时间优先,S001-WAT-07,S001,Q2-001,3,1074.273,3600.0,,0
完工时间优先,S001-WAT-08,S001,Q2-001,2,1038.273,3600.0,,0
完工时间优先,S002-FOD-01,S002,Q2-014,1,3319.176,7200.0,,0
完工时间优先,S002-FOD-02,S002,Q2-002,4,1385.332,7200.0,,0
完工时间优先,S002-HYG-01,S002,Q2-014,2,3355.176,10800.0,,0
完工时间优先,S002-MED-01,S002,Q2-014,3,3391.176,3600.0,3600.0,0
完工时间优先,S002-WAT-01,S002,Q2-002,3,1349.332,3600.0,3600.0,0
完工时间优先,S002-WAT-02,S002,Q2-002,1,1277.332,3600.0,,0
完工时间优先,S002-WAT-03,S002,Q2-002,5,1421.332,3600.0,,0
完工时间优先,S002-WAT-04,S002,Q2-002,2,1313.332,3600.0,,0
完工时间优先,S003-FOD-01,S003,Q2-025,2,6421.251,10800.0,,0
完工时间优先,S003-FOD-02,S003,Q2-025,3,6457.251,10800.0,,0
完工时间优先,S003-HYG-01,S003,Q2-025,5,6529.251,14400.0,,0
完工时间优先,S003-MED-01,S003,Q2-025,7,6601.251,7200.0,7200.0,0
完工时间优先,S003-WAT-01,S003,Q2-025,6,6565.251,7200.0,7200.0,0
完工时间优先,S003-WAT-02,S003,Q2-025,1,6385.251,7200.0,,0
