无人机,机型,架次,准备开始s,离地s,返回释放s,占用时长s
U01,A,Q2-003,0.0,330.0,1253.477,1253.477
U01,A,Q2-011,1253.477,1583.477,2848.371,1594.894
U01,A,Q2-018,2858.382,3188.382,4767.036,1908.654
U01,A,Q2-025,4785.629,5115.629,6896.776,2111.147
U02,A,Q2-004,0.0,330.0,1930.4,1930.4
U02,A,Q2-014,2033.704,2393.704,4024.104,1990.4
U02,A,Q2-023,4024.104,4354.104,6226.842,2202.738
U02,A,Q2-031,6553.133,6883.133,7715.162,1162.029
U03,A,Q2-005,0.0,360.0,1727.468,1727.468
U03,A,Q2-016,2125.812,2485.812,3737.976,1612.164
U03,A,Q2-022,3899.352,4229.352,6010.499,2111.147
U03,A,Q2-030,6010.499,6340.499,7677.967,1667.468
U04,A,Q2-007,0.0,330.0,1190.908,1190.908
U04,A,Q2-009,1190.914,1520.914,2858.382,1667.468
U04,A,Q2-019,3080.871,3410.871,5199.67,2118.799
U04,A,Q2-026,5199.67,5529.67,7402.408,2202.738
U05,B,Q2-001,0.0,390.0,1922.828,1922.828
U05,B,Q2-013,1922.828,2312.828,3809.475,1886.647
U05,B,Q2-021,3809.475,4169.475,5830.086,2020.611
U05,B,Q2-029,5830.086,6220.086,7388.55,1558.464
U06,B,Q2-006,0.0,360.0,1207.271,1207.271
U06,B,Q2-010,1207.272,1597.272,2474.543,1267.271
U06,B,Q2-017,2474.543,2864.543,4714.596,2240.053
U06,B,Q2-027,5741.371,6131.371,7703.214,1961.843
U07,C,Q2-002,0.0,540.0,1626.176,1626.176
U07,C,Q2-012,1626.176,2076.176,4474.034,2847.858
U07,C,Q2-024,4606.833,5086.833,7626.25,3019.417
U08,C,Q2-008,78.002,528.002,2119.846,2041.844
U08,C,Q2-015,2119.846,2599.846,3614.022,1494.176
U08,C,Q2-020,3614.022,4034.022,5783.078,2169.056
U08,C,Q2-028,5783.078,6233.078,7594.268,1811.19
