架次,货箱列表,质量kg,体积m³,离地时刻s,飞行时间s,累计作业时间s,返航SOC,飞行取整裕量s
Q2-001,S006-WAT-03,14,0.027,330.0,743.4766397798275,1253.477,0.713589440049885,0.00036022017258119376
Q2-002,S002-HYG-01; S002-WAT-01; S002-WAT-02; S002-WAT-04,48,0.116,420.0,1231.8421660245544,1975.844,0.3216698480565183,0.0018339754456064838
Q2-003,S013-MED-01; S013-WAT-01,17,0.039,360.0,1042.1628172294845,1612.164,0.5648820314493803,0.0011827705155837975
Q2-004,S001-FOD-03,8,0.028,330.0,680.9069627433815,1190.908,0.7363155928030098,0.0010372566184742027
Q2-005,S005-WAT-01; S008-WAT-01,28,0.054,360.0,1439.8536604580736,2159.855,0.24172605524651658,0.001339541926313359
Q2-006,S006-WAT-01,14,0.027,330.426,637.2700113681328,1147.271,0.7334394717117869,0.0009886318671874506
Q2-007,S001-FOD-01; S001-FOD-02; S001-HYG-01; S001-HYG-02; S001-MED-01; S001-WAT-04; S001-WAT-05; S001-WAT-06,73,0.219,541.257,618.1750458620229,1626.176,0.6484111073185239,0.0009541379771462744
Q2-008,S014-MED-01; S014-WAT-01,17,0.039,361.557,1420.3988852767495,1990.4,0.49091592276039053,0.0011147232504526983
Q2-009,S006-FOD-01; S006-MED-01; S006-WAT-02,25,0.067,1537.697,637.2700113681328,1267.271,0.693920804468996,0.0009886318671874506
Q2-010,S003-FOD-02; S003-WAT-03,22,0.055,1550.927,1692.7372306302605,2262.738,0.31471618205517615,0.0007693697394870469
Q2-011,S010-MED-01,3,0.012,1583.477,1084.8926699889435,1594.894,0.5917759050649747,0.0013300110565523937
Q2-012,S009-FOD-01; S009-MED-01; S009-WAT-01; S012-FOD-01; S012-MED-01; S012-WAT-01,50,0.134,2107.433,1458.2986811510423,2514.3,0.24506487783684805,0.001318848957737373
Q2-013,S001-MED-02; S001-WAT-01; S001-WAT-02; S001-WAT-03; S001-WAT-07; S001-WAT-08,73,0.147,2455.844,618.1750458620229,1494.176,0.6484111073185239,0.0009541379771462744
Q2-014,S007-HYG-01; S007-MED-01,9,0.047,2393.698,1157.4668858917819,1727.468,0.5938883694225267,0.001114108218189358
Q2-015,S010-WAT-01,14,0.027,2455.811,1084.8926699889435,1594.894,0.57302433670197,0.0013300110565523937
Q2-016,S002-FOD-01; S002-MED-01; S002-WAT-03,25,0.067,2549.855,1186.7240813077574,1816.726,0.32163176468950305,0.0019186922424978547
Q2-017,S007-WAT-01; S007-WAT-02,28,0.054,2774.968,1006.3096400610816,1576.31,0.5302360823558661,0.000359938918336411
Q2-018,S015-MED-01,3,0.012,3178.371,1398.6530565810067,1908.654,0.4842202208462578,0.0009434189933017478
Q2-019,S008-FOD-01; S008-MED-01,11,0.04,3813.665,1601.1454288019854,2171.147,0.3109350472601816,0.0015711980144033078
Q2-020,S004-FOD-01; S004-WAT-03,22,0.055,3830.02,1425.0547187724458,2037.056,0.3642062892570135,0.0012812275542728457
Q2-021,S013-FOD-01,8,0.028,4209.063,1042.1628172294845,1552.164,0.5841522728352408,0.0011827705155837975
Q2-022,S010-FOD-01,8,0.028,4321.278,925.4035197802173,1435.405,0.6210912451312007,0.0014802197826497832
Q2-023,S002-FOD-02,8,0.028,4470.864,1186.7240813077574,1696.726,0.4359884506404603,0.0019186922424978547
Q2-024,S004-HYG-01; S004-MED-01; S004-WAT-01; S004-WAT-02,37,0.101,4698.893,1425.0547187724458,2169.056,0.32676759993672433,0.0012812275542728457
Q2-025,S008-WAT-02,14,0.027,5119.112,1601.1454288019854,2111.147,0.3007866990319662,0.0015711980144033078
Q2-026,S003-FOD-01; S003-WAT-01,22,0.055,5163.629,1692.7372306302605,2262.738,0.31471618205517615,0.0007693697394870469
Q2-027,S003-MED-01; S003-WAT-04,17,0.039,5791.227,1692.7372306302605,2262.738,0.3372974790626706,0.0007693697394870469
Q2-028,S003-HYG-01; S003-WAT-02,20,0.062,5832.203,1450.6096650380623,2020.611,0.353592066647498,0.001334961937686785
Q2-029,S005-FOD-01; S005-HYG-01; S005-MED-01; S005-WAT-02; S011-WAT-01; S015-FOD-01; S015-WAT-01,67,0.184,6017.076,1758.2720428490716,3060.274,0.21538230155729876,0.0019571509284901367
Q2-030,S007-FOD-01,8,0.028,6220.613,1006.3096400610816,1516.31,0.6293505308581886,0.000359938918336411
Q2-031,S014-FOD-01,8,0.028,6257.539,1420.3988852767495,1930.4,0.5136683063181224,0.0011147232504526983
Q2-032,S008-HYG-01,6,0.035,6940.76,1389.7115246008332,1935.712,0.3628808141754194,0.00047539916681671457
Q2-033,S005-WAT-03,14,0.027,7273.625,1122.1881982380369,1632.189,0.5364619688690415,0.0008017619630891204
Q2-034,S011-FOD-01,8,0.028,7396.367,652.0283099395829,1162.029,0.7552367594899616,0.0006900604171278246
Q2-035,S006-HYG-01,6,0.035,7736.923,637.2700113681328,1147.271,0.7487148780043487,0.0009886318671874506
Q2-036,S011-MED-01,3,0.012,7822.814,558.4247628605204,1068.426,0.7821403974338106,0.001237139479542293
