方案,阶段,种子,轮次,目标,状态,候选数,当前值（整数单位）,求解器界限（整数单位）,本层条件最优,整个前缀已证最优,用时s
及时性优先,固定组批初调,0,,加权逾期,可行，未证最优,34,5790720,0.0,否,否,5.0024783
及时性优先,固定组批初调,0,,最后返航,可行，未证最优,34,9506342,8825218.0,否,否,4.9983839
及时性优先,固定组批初调,0,,能耗,当前模型已证最优,34,93651196232,93651196232.0,是,否,0.0165011
及时性优先,固定组批初调,0,,架次,当前模型已证最优,34,34,34.0,是,否,0.017143500000000002
及时性优先,初始全池调度,0,,加权逾期,可行，未证最优,1500,5790720,0.0,否,否,42.1735733
及时性优先,初始全池调度,0,,最后返航,可行，未证最优,1500,9374342,5728611.0,否,否,42.103448
及时性优先,初始全池调度,0,,能耗,可行，未证最优,1500,97196086407,59307687005.0,否,否,42.020602200000006
及时性优先,初始全池调度,0,,架次,可行，未证最优,1500,36,17.0,否,否,41.802045400000004
及时性优先,局部组批重排,0,1,加权逾期,可行，未证最优,84,5716408,0.0,否,否,4.998944900000001
及时性优先,局部组批重排,0,1,最后返航,可行，未证最优,84,9589234,7698215.0,否,否,4.9949034
及时性优先,局部组批重排,0,1,能耗,可行，未证最优,84,95462916483,90135922431.0,否,否,4.990376400000001
及时性优先,局部组批重排,0,1,架次,当前模型已证最优,84,36,36.0,是,否,0.1483534
及时性优先,局部组批重排,1,2,加权逾期,可行，未证最优,117,127106676,0.0,否,否,5.0032356
及时性优先,局部组批重排,1,2,最后返航,可行，未证最优,117,10506217,8497816.0,否,否,4.9897413
及时性优先,局部组批重排,1,2,能耗,当前模型已证最优,117,93629823402,93629823402.0,是,否,2.1451266
及时性优先,局部组批重排,1,2,架次,当前模型已证最优,117,35,35.0,是,否,0.0740874
及时性优先,局部组批重排,2,3,加权逾期,可行，未证最优,53,3887958,0.0,否,否,5.0211638
及时性优先,局部组批重排,2,3,最后返航,可行，未证最优,53,10314933,7905220.0,否,否,4.9905673
及时性优先,局部组批重排,2,3,能耗,当前模型已证最优,53,91812818604,91812818604.0,是,否,4.9278193
及时性优先,局部组批重排,2,3,架次,当前模型已证最优,53,35,35.0,是,否,0.027145500000000003
及时性优先,局部组批重排,0,4,加权逾期,限时未取得新解,84,,0.0,否,否,5.0008043
及时性优先,局部组批重排,1,5,加权逾期,可行，未证最优,178,8865972,0.0,否,否,4.991249600000001
及时性优先,局部组批重排,1,5,最后返航,可行，未证最优,178,10384831,7879198.0,否,否,4.983135
及时性优先,局部组批重排,1,5,能耗,当前模型已证最优,178,90355430403,90355430403.0,是,否,2.2090607
及时性优先,局部组批重排,1,5,架次,当前模型已证最优,178,34,34.0,是,否,0.2124259
及时性优先,局部组批重排,2,6,加权逾期,可行，未证最优,79,1455648,0.0,否,否,4.9985536
及时性优先,局部组批重排,2,6,最后返航,可行，未证最优,79,10314933,7768996.0,否,否,4.9958787000000004
及时性优先,局部组批重排,2,6,能耗,当前模型已证最优,79,89724572417,89724572417.0,是,否,0.0933215
及时性优先,局部组批重排,2,6,架次,当前模型已证最优,79,33,33.0,是,否,0.0337417
及时性优先,局部组批重排,0,7,加权逾期,当前模型已证最优,204,0,0.0,是,是,1.7240379000000001
及时性优先,局部组批重排,0,7,最后返航,可行，未证最优,204,10314933,7408115.0,否,否,6.072332
及时性优先,局部组批重排,0,7,能耗,可行，未证最优,204,85827965785,85793861963.0,否,否,6.067494300000001
及时性优先,局部组批重排,0,7,架次,当前模型已证最优,204,31,31.0,是,否,0.6207153000000001
及时性优先,局部组批重排,1,8,加权逾期,限时未取得新解,312,,0.0,否,否,4.9866698000000005
及时性优先,局部组批重排,2,9,加权逾期,当前模型已证最优,337,0,0.0,是,是,0.5841771
及时性优先,局部组批重排,2,9,最后返航,可行，未证最优,337,10675254,7164330.0,否,否,6.421506900000001
及时性优先,局部组批重排,2,9,能耗,当前模型已证最优,337,83583378156,83583378156.0,是,否,5.3048576
及时性优先,局部组批重排,2,9,架次,当前模型已证最优,337,30,30.0,是,否,0.7396980000000001
及时性优先,局部组批重排,0,10,加权逾期,当前模型已证最优,243,0,0.0,是,是,0.24648550000000002
及时性优先,局部组批重排,0,10,最后返航,可行，未证最优,243,9273820,7233014.0,否,否,6.5602247
及时性优先,局部组批重排,0,10,能耗,可行，未证最优,243,86271436073,80032410269.0,否,否,6.5461264
及时性优先,局部组批重排,0,10,架次,可行，未证最优,243,31,29.0,否,否,6.5177917
及时性优先,局部组批重排,1,11,加权逾期,当前模型已证最优,141,0,0.0,是,是,0.6767299
