电池,机型,架次,占用开始s,返航充电开始s,返航SOC,实际充电时间s,充满可用时刻s
BAT-A-01,A,Q2-001,0.0,1253.477,0.713589440049885,872.3337279351493,2125.811
BAT-A-01,A,Q2-015,2125.811,3720.705,0.57302433670197,1055.068362287439,4775.774
BAT-A-01,A,Q2-025,4789.112,6900.259,0.3007866990319662,1408.9772912584438,8309.237
BAT-A-02,A,Q2-003,0.0,1612.164,0.5648820314493803,1065.6533591158054,2677.818
BAT-A-02,A,Q2-018,2848.371,4757.025,0.4842202208462578,1170.5137128998647,5927.539
BAT-A-02,A,Q2-031,5927.539,7857.939,0.5136683063181224,1132.2312017864408,8990.171
BAT-A-03,A,Q2-004,0.0,1190.908,0.7363155928030098,842.7897293560872,2033.698
BAT-A-03,A,Q2-014,2033.698,3761.166,0.5938883694225267,1027.9451197507153,4789.112
BAT-A-03,A,Q2-026,4803.629,7066.367,0.31471618205517615,1390.8689633282709,8457.236
BAT-A-04,A,Q2-008,1.557,1991.957,0.49091592276039053,1161.8093004114921,3153.767
BAT-A-04,A,Q2-019,3453.665,5624.812,0.3109350472601816,1395.7844385617639,7020.597
BAT-A-04,A,Q2-034,7066.367,8228.396,0.7552367594899616,818.1922126630498,9046.589
BAT-A-05,A,Q2-010,1190.927,3453.665,0.31471618205517615,1390.8689633282709,4844.534
BAT-A-05,A,Q2-027,5431.227,7693.965,0.3372974790626706,1361.513277218528,9055.479
BAT-A-06,A,Q2-011,1253.477,2848.371,0.5917759050649747,1030.691323415533,3879.063
BAT-A-06,A,Q2-021,3879.063,5431.227,0.5841522728352408,1040.6020453141869,6471.83
BAT-A-06,A,Q2-033,6943.625,8575.814,0.5364619688690415,1102.5994404702458,9678.414
BAT-B-01,B,Q2-005,0.0,2159.855,0.24172605524651658,1981.0081709060378,4140.864
BAT-B-01,B,Q2-023,4140.864,5837.59,0.4359884506404603,1644.2866855565353,7481.877
BAT-B-01,B,Q2-036,7492.814,8561.24,0.7821403974338106,1044.2899777813948,9605.53
BAT-B-02,B,Q2-006,0.426,1147.697,0.7334394717117869,1128.7049156995693,2276.402
BAT-B-02,B,Q2-017,2414.968,3991.278,0.5302360823558661,1480.9241239164987,5472.203
BAT-B-02,B,Q2-028,5472.203,7492.814,0.353592066647498,1787.10708447767,9279.922
BAT-B-03,B,Q2-009,1147.697,2414.968,0.693920804468996,1197.203938920407,3612.172
BAT-B-03,B,Q2-022,3991.278,5426.683,0.6210912451312007,1323.4418417725853,6750.125
BAT-B-03,B,Q2-035,7406.923,8554.194,0.7487148780043487,1102.2275447924621,9656.422
BAT-B-04,B,Q2-016,2159.855,3976.581,0.32163176468950305,1842.504941204861,5819.086
BAT-B-04,B,Q2-030,5890.613,7406.923,0.6293505308581886,1309.1257465124731,8716.049
BAT-C-01,C,Q2-002,0.0,1975.844,0.3216698480565183,2303.0486625442104,4278.893
BAT-C-01,C,Q2-024,4278.893,6447.949,0.32676759993672433,2292.0035334704303,8739.953
BAT-C-02,C,Q2-007,1.257,1627.433,0.6484111073185239,1595.1092674765314,3222.543
BAT-C-02,C,Q2-020,3470.02,5507.076,0.3642062892570135,2210.8863732764707,7717.963
BAT-C-03,C,Q2-012,1627.433,4141.733,0.24506487783684805,2469.026098020162,6610.76
BAT-C-03,C,Q2-032,6610.76,8546.472,0.3628808141754194,2213.7582359532576,10760.231
BAT-C-04,C,Q2-013,1975.844,3470.02,0.6484111073185239,1595.1092674765314,5065.13
BAT-C-04,C,Q2-029,5507.076,8567.35,0.21538230155729876,2533.3383466258524,11100.689
