货箱,服务区,身份,有效硬截止s,交付完成s,裕量s,是否满足
S007-WAT-01,S007,首批,3600.0,3540.338,59.66199999999981,是
S008-WAT-01,S008,首批,7200.0,7032.519,167.48099999999977,是
S008-MED-01,S008,医疗+首批,7200.0,7002.519,197.48099999999977,是
S015-MED-01,S015,医疗+首批,7200.0,6928.629,271.3710000000001,是
S010-MED-01,S010,医疗+首批,3600.0,3309.309,290.6909999999998,是
S001-WAT-01,S001,首批,3600.0,3302.119,297.88099999999986,是
S014-MED-01,S014,医疗+首批,3600.0,3276.461,323.5390000000002,是
S013-MED-01,S013,医疗+首批,3600.0,3179.427,420.57299999999987,是
S001-MED-02,S001,医疗,3600.0,3158.119,441.88099999999986,是
S002-MED-01,S002,医疗+首批,3600.0,2975.508,624.4920000000002,是
S003-WAT-01,S003,首批,7200.0,6549.012,650.9880000000003,是
S013-WAT-01,S013,首批,3600.0,2925.618,674.3820000000001,是
S010-WAT-01,S010,首批,3600.0,2298.461,1301.5390000000002,是
S006-MED-01,S006,医疗+首批,3600.0,2119.671,1480.3290000000002,是
S004-MED-01,S004,医疗+首批,7200.0,5029.52,2170.4799999999996,是
S004-WAT-01,S004,首批,7200.0,4993.52,2206.4799999999996,是
S002-WAT-01,S002,首批,3600.0,1391.334,2208.666,是
S001-MED-01,S001,医疗+首批,3600.0,1278.273,2321.727,是
S012-MED-01,S012,医疗+首批,3600.0,1241.344,2358.656,是
S014-WAT-01,S014,首批,3600.0,1212.757,2387.243,是
S012-WAT-01,S012,首批,3600.0,1211.344,2388.656,是
S007-MED-01,S007,医疗+首批,3600.0,1111.374,2488.626,是
S006-WAT-01,S006,首批,3600.0,852.399,2747.601,是
S003-MED-01,S003,医疗+首批,7200.0,3982.264,3217.736,是
S005-MED-01,S005,医疗+首批,10800.0,7018.308,3781.692,是
S005-WAT-01,S005,首批,10800.0,6982.308,3817.692,是
S015-WAT-01,S015,首批,10800.0,6964.629,3835.371,是
S009-MED-01,S009,医疗+首批,10800.0,6890.908,3909.0919999999996,是
S009-WAT-01,S009,首批,10800.0,6860.908,3939.0919999999996,是
S011-WAT-01,S011,首批,10800.0,5634.736,5165.264,是
S011-MED-01,S011,医疗+首批,10800.0,5598.736,5201.264,是
