架次,航段,顶点次序,起点,终点,东向km,北向km,海拔m
Q2-001,1,1,O01,S012,0.0,0.0,127.7
Q2-001,1,2,O01,S012,0.0,0.0,413.3009948730469
Q2-001,1,3,O01,S012,5.3599521975977344,5.0891910301555,413.3009948730469
Q2-001,1,4,O01,S012,5.3599521975977344,5.0891910301555,279.8
Q2-001,2,1,S012,O01,5.3599521975977344,5.0891910301555,279.8
Q2-001,2,2,S012,O01,5.3599521975977344,5.0891910301555,413.3009948730469
Q2-001,2,3,S012,O01,0.0,0.0,413.3009948730469
Q2-001,2,4,S012,O01,0.0,0.0,127.7
Q2-002,1,1,O01,S001,0.0,0.0,127.7
Q2-002,1,2,O01,S001,0.0,0.0,273.0566101074219
Q2-002,1,3,O01,S001,1.269169921901062,2.777817111438484,273.0566101074219
Q2-002,1,4,O01,S001,1.269169921901062,2.777817111438484,184
Q2-002,2,1,S001,O01,1.269169921901062,2.777817111438484,184
Q2-002,2,2,S001,O01,1.269169921901062,2.777817111438484,273.0566101074219
Q2-002,2,3,S001,O01,0.0,0.0,273.0566101074219
Q2-002,2,4,S001,O01,0.0,0.0,127.7
Q2-003,1,1,O01,S006,0.0,0.0,127.7
Q2-003,1,2,O01,S006,0.0,0.0,366.09783935546875
Q2-003,1,3,O01,S006,-3.1849806990700626,-0.08809695382351547,366.09783935546875
Q2-003,1,4,O01,S006,-3.1849806990700626,-0.08809695382351547,314.8
Q2-003,2,1,S006,O01,-3.1849806990700626,-0.08809695382351547,314.8
Q2-003,2,2,S006,O01,-3.1849806990700626,-0.08809695382351547,366.09783935546875
Q2-003,2,3,S006,O01,0.0,0.0,366.09783935546875
Q2-003,2,4,S006,O01,0.0,0.0,127.7
Q2-004,1,1,O01,S014,0.0,0.0,127.7
Q2-004,1,2,O01,S014,0.0,0.0,591.9473876953125
Q2-004,1,3,O01,S014,5.407201871835279,-0.3654334735725998,591.9473876953125
Q2-004,1,4,O01,S014,5.407201871835279,-0.3654334735725998,351
Q2-004,2,1,S014,O01,5.407201871835279,-0.3654334735725998,351
Q2-004,2,2,S014,O01,5.407201871835279,-0.3654334735725998,591.9473876953125
Q2-004,2,3,S014,O01,0.0,0.0,591.9473876953125
Q2-004,2,4,S014,O01,0.0,0.0,127.7
Q2-005,1,1,O01,S007,0.0,0.0,127.7
Q2-005,1,2,O01,S007,0.0,0.0,511.9731750488281
Q2-005,1,3,O01,S007,-3.8989541341595637,2.315560046755532,511.9731750488281
Q2-005,1,4,O01,S007,-3.8989541341595637,2.315560046755532,348.5
Q2-005,2,1,S007,O01,-3.8989541341595637,2.315560046755532,348.5
Q2-005,2,2,S007,O01,-3.8989541341595637,2.315560046755532,511.9731750488281
Q2-005,2,3,S007,O01,0.0,0.0,511.9731750488281
Q2-005,2,4,S007,O01,0.0,0.0,127.7
Q2-006,1,1,O01,S006,0.0,0.0,127.7
Q2-006,1,2,O01,S006,0.0,0.0,366.09783935546875
Q2-006,1,3,O01,S006,-3.1849806990700626,-0.08809695382351547,366.09783935546875
Q2-006,1,4,O01,S006,-3.1849806990700626,-0.08809695382351547,314.8
Q2-006,2,1,S006,O01,-3.1849806990700626,-0.08809695382351547,314.8
Q2-006,2,2,S006,O01,-3.1849806990700626,-0.08809695382351547,366.09783935546875
Q2-006,2,3,S006,O01,0.0,0.0,366.09783935546875
Q2-006,2,4,S006,O01,0.0,0.0,127.7
Q2-007,1,1,O01,S001,0.0,0.0,127.7
Q2-007,1,2,O01,S001,0.0,0.0,273.0566101074219
Q2-007,1,3,O01,S001,1.269169921901062,2.777817111438484,273.0566101074219
Q2-007,1,4,O01,S001,1.269169921901062,2.777817111438484,184
Q2-007,2,1,S001,O01,1.269169921901062,2.777817111438484,184
Q2-007,2,2,S001,O01,1.269169921901062,2.777817111438484,273.0566101074219
Q2-007,2,3,S001,O01,0.0,0.0,273.0566101074219
Q2-007,2,4,S001,O01,0.0,0.0,127.7
Q2-008,1,1,O01,S002,0.0,0.0,127.7
Q2-008,1,2,O01,S002,0.0,0.0,308.9542541503906
Q2-008,1,3,O01,S002,2.839716698490673,6.845936207025278,308.9542541503906
Q2-008,1,4,O01,S002,2.839716698490673,6.845936207025278,219.5
Q2-008,2,1,S002,O01,2.839716698490673,6.845936207025278,219.5
Q2-008,2,2,S002,O01,2.839716698490673,6.845936207025278,308.9542541503906
Q2-008,2,3,S002,O01,0.0,0.0,308.9542541503906
Q2-008,2,4,S002,O01,0.0,0.0,127.7
Q2-009,1,1,O01,S007,0.0,0.0,127.7
Q2-009,1,2,O01,S007,0.0,0.0,511.9731750488281
Q2-009,1,3,O01,S007,-3.8989541341595637,2.315560046755532,511.9731750488281
Q2-009,1,4,O01,S007,-3.8989541341595637,2.315560046755532,348.5
Q2-009,2,1,S007,O01,-3.8989541341595637,2.315560046755532,348.5
Q2-009,2,2,S007,O01,-3.8989541341595637,2.315560046755532,511.9731750488281
Q2-009,2,3,S007,O01,0.0,0.0,511.9731750488281
Q2-009,2,4,S007,O01,0.0,0.0,127.7
Q2-010,1,1,O01,S006,0.0,0.0,127.7
Q2-010,1,2,O01,S006,0.0,0.0,366.09783935546875
Q2-010,1,3,O01,S006,-3.1849806990700626,-0.08809695382351547,366.09783935546875
Q2-010,1,4,O01,S006,-3.1849806990700626,-0.08809695382351547,314.8
Q2-010,2,1,S006,O01,-3.1849806990700626,-0.08809695382351547,314.8
Q2-010,2,2,S006,O01,-3.1849806990700626,-0.08809695382351547,366.09783935546875
Q2-010,2,3,S006,O01,0.0,0.0,366.09783935546875
Q2-010,2,4,S006,O01,0.0,0.0,127.7
Q2-011,1,1,O01,S010,0.0,0.0,127.7
Q2-011,1,2,O01,S010,0.0,0.0,435.63653564453125
Q2-011,1,3,O01,S010,4.6301502754126265,1.2061585956945475,435.63653564453125
Q2-011,1,4,O01,S010,4.6301502754126265,1.2061585956945475,351.6
Q2-011,2,1,S010,O01,4.6301502754126265,1.2061585956945475,351.6
Q2-011,2,2,S010,O01,4.6301502754126265,1.2061585956945475,435.63653564453125
Q2-011,2,3,S010,O01,0.0,0.0,435.63653564453125
Q2-011,2,4,S010,O01,0.0,0.0,127.7
Q2-012,1,1,O01,S002,0.0,0.0,127.7
Q2-012,1,2,O01,S002,0.0,0.0,308.9542541503906
Q2-012,1,3,O01,S002,2.839716698490673,6.845936207025278,308.9542541503906
Q2-012,1,4,O01,S002,2.839716698490673,6.845936207025278,219.5
Q2-012,2,1,S002,S004,2.839716698490673,6.845936207025278,219.5
Q2-012,2,2,S002,S004,2.839716698490673,6.845936207025278,333.658203125
Q2-012,2,3,S002,S004,0.7503871566968315,7.6781008080523625,333.658203125
Q2-012,2,4,S002,S004,0.7503871566968315,7.6781008080523625,228.3
Q2-012,3,1,S004,S005,0.7503871566968315,7.6781008080523625,228.3
Q2-012,3,2,S004,S005,0.7503871566968315,7.6781008080523625,365.80657958984375
Q2-012,3,3,S004,S005,-0.26155959828932435,5.274111575089368,365.80657958984375
Q2-012,3,4,S004,S005,-0.26155959828932435,5.274111575089368,195
Q2-012,4,1,S005,O01,-0.26155959828932435,5.274111575089368,195
Q2-012,4,2,S005,O01,-0.26155959828932435,5.274111575089368,326.410888671875
Q2-012,4,3,S005,O01,0.0,0.0,326.410888671875
Q2-012,4,4,S005,O01,0.0,0.0,127.7
Q2-013,1,1,O01,S013,0.0,0.0,127.7
Q2-013,1,2,O01,S013,0.0,0.0,399.18182373046875
Q2-013,1,3,O01,S013,4.155203398046757,2.500458442863541,399.18182373046875
Q2-013,1,4,O01,S013,4.155203398046757,2.500458442863541,351.7
Q2-013,2,1,S013,S010,4.155203398046757,2.500458442863541,351.7
Q2-013,2,2,S013,S010,4.155203398046757,2.500458442863541,504.07037353515625
