架次,航段,起点,终点,剩余载荷kg,体积m³,距离m,巡航海拔m,爬升m,下降m,开始s,结束s,飞行时间s,能耗kWh
Q2-001,1,O01,S006,14.0,0.027,3186.19885235084,366.09783935546875,238.39783935546876,51.29783935546874,330.0,695.502,365.50165322324705,0.7017460022234805
Q2-001,2,S006,O01,0.0,0.0,3186.19885235084,366.09783935546875,51.29783935546874,238.39783935546876,875.502,1253.477,377.9749865565804,0.5871015175520368
Q2-002,1,O01,S002,48.0,0.116,7411.533814153884,308.9542541503906,181.25425415039064,89.45425415039062,420.0,1031.332,611.3310830122772,3.1225120448584622
Q2-002,2,S002,O01,0.0,0.0,7411.533814153884,308.9542541503906,89.45425415039062,181.25425415039064,1355.332,1975.844,620.5110830122771,2.3041291706893916
Q2-003,1,O01,S013,17.0,0.039,4849.536854548781,399.18182373046875,271.48182373046876,47.48182373046876,360.0,873.615,513.6147419480756,1.0725391344321376
Q2-003,2,S013,O01,0.0,0.0,4849.536854548781,399.18182373046875,47.48182373046876,271.48182373046876,1083.615,1612.164,528.5480752814088,0.8854917240456509
Q2-004,1,O01,S001,8.0,0.028,3054.0236075149764,273.0566101074219,145.3566101074219,89.05661010742188,330.0,668.577,338.5768147050241,0.6132698228540927
Q2-004,2,S001,O01,0.0,0.0,3054.0236075149764,273.0566101074219,89.05661010742188,145.3566101074219,848.577,1190.908,342.33014803835744,0.5733100095323627
Q2-005,1,O01,S005,28.0,0.054,5280.5933691157215,326.410888671875,198.710888671875,131.410888671875,360.0,830.841,470.84087630042313,1.2994091145407105
Q2-005,2,S005,S008,14.0,0.027,3040.519784035267,366.78717041015625,171.78717041015625,95.88717041015627,1010.841,1309.16,298.3185772364657,0.5544415944438564
Q2-005,3,S008,O01,0.0,0.0,8079.110448788476,372.9093322753906,102.00933227539065,245.20933227539064,1489.16,2159.855,670.6942069211849,1.1792450700293666
Q2-006,1,O01,S006,14.0,0.027,3186.19885235084,366.09783935546875,238.39783935546876,51.29783935546874,330.426,642.825,312.39833901739973,0.5984555332687671
Q2-006,2,S006,O01,0.0,0.0,3186.19885235084,366.09783935546875,51.29783935546874,238.39783935546876,822.825,1147.697,324.8716723507331,0.4677865798840852
Q2-007,1,O01,S001,73.0,0.219,3054.0236075149764,273.0566101074219,145.3566101074219,89.05661010742188,541.257,847.53,306.27252293101145,1.8494595036721861
Q2-007,2,S001,O01,0.0,0.0,3054.0236075149764,273.0566101074219,89.05661010742188,145.3566101074219,1315.53,1627.433,311.90252293101145,0.9632516377796227
Q2-008,1,O01,S014,17.0,0.039,5419.5362999417475,591.9473876953125,464.2473876953125,240.9473876953125,361.557,1064.314,702.7561093050415,1.2515492869807203
Q2-008,2,S014,O01,0.0,0.0,5419.5362999417475,591.9473876953125,240.9473876953125,464.2473876953125,1274.314,1991.957,717.642775971708,1.0393290605975225
Q2-009,1,O01,S006,25.0,0.067,3186.19885235084,366.09783935546875,238.39783935546876,51.29783935546874,1537.697,1850.096,312.39833901739973,0.7565302022399308
Q2-009,2,S006,O01,0.0,0.0,3186.19885235084,366.09783935546875,51.29783935546874,238.39783935546876,2090.096,2414.968,324.8716723507331,0.4677865798840852
Q2-010,1,O01,S003,22.0,0.055,7263.826967765937,561.8041381835938,434.10413818359376,223.30413818359375,1550.927,2390.269,839.3419486484636,1.717148439644012
Q2-010,2,S003,O01,0.0,0.0,7263.826967765937,561.8041381835938,223.30413818359375,434.10413818359376,2600.269,3453.665,853.3952819817969,1.3666287411076952
Q2-011,1,O01,S010,3.0,0.012,4784.6745062617865,435.63653564453125,307.93653564453126,84.03653564453123,1583.477,2118.461,534.9830016611384,0.9535107728476638
Q2-011,2,S010,O01,0.0,0.0,4784.6745062617865,435.63653564453125,84.03653564453123,307.93653564453126,2298.461,2848.371,549.9096683278051,0.8834976543599498
Q2-012,1,O01,S012,50.0,0.134,7391.140162515387,413.3009948730469,285.6009948730469,133.50099487304686,2107.433,2781.167,673.733572886768,3.2281597899258205
Q2-012,2,S012,S009,25.0,0.067,2973.7180351331917,360.91961669921875,81.11961669921874,130.91961669921875,3069.167,3365.323,296.15552403817634,1.0391215755049792
Q2-012,3,S009,O01,0.0,0.0,5705.303446619009,293.2289123535156,63.228912353515625,165.52891235351564,3653.323,4141.733,488.409584226098,1.7721996118744159
Q2-013,1,O01,S001,73.0,0.147,3054.0236075149764,273.0566101074219,145.3566101074219,89.05661010742188,2455.844,2762.117,306.27252293101145,1.8494595036721861
Q2-013,2,S001,O01,0.0,0.0,3054.0236075149764,273.0566101074219,89.05661010742188,145.3566101074219,3158.117,3470.02,311.90252293101145,0.9632516377796227
Q2-014,1,O01,S007,9.0,0.047,4534.717374921003,511.9731750488281,384.27317504882814,163.47317504882812,2393.698,2965.072,571.3734429458909,0.9679589605578799
Q2-014,2,S007,O01,0.0,0.0,4534.717374921003,511.9731750488281,163.47317504882812,384.27317504882814,3175.072,3761.166,586.093442945891,0.8595433770407502
Q2-015,1,O01,S010,14.0,0.027,4784.6745062617865,435.63653564453125,307.93653564453126,84.03653564453123,2455.811,2990.795,534.9830016611384,1.0378928304811854
Q2-015,2,S010,O01,0.0,0.0,4784.6745062617865,435.63653564453125,84.03653564453123,307.93653564453126,3170.795,3720.705,549.9096683278051,0.8834976543599498
Q2-016,1,O01,S002,25.0,0.067,7411.533814153884,308.9542541503906,181.25425415039064,89.45425415039062,2549.855,3140.158,590.3020406538787,1.6326835435483722
Q2-016,2,S002,O01,0.0,0.0,7411.533814153884,308.9542541503906,89.45425415039062,181.25425415039064,3380.158,3976.581,596.4220406538788,1.0807893976936154
Q2-017,1,O01,S007,28.0,0.054,4534.717374921003,511.9731750488281,384.27317504882814,163.47317504882812,2774.968,3270.763,495.79482003054085,1.1910370995724922
Q2-017,2,S007,O01,0.0,0.0,4534.717374921003,511.9731750488281,163.47317504882812,384.27317504882814,3480.763,3991.278,510.5148200305408,0.6880185710040437
Q2-018,1,O01,S015,3.0,0.012,6009.764892220415,571.7992553710938,444.09925537109376,97.29925537109375,3178.371,3866.138,687.7665282905034,1.2134825825412607
Q2-018,2,S015,O01,0.0,0.0,6009.764892220415,571.7992553710938,97.29925537109375,444.09925537109376,4046.138,4757.025,710.8865282905033,1.1075264236505795
