货箱,架次,服务区,交接次序,交接开始s,交付完成s,期望时刻s,硬截止s,首批,优先系数,逾期s
S001-FOD-01,Q2-007,S001,1,1027.53,1063.53,7200.0,,否,10,0
S001-FOD-02,Q2-007,S001,4,1135.53,1171.53,7200.0,,否,10,0
S001-FOD-03,Q2-004,S001,1,818.577,848.577,7200.0,,否,10,0
S001-HYG-01,Q2-007,S001,3,1099.53,1135.53,10800.0,,否,8,0
S001-HYG-02,Q2-007,S001,2,1063.53,1099.53,10800.0,,否,8,0
S001-MED-01,Q2-007,S001,7,1243.53,1279.53,3600.0,3600.0,是,24,0
S001-MED-02,Q2-013,S001,5,3086.117,3122.117,3600.0,3600.0,否,24,0
S001-WAT-01,Q2-013,S001,1,2942.117,2978.117,3600.0,3600.0,是,12,0
S001-WAT-02,Q2-013,S001,3,3014.117,3050.117,3600.0,,否,12,0
S001-WAT-03,Q2-013,S001,2,2978.117,3014.117,3600.0,,否,12,0
S001-WAT-04,Q2-007,S001,5,1171.53,1207.53,3600.0,,否,12,0
S001-WAT-05,Q2-007,S001,8,1279.53,1315.53,3600.0,,否,12,0
S001-WAT-06,Q2-007,S001,6,1207.53,1243.53,3600.0,,否,12,0
S001-WAT-07,Q2-013,S001,6,3122.117,3158.117,3600.0,,否,12,0
S001-WAT-08,Q2-013,S001,4,3050.117,3086.117,3600.0,,否,12,0
S002-FOD-01,Q2-016,S002,2,3320.158,3350.158,7200.0,,否,10,0
S002-FOD-02,Q2-023,S002,1,5211.167,5241.167,7200.0,,否,10,0
S002-HYG-01,Q2-002,S002,1,1211.332,1247.332,10800.0,,否,8,0
S002-MED-01,Q2-016,S002,3,3350.158,3380.158,3600.0,3600.0,是,24,0
S002-WAT-01,Q2-002,S002,2,1247.332,1283.332,3600.0,3600.0,是,12,0
S002-WAT-02,Q2-002,S002,3,1283.332,1319.332,3600.0,,否,12,0
S002-WAT-03,Q2-016,S002,1,3290.158,3320.158,3600.0,,否,12,0
S002-WAT-04,Q2-002,S002,4,1319.332,1355.332,3600.0,,否,12,0
S003-FOD-01,Q2-026,S003,2,6182.971,6212.971,10800.0,,否,8,0
S003-FOD-02,Q2-010,S003,2,2570.269,2600.269,10800.0,,否,8,0
S003-HYG-01,Q2-028,S003,2,6730.482,6760.482,14400.0,,否,6,0
S003-MED-01,Q2-027,S003,1,6780.569,6810.569,7200.0,7200.0,是,20,0
S003-WAT-01,Q2-026,S003,1,6152.971,6182.971,7200.0,7200.0,是,10,0
S003-WAT-02,Q2-028,S003,1,6700.482,6730.482,7200.0,,否,10,0
S003-WAT-03,Q2-010,S003,1,2540.269,2570.269,7200.0,,否,10,0
S003-WAT-04,Q2-027,S003,2,6810.569,6840.569,7200.0,,否,10,0
S004-FOD-01,Q2-020,S004,2,4753.518,4789.518,10800.0,,否,8,0
S004-HYG-01,Q2-024,S004,1,5586.391,5622.391,14400.0,,否,6,0
S004-MED-01,Q2-024,S004,2,5622.391,5658.391,7200.0,7200.0,是,20,0
S004-WAT-01,Q2-024,S004,4,5694.391,5730.391,7200.0,7200.0,是,10,0
S004-WAT-02,Q2-024,S004,3,5658.391,5694.391,7200.0,,否,10,0
S004-WAT-03,Q2-020,S004,1,4717.518,4753.518,7200.0,,否,10,0
S005-FOD-01,Q2-029,S005,1,7919.39,7955.39,14400.0,,否,6,0
S005-HYG-01,Q2-029,S005,2,7955.39,7991.39,18000.0,,否,4,0
S005-MED-01,Q2-029,S005,3,7991.39,8027.39,10800.0,10800.0,是,16,0
S005-WAT-01,Q2-005,S005,1,980.841,1010.841,10800.0,10800.0,是,8,0
S005-WAT-02,Q2-029,S005,4,8027.39,8063.39,10800.0,,否,8,0
S005-WAT-03,Q2-033,S005,1,7982.476,8012.476,10800.0,,否,8,0
S006-FOD-01,Q2-009,S006,3,2060.096,2090.096,7200.0,,否,10,0
S006-HYG-01,Q2-035,S006,1,8199.322,8229.322,10800.0,,否,8,0
S006-MED-01,Q2-009,S006,1,2000.096,2030.096,3600.0,3600.0,是,24,0
S006-WAT-01,Q2-006,S006,1,792.825,822.825,3600.0,3600.0,是,12,0
S006-WAT-02,Q2-009,S006,2,2030.096,2060.096,3600.0,,否,12,0
S006-WAT-03,Q2-001,S006,1,845.502,875.502,3600.0,,否,12,0
S007-FOD-01,Q2-030,S007,1,6866.408,6896.408,7200.0,,否,10,0
S007-HYG-01,Q2-014,S007,2,3145.072,3175.072,10800.0,,否,8,0
S007-MED-01,Q2-014,S007,1,3115.072,3145.072,3600.0,3600.0,是,24,0
S007-WAT-01,Q2-017,S007,1,3420.763,3450.763,3600.0,3600.0,是,12,0
S007-WAT-02,Q2-017,S007,2,3450.763,3480.763,3600.0,,否,12,0
S008-FOD-01,Q2-019,S008,2,4789.465,4819.465,10800.0,,否,8,0
S008-HYG-01,Q2-032,S008,1,7808.456,7844.456,14400.0,,否,6,0
S008-MED-01,Q2-019,S008,1,4759.465,4789.465,7200.0,7200.0,是,20,0
S008-WAT-01,Q2-005,S008,1,1459.16,1489.16,7200.0,7200.0,是,10,0
S008-WAT-02,Q2-025,S008,1,6064.912,6094.912,7200.0,,否,10,0
S009-FOD-01,Q2-012,S009,3,3617.323,3653.323,14400.0,,否,6,0
S009-MED-01,Q2-012,S009,1,3545.323,3581.323,10800.0,10800.0,是,16,0
S009-WAT-01,Q2-012,S009,2,3581.323,3617.323,10800.0,10800.0,是,8,0
S010-FOD-01,Q2-022,S010,1,4926.517,4956.517,7200.0,,否,10,0
S010-MED-01,Q2-011,S010,1,2268.461,2298.461,3600.0,3600.0,是,24,0
S010-WAT-01,Q2-015,S010,1,3140.795,3170.795,3600.0,3600.0,是,12,0
S011-FOD-01,Q2-034,S011,1,7869.568,7899.568,14400.0,,否,6,0
S011-MED-01,Q2-036,S011,1,8249.214,8279.214,10800.0,10800.0,是,16,0
S011-WAT-01,Q2-029,S011,1,6492.979,6528.979,10800.0,10800.0,是,8,0
S012-FOD-01,Q2-012,S012,2,2997.167,3033.167,7200.0,,否,10,0
S012-MED-01,Q2-012,S012,3,3033.167,3069.167,7200.0,3600.0,是,22,0
S012-WAT-01,Q2-012,S012,1,2961.167,2997.167,3600.0,3600.0,是,12,0
S013-FOD-01,Q2-021,S013,1,4872.678,4902.678,7200.0,,否,10,0
S013-MED-01,Q2-003,S013,1,1023.615,1053.615,3600.0,3600.0,是,24,0
S013-WAT-01,Q2-003,S013,2,1053.615,1083.615,3600.0,3600.0,是,12,0
S014-FOD-01,Q2-031,S014,1,7110.296,7140.296,7200.0,,否,10,0
S014-MED-01,Q2-008,S014,1,1214.314,1244.314,7200.0,3600.0,是,22,0
