box,sortie,service,rank,start_s,completion_s,expected_s,hard_s,first,priority,lateness_s,mass_kg,volume_m3
S001-FOD-01,Q2-008,S001,5,1200.273,1236.273,7200.0,,False,10,0,8,0.028
S001-FOD-02,Q2-008,S001,3,1128.273,1164.273,7200.0,,False,10,0,8,0.028
S001-FOD-03,Q2-005,S001,2,1002.273,1038.273,7200.0,,False,10,0,8,0.028
S001-HYG-01,Q2-008,S001,2,1092.273,1128.273,10800.0,,False,8,0,6,0.035
S001-HYG-02,Q2-008,S001,7,1272.273,1308.273,10800.0,,False,8,0,6,0.035
S001-MED-01,Q2-008,S001,1,1056.273,1092.273,3600.0,3600.0,True,24,0,3,0.012
S001-MED-02,Q2-008,S001,8,1308.273,1344.273,3600.0,3600.0,False,24,0,3,0.012
S001-WAT-01,Q2-005,S001,3,1038.273,1074.273,3600.0,3600.0,True,12,0,14,0.027
S001-WAT-02,Q2-005,S001,4,1074.273,1110.273,3600.0,,False,12,0,14,0.027
S001-WAT-03,Q2-005,S001,6,1146.273,1182.273,3600.0,,False,12,0,14,0.027
S001-WAT-04,Q2-008,S001,9,1344.273,1380.273,3600.0,,False,12,0,14,0.027
S001-WAT-05,Q2-008,S001,4,1164.273,1200.273,3600.0,,False,12,0,14,0.027
S001-WAT-06,Q2-008,S001,6,1236.273,1272.273,3600.0,,False,12,0,14,0.027
S001-WAT-07,Q2-005,S001,5,1110.273,1146.273,3600.0,,False,12,0,14,0.027
S001-WAT-08,Q2-005,S001,1,966.273,1002.273,3600.0,,False,12,0,14,0.027
S002-FOD-01,Q2-010,S002,7,3011.508,3047.508,7200.0,,False,10,0,8,0.028
S002-FOD-02,Q2-010,S002,5,2939.508,2975.508,7200.0,,False,10,0,8,0.028
S002-HYG-01,Q2-010,S002,3,2867.508,2903.508,10800.0,,False,8,0,6,0.035
S002-MED-01,Q2-010,S002,1,2795.508,2831.508,3600.0,3600.0,True,24,0,3,0.012
S002-WAT-01,Q2-010,S002,2,2831.508,2867.508,3600.0,3600.0,True,12,0,14,0.027
S002-WAT-02,Q2-007,S002,1,1495.903,1525.903,3600.0,,False,12,0,14,0.027
