sortie,from,to,phase,start_s,end_s,box
Q2-001,O01,S012,爬升,390.0,485.20033162434896,
Q2-001,O01,S012,巡航,485.20033162434896,977.9430091253747,
Q2-001,O01,S012,下降,977.9430091253747,1031.3434070745934,
Q2-001,O01,S012,毫秒保守裕量,1031.3434070745934,1031.344,
Q2-001,S012,S012,基础交接,1031.344,1181.344,
Q2-001,S012,S012,逐箱交接,1181.344,1211.344,S012-MED-01
Q2-001,S012,S012,逐箱交接,1211.344,1241.344,S012-WAT-01
Q2-001,S012,S012,逐箱交接,1241.344,1271.344,S012-FOD-01
Q2-001,S012,O01,爬升,1271.344,1315.844331624349,
Q2-001,S012,O01,巡航,1315.844331624349,1808.5870091253748,
Q2-001,S012,O01,下降,1808.5870091253748,1922.8274070745936,
Q2-001,S012,O01,毫秒保守裕量,1922.8274070745936,1922.828,
Q2-002,O01,S006,爬升,390.0,469.4659464518229,
Q2-002,O01,S006,巡航,469.4659464518229,681.8792032752123,
Q2-002,O01,S006,下降,681.8792032752123,702.3983390173997,
Q2-002,O01,S006,毫秒保守裕量,702.3983390173997,702.399,
Q2-002,S006,S006,基础交接,702.399,852.399,
Q2-002,S006,S006,逐箱交接,852.399,882.399,S006-MED-01
Q2-002,S006,S006,逐箱交接,882.399,912.399,S006-FOD-01
Q2-002,S006,S006,逐箱交接,912.399,942.399,S006-WAT-03
Q2-002,S006,O01,爬升,942.399,959.4982797851562,
Q2-002,S006,O01,巡航,959.4982797851562,1171.9115366085455,
Q2-002,S006,O01,下降,1171.9115366085455,1267.270672350733,
Q2-002,S006,O01,毫秒保守裕量,1267.270672350733,1267.271,
Q2-003,O01,S007,爬升,360.0,488.0910583496094,
Q2-003,O01,S007,巡航,488.0910583496094,865.9841729263596,
Q2-003,O01,S007,下降,865.9841729263596,931.3734429458909,
Q2-003,O01,S007,毫秒保守裕量,931.3734429458909,931.374,
Q2-003,S007,S007,基础交接,931.374,1081.374,
Q2-003,S007,S007,逐箱交接,1081.374,1111.374,S007-MED-01
Q2-003,S007,S007,逐箱交接,1111.374,1141.374,S007-WAT-01
Q2-003,S007,O01,爬升,1141.374,1195.8650583496094,
Q2-003,S007,O01,巡航,1195.8650583496094,1573.7581729263597,
Q2-003,S007,O01,下降,1573.7581729263597,1727.467442945891,
Q2-003,S007,O01,毫秒保守裕量,1727.467442945891,1727.468,
Q2-004,O01,S009,爬升,360.0,415.1763041178385,
Q2-004,O01,S009,巡航,415.1763041178385,890.618258002756,
Q2-004,O01,S009,下降,890.618258002756,915.9098229441622,
Q2-004,O01,S009,毫秒保守裕量,915.9098229441622,915.91,
Q2-004,S009,S009,基础交接,915.91,1065.9099999999999,
Q2-004,S009,S009,逐箱交接,1065.91,1095.91,S009-FOD-01
Q2-004,S009,S009,逐箱交接,1095.91,1125.91,S009-WAT-01
Q2-004,S009,O01,爬升,1125.91,1146.9863041178387,
Q2-004,S009,O01,巡航,1146.9863041178387,1622.4282580027561,
Q2-004,S009,O01,下降,1622.4282580027561,1688.6398229441625,
Q2-004,S009,O01,毫秒保守裕量,1688.6398229441625,1688.64,
Q2-005,O01,S001,爬升,480.0,538.1426440429688,
Q2-005,O01,S001,巡航,538.1426440429688,741.7442178773006,
Q2-005,O01,S001,下降,741.7442178773006,786.2725229310115,
Q2-005,O01,S001,毫秒保守裕量,786.2725229310115,786.273,
Q2-005,S001,S001,基础交接,786.273,966.273,
Q2-005,S001,S001,逐箱交接,966.273,1002.273,S001-WAT-08
Q2-005,S001,S001,逐箱交接,1002.273,1038.273,S001-FOD-03
Q2-005,S001,S001,逐箱交接,1038.273,1074.273,S001-WAT-01
Q2-005,S001,S001,逐箱交接,1074.273,1110.273,S001-WAT-02
Q2-005,S001,S001,逐箱交接,1110.273,1146.273,S001-WAT-07
Q2-005,S001,S001,逐箱交接,1146.273,1182.273,S001-WAT-03
Q2-005,S001,O01,爬升,1182.273,1217.8956440429686,
Q2-005,S001,O01,巡航,1217.8956440429686,1421.4972178773003,
Q2-005,S001,O01,下降,1421.4972178773003,1494.1755229310113,
Q2-005,S001,O01,毫秒保守裕量,1494.1755229310113,1494.176,
Q2-006,O01,S007,爬升,360.0,488.0910583496094,
Q2-006,O01,S007,巡航,488.0910583496094,865.9841729263596,
Q2-006,O01,S007,下降,865.9841729263596,931.3734429458909,
Q2-006,O01,S007,毫秒保守裕量,931.3734429458909,931.374,
Q2-006,S007,S007,基础交接,931.374,1081.374,
Q2-006,S007,S007,逐箱交接,1081.374,1111.374,S007-WAT-02
Q2-006,S007,S007,逐箱交接,1111.374,1141.374,S007-FOD-01
Q2-006,S007,O01,爬升,1141.374,1195.8650583496094,
Q2-006,S007,O01,巡航,1195.8650583496094,1573.7581729263597,
Q2-006,S007,O01,下降,1573.7581729263597,1727.467442945891,
Q2-006,S007,O01,毫秒保守裕量,1727.467442945891,1727.468,
Q2-007,O01,S009,爬升,390.0,445.1763041178385,
Q2-007,O01,S009,巡航,445.1763041178385,920.618258002756,
Q2-007,O01,S009,下降,920.618258002756,945.9098229441622,
Q2-007,O01,S009,毫秒保守裕量,945.9098229441622,945.91,
Q2-007,S009,S009,基础交接,945.91,1095.9099999999999,
Q2-007,S009,S009,逐箱交接,1095.91,1125.91,S009-MED-01
Q2-007,S009,S002,爬升,1125.91,1158.6722172037762,
Q2-007,S009,S002,巡航,1158.6722172037762,1302.3875203852967,
Q2-007,S009,S002,下降,1302.3875203852967,1345.902181029828,
Q2-007,S009,S002,毫秒保守裕量,1345.902181029828,1345.903,
Q2-007,S002,S002,基础交接,1345.903,1495.903,
Q2-007,S002,S002,逐箱交接,1495.903,1525.903,S002-WAT-02
Q2-007,S002,S013,爬升,1525.903,1578.4731090494793,
Q2-007,S002,S013,巡航,1578.4731090494793,1956.8255521749063,
Q2-007,S002,S013,下降,1956.8255521749063,1967.0296830342813,
Q2-007,S002,S013,毫秒保守裕量,1967.0296830342813,1967.03,
Q2-007,S013,S013,基础交接,1967.03,2117.0299999999997,
Q2-007,S013,S013,逐箱交接,2117.03,2147.03,S013-MED-01
Q2-007,S013,O01,爬升,2147.03,2162.8572745768233,
Q2-007,S013,O01,巡航,2162.8572745768233,2566.985345789222,
Q2-007,S013,O01,下降,2566.985345789222,2675.5780752814094,
Q2-007,S013,O01,毫秒保守裕量,2675.5780752814094,2675.579,
Q2-008,O01,S001,爬升,570.0,628.1426440429688,
Q2-008,O01,S001,巡航,628.1426440429688,831.7442178773006,
Q2-008,O01,S001,下降,831.7442178773006,876.2725229310115,
Q2-008,O01,S001,毫秒保守裕量,876.2725229310115,876.273,
Q2-008,S001,S001,基础交接,876.273,1056.2730000000001,
Q2-008,S001,S001,逐箱交接,1056.273,1092.273,S001-MED-01
Q2-008,S001,S001,逐箱交接,1092.273,1128.273,S001-HYG-01
Q2-008,S001,S001,逐箱交接,1128.273,1164.273,S001-FOD-02
Q2-008,S001,S001,逐箱交接,1164.273,1200.273,S001-WAT-05
Q2-008,S001,S001,逐箱交接,1200.273,1236.273,S001-FOD-01
Q2-008,S001,S001,逐箱交接,1236.273,1272.273,S001-WAT-06
Q2-008,S001,S001,逐箱交接,1272.273,1308.273,S001-HYG-02
Q2-008,S001,S001,逐箱交接,1308.273,1344.273,S001-MED-02
Q2-008,S001,S001,逐箱交接,1344.273,1380.273,S001-WAT-04
Q2-008,S001,O01,爬升,1380.273,1415.8956440429686,
Q2-008,S001,O01,巡航,1415.8956440429686,1619.4972178773003,
Q2-008,S001,O01,下降,1619.4972178773003,1692.1755229310113,
Q2-008,S001,O01,毫秒保守裕量,1692.1755229310113,1692.176,
Q2-009,O01,S006,爬升,1627.271,1706.7369464518229,
Q2-009,O01,S006,巡航,1706.7369464518229,1919.150203275212,
Q2-009,O01,S006,下降,1919.150203275212,1939.6693390173996,
Q2-009,O01,S006,毫秒保守裕量,1939.6693390173996,1939.67,
Q2-009,S006,S006,基础交接,1939.67,2089.67,
Q2-009,S006,S006,逐箱交接,2089.67,2119.67,S006-WAT-01
Q2-009,S006,S006,逐箱交接,2119.67,2149.67,S006-HYG-01
Q2-009,S006,O01,爬升,2149.67,2166.7692797851564,
Q2-009,S006,O01,巡航,2166.7692797851564,2379.182536608546,
Q2-009,S006,O01,下降,2379.182536608546,2474.5416723507333,
Q2-009,S006,O01,毫秒保守裕量,2474.5416723507333,2474.542,
Q2-010,O01,S002,爬升,2004.176,2076.6777016601563,
Q2-010,O01,S002,巡航,2076.6777016601563,2570.779955937082,
Q2-010,O01,S002,下降,2570.779955937082,2615.5070830122772,
Q2-010,O01,S002,毫秒保守裕量,2615.5070830122772,2615.508,
Q2-010,S002,S002,基础交接,2615.508,2795.508,
Q2-010,S002,S002,逐箱交接,2795.508,2831.508,S002-MED-01
Q2-010,S002,S002,逐箱交接,2831.508,2867.508,S002-WAT-01
Q2-010,S002,S002,逐箱交接,2867.508,2903.508,S002-HYG-01
Q2-010,S002,S002,逐箱交接,2903.508,2939.508,S002-WAT-04
Q2-010,S002,S002,逐箱交接,2939.508,2975.508,S002-FOD-02
Q2-010,S002,S002,逐箱交接,2975.508,3011.508,S002-WAT-03
Q2-010,S002,S002,逐箱交接,3011.508,3047.508,S002-FOD-01
Q2-010,S002,O01,爬升,3047.508,3083.289701660156,
Q2-010,S002,O01,巡航,3083.289701660156,3577.3919559370815,
Q2-010,S002,O01,下降,3577.3919559370815,3668.019083012277,
Q2-010,S002,O01,毫秒保守裕量,3668.019083012277,3668.02,
Q2-011,O01,S013,爬升,2048.64,2139.1339412434895,
Q2-011,O01,S013,巡航,2139.1339412434895,2543.262012455888,
Q2-011,O01,S013,下降,2543.262012455888,2562.2547419480757,
Q2-011,O01,S013,毫秒保守裕量,2562.2547419480757,2562.255,
Q2-011,S013,S013,基础交接,2562.255,2712.255,
Q2-011,S013,S013,逐箱交接,2712.255,2742.255,S013-WAT-01
Q2-011,S013,S013,逐箱交接,2742.255,2772.255,S013-FOD-01
Q2-011,S013,O01,爬升,2772.255,2788.0822745768232,
Q2-011,S013,O01,巡航,2788.0822745768232,3192.2103457892217,
Q2-011,S013,O01,下降,3192.2103457892217,3300.8030752814093,
Q2-011,S013,O01,毫秒保守裕量,3300.8030752814093,3300.804,
Q2-012,O01,S004,爬升,2172.176,2280.391666503906,
Q2-012,O01,S004,巡航,2280.391666503906,2794.7037762563396,
Q2-012,O01,S004,下降,2794.7037762563396,2879.6733593862223,
Q2-012,O01,S004,毫秒保守裕量,2879.6733593862223,2879.674,
Q2-012,S004,S004,基础交接,2879.674,3059.674,
Q2-012,S004,S004,逐箱交接,3059.674,3095.674,S004-WAT-02
Q2-012,S004,S004,逐箱交接,3095.674,3131.674,S004-HYG-01
Q2-012,S004,S004,逐箱交接,3131.674,3167.674,S004-WAT-01
Q2-012,S004,S004,逐箱交接,3167.674,3203.674,S004-MED-01
Q2-012,S004,S004,逐箱交接,3203.674,3239.674,S004-WAT-03
Q2-012,S004,S004,逐箱交接,3239.674,3275.674,S004-FOD-01
Q2-012,S004,O01,爬升,3275.674,3343.6496665039062,
Q2-012,S004,O01,巡航,3343.6496665039062,3857.9617762563403,
Q2-012,S004,O01,下降,3857.9617762563403,3993.231359386223,
Q2-012,S004,O01,毫秒保守裕量,3993.231359386223,3993.232,
Q2-013,O01,S006,爬升,2087.468,2166.933946451823,
Q2-013,O01,S006,巡航,2166.933946451823,2432.4505174810597,
Q2-013,O01,S006,下降,2432.4505174810597,2452.9696532232474,
Q2-013,O01,S006,毫秒保守裕量,2452.9696532232474,2452.97,
Q2-013,S006,S006,基础交接,2452.97,2602.97,
Q2-013,S006,S006,逐箱交接,2602.97,2632.97,S006-WAT-02
Q2-013,S006,S011,爬升,2632.97,2661.52586344401,
Q2-013,S006,S011,巡航,2661.52586344401,2945.678101703573,
Q2-013,S006,S011,下降,2945.678101703573,3021.0251378363855,
Q2-013,S006,S011,毫秒保守裕量,3021.0251378363855,3021.026,
Q2-013,S011,S011,基础交接,3021.026,3171.026,
Q2-013,S011,S011,逐箱交接,3171.026,3201.026,S011-FOD-01
Q2-013,S011,O01,爬升,3201.026,3228.7799184570313,
Q2-013,S011,O01,巡航,3228.7799184570313,3462.7887861546874,
Q2-013,S011,O01,下降,3462.7887861546874,3529.853488303125,
Q2-013,S011,O01,毫秒保守裕量,3529.853488303125,3529.854,
Q2-014,O01,S014,爬升,2312.828,2467.577129231771,
Q2-014,O01,S014,巡航,2467.577129231771,2828.8795492278873,
Q2-014,O01,S014,下降,2828.8795492278873,2925.258504306012,
Q2-014,O01,S014,毫秒保守裕量,2925.258504306012,2925.259,
Q2-014,S014,S014,基础交接,2925.259,3075.259,
Q2-014,S014,S014,逐箱交接,3075.259,3105.259,S014-MED-01
Q2-014,S014,S014,逐箱交接,3105.259,3135.259,S014-WAT-01
Q2-014,S014,S014,逐箱交接,3135.259,3165.259,S014-FOD-01
Q2-014,S014,O01,爬升,3165.259,3245.5747958984375,
Q2-014,S014,O01,巡航,3245.5747958984375,3606.877215894554,
Q2-014,S014,O01,下降,3606.877215894554,3792.576170972679,
Q2-014,S014,O01,毫秒保守裕量,3792.576170972679,3792.577,
Q2-015,O01,S010,爬升,2864.542,2967.1875118815105,
Q2-015,O01,S010,巡航,2967.1875118815105,3286.165812298963,
Q2-015,O01,S010,下降,3286.165812298963,3319.7804265567756,
Q2-015,O01,S010,毫秒保守裕量,3319.7804265567756,3319.781,
Q2-015,S010,S010,基础交接,3319.781,3469.781,
Q2-015,S010,S010,逐箱交接,3469.781,3499.781,S010-MED-01
Q2-015,S010,S010,逐箱交接,3499.781,3529.781,S010-WAT-01
Q2-015,S010,S010,逐箱交接,3529.781,3559.781,S010-FOD-01
Q2-015,S010,O01,爬升,3559.781,3587.793178548177,
Q2-015,S010,O01,巡航,3587.793178548177,3906.7714789656293,
Q2-015,S010,O01,下降,3906.7714789656293,4029.946093223442,
Q2-015,S010,O01,毫秒保守裕量,4029.946093223442,4029.947,
Q2-016,O01,S003,爬升,3167.913,3312.614379394531,
Q2-016,O01,S003,巡航,3312.614379394531,3917.933293375026,
Q2-016,O01,S003,下降,3917.933293375026,4007.2549486484636,
Q2-016,O01,S003,毫秒保守裕量,4007.2549486484636,4007.255,
Q2-016,S003,S003,基础交接,4007.255,4157.255,
Q2-016,S003,S003,逐箱交接,4157.255,4187.255,S003-MED-01
Q2-016,S003,S003,逐箱交接,4187.255,4217.255,S003-WAT-03
Q2-016,S003,S015,爬升,4217.255,4267.054621582031,
Q2-016,S003,S015,巡航,4267.054621582031,4485.134683370668,
Q2-016,S003,S015,下降,4485.134683370668,4490.494229269106,
Q2-016,S003,S015,毫秒保守裕量,4490.494229269106,4490.495,
Q2-016,S015,S015,基础交接,4490.495,4640.495,
Q2-016,S015,S015,逐箱交接,4640.495,4670.495,S015-MED-01
Q2-016,S015,O01,爬升,4670.495,4702.928085123698,
Q2-016,S015,O01,巡航,4702.928085123698,5203.741826142066,
Q2-016,S015,O01,下降,5203.741826142066,5381.381528290503,
Q2-016,S015,O01,毫秒保守裕量,5381.381528290503,5381.382,
Q2-017,O01,S015,爬升,3156.858,3304.8910851236983,
Q2-017,O01,S015,巡航,3304.8910851236983,3805.7048261420664,
Q2-017,O01,S015,下降,3805.7048261420664,3844.624528290504,
Q2-017,O01,S015,毫秒保守裕量,3844.624528290504,3844.625,
Q2-017,S015,S015,基础交接,3844.625,3994.625,
Q2-017,S015,S015,逐箱交接,3994.625,4024.625,S015-FOD-01
Q2-017,S015,S015,逐箱交接,4024.625,4054.625,S015-WAT-01
Q2-017,S015,O01,爬升,4054.625,4087.0580851236978,
Q2-017,S015,O01,巡航,4087.0580851236978,4587.871826142065,
Q2-017,S015,O01,下降,4587.871826142065,4765.511528290503,
Q2-017,S015,O01,毫秒保守裕量,4765.511528290503,4765.512,
Q2-018,O01,S007,爬升,4178.02,4331.729270019532,
Q2-018,O01,S007,巡航,4331.729270019532,4634.043761680932,
Q2-018,O01,S007,下降,4634.043761680932,4715.780349205346,
Q2-018,O01,S007,毫秒保守裕量,4715.780349205346,4715.781,
Q2-018,S007,S007,基础交接,4715.781,4895.781,
Q2-018,S007,S007,逐箱交接,4895.781,4931.781,S007-HYG-01
Q2-018,S007,S003,爬升,4931.781,4956.660736328125,
Q2-018,S007,S003,巡航,4956.660736328125,5138.973291339484,
Q2-018,S007,S003,下降,5138.973291339484,5175.07296174964,
Q2-018,S007,S003,毫秒保守裕量,5175.07296174964,5175.073,
Q2-018,S003,S003,基础交接,5175.073,5355.073,
Q2-018,S003,S003,逐箱交接,5355.073,5391.073,S003-HYG-01
Q2-018,S003,S003,逐箱交接,5391.073,5427.073,S003-FOD-02
Q2-018,S003,S003,逐箱交接,5427.073,5463.073,S003-WAT-01
Q2-018,S003,S003,逐箱交接,5463.073,5499.073,S003-WAT-04
Q2-018,S003,S003,逐箱交接,5499.073,5535.073,S003-FOD-01
Q2-018,S003,S003,逐箱交接,5535.073,5571.073,S003-WAT-02
Q2-018,S003,O01,爬升,5571.073,5660.394655273438,
Q2-018,S003,O01,巡航,5660.394655273438,6144.649786457833,
Q2-018,S003,O01,下降,6144.649786457833,6361.70185554963,
Q2-018,S003,O01,毫秒保守裕量,6361.70185554963,6361.702,
Q2-019,O01,S008,爬升,4182.577,4264.3134440917975,
Q2-019,O01,S008,巡航,4264.3134440917975,4802.920807344362,
Q2-019,O01,S008,下降,4802.920807344362,4843.724540254519,
Q2-019,O01,S008,毫秒保守裕量,4843.724540254519,4843.725,
Q2-019,S008,S008,基础交接,4843.725,4993.725,
Q2-019,S008,S008,逐箱交接,4993.725,5023.725,S008-MED-01
Q2-019,S008,S008,逐箱交接,5023.725,5053.725,S008-FOD-01
Q2-019,S008,S008,逐箱交接,5053.725,5083.725,S008-WAT-02
Q2-019,S008,O01,爬升,5083.725,5117.728110758464,
Q2-019,S008,O01,巡航,5117.728110758464,5656.335474011029,
Q2-019,S008,O01,下降,5656.335474011029,5754.419206921185,
Q2-019,S008,O01,毫秒保守裕量,5754.419206921185,5754.42,
Q2-020,O01,S011,爬升,4533.232,4600.296702148437,
Q2-020,O01,S011,巡航,4600.296702148437,4787.503796306562,
Q2-020,O01,S011,下降,4787.503796306562,4829.134673992109,
Q2-020,O01,S011,毫秒保守裕量,4829.134673992109,4829.135,
Q2-020,S011,S011,基础交接,4829.135,5009.135,
Q2-020,S011,S011,逐箱交接,5009.135,5045.135,S011-MED-01
Q2-020,S011,S011,逐箱交接,5045.135,5081.135,S011-WAT-01
Q2-020,S011,S005,爬升,5081.135,5135.314567871094,
Q2-020,S011,S005,巡航,5135.314567871094,5322.165474652877,
Q2-020,S011,S005,下降,5322.165474652877,5398.439934491744,
Q2-020,S011,S005,毫秒保守裕量,5398.439934491744,5398.44,
Q2-020,S005,S005,基础交接,5398.44,5578.44,
Q2-020,S005,S005,逐箱交接,5578.44,5614.44,S005-FOD-01
Q2-020,S005,S005,逐箱交接,5614.44,5650.44,S005-MED-01
Q2-020,S005,S005,逐箱交接,5650.44,5686.44,S005-WAT-01
Q2-020,S005,S005,逐箱交接,5686.44,5722.44,S005-HYG-01
Q2-020,S005,S005,逐箱交接,5722.44,5758.44,S005-WAT-02
Q2-020,S005,S005,逐箱交接,5758.44,5794.44,S005-WAT-03
Q2-020,S005,O01,爬升,5794.44,5847.00435546875,
Q2-020,S005,O01,巡航,5847.00435546875,6199.043913409798,
Q2-020,S005,O01,下降,6199.043913409798,6298.399357745735,
Q2-020,S005,O01,毫秒保守裕量,6298.399357745735,6298.4,
Q2-021,O01,S008,爬升,4389.947,4471.683444091797,
Q2-021,O01,S008,巡航,4471.683444091797,5010.290807344362,
Q2-021,O01,S008,下降,5010.290807344362,5051.0945402545185,
