sortie,candidate,unit,drone,battery,start_s,takeoff_s,visits,return_s,energy_kwh,soc,charge_s,charge_end_s,mass_kg,volume_m3,boxes,flight_s,operation_s,rounding_s
Q2-001,0778dae839811744,U05,B,BAT-B-01,0.0,390.0,"[""S012""]",1922.828,2.7525999542899324,0.3118500114275169,1859.4599801923039,3782.288,25,0.067,"[""S012-FOD-01"", ""S012-MED-01"", ""S012-WAT-01""]",1292.8268141491867,1922.828,0.001185850813271827
Q2-002,0b35025e45de1090,U06,B,BAT-B-02,0.0,390.0,"[""S006""]",1267.271,1.224316782124016,0.693920804468996,1197.203938920407,2464.475,25,0.067,"[""S006-FOD-01"", ""S006-MED-01"", ""S006-WAT-03""]",637.2700113681328,1267.271,0.0009886318671874506
Q2-003,68f6905b5211dfbf,U01,A,BAT-A-01,0.0,360.0,"[""S007""]",1727.468,1.9053833002603837,0.5765814888310259,1050.4440645196662,2777.913,17,0.039,"[""S007-MED-01"", ""S007-WAT-01""]",1157.4668858917819,1727.468,0.001114108218189358
Q2-004,8749f9503ee0df2a,U02,A,BAT-A-02,0.0,360.0,"[""S009""]",1688.64,2.331353700458349,0.48192139989814464,1173.5021801324117,2862.143,22,0.055,"[""S009-FOD-01"", ""S009-WAT-01""]",1118.6396458883246,1688.64,0.00035411167550591927
Q2-005,8c31f9e8595743b2,U07,C,BAT-C-01,0.0,480.0,"[""S001""]",1494.176,2.995775804904669,0.6255280243869163,1644.6892804950144,3138.866,78,0.163,"[""S001-FOD-03"", ""S001-WAT-01"", ""S001-WAT-02"", ""S001-WAT-03"", ""S001-WAT-07"", ""S001-WAT-08""]",618.1750458620229,1494.176,0.0009541379771462744
Q2-006,920f9b55caa7c7ae,U03,A,BAT-A-03,0.0,360.0,"[""S007""]",1727.468,1.9709635056721377,0.562008109850636,1069.389457194173,2796.858,22,0.055,"[""S007-FOD-01"", ""S007-WAT-02""]",1157.4668858917819,1727.468,0.001114108218189358
Q2-007,a70857771474fae8,U04,A,BAT-A-04,0.0,390.0,"[""S009"", ""S002"", ""S013""]",2675.579,3.389959548938707,0.24667565579139838,1479.321647471182,4154.901,20,0.051000000000000004,"[""S002-WAT-02"", ""S009-MED-01"", ""S013-MED-01""]",1745.5767622896801,2675.579,0.002237710319946018
Q2-008,d7f51c575af6ec49,U08,C,BAT-C-02,0.0,570.0,"[""S001""]",1692.176,2.9175880955868267,0.6353014880516467,1623.5134425547653,3315.69,76,0.231,"[""S001-FOD-01"", ""S001-FOD-02"", ""S001-HYG-01"", ""S001-HYG-02"", ""S001-MED-01"", ""S001-MED-02"", ""S001-WAT-04"", ""S001-WAT-05"", ""S001-WAT-06""]",618.1750458620229,1692.176,0.0009541379771462744
Q2-009,cb69733493a61fd9,U06,B,BAT-B-03,1267.271,1627.271,"[""S006""]",2474.542,1.1381173257060366,0.7154706685734908,1159.8508411392825,3634.393,20,0.062,"[""S006-HYG-01"", ""S006-WAT-01""]",637.2700113681328,1207.271,0.0009886318671874506
Q2-010,2af5d67e5d41a679,U07,C,BAT-C-03,1494.176,2004.176,"[""S002""]",3668.02,6.280970256414267,0.21487871794821667,2534.4294444455304,6202.45,67,0.184,"[""S002-FOD-01"", ""S002-FOD-02"", ""S002-HYG-01"", ""S002-MED-01"", ""S002-WAT-01"", ""S002-WAT-03"", ""S002-WAT-04""]",1231.8421660245544,2173.844,0.0018339754456064838
Q2-011,f4d154bb28472d1d,U02,A,BAT-A-05,1688.64,2048.64,"[""S013""]",3300.804,2.0255255619357206,0.5498832084587287,1085.1518290036524,4385.956,22,0.055,"[""S013-FOD-01"", ""S013-WAT-01""]",1042.1628172294845,1612.164,0.0011827705155837975
Q2-012,58b350f9cc56209c,U08,C,BAT-C-04,1692.176,2172.176,"[""S004""]",3993.232,6.152860129174583,0.23089248385317718,2499.732951651449,6492.965,59,0.156,"[""S004-FOD-01"", ""S004-HYG-01"", ""S004-MED-01"", ""S004-WAT-01"", ""S004-WAT-02"", ""S004-WAT-03""]",1425.0547187724458,2301.056,0.0012812275542728457
Q2-013,ca607a84f0f2e89e,U01,A,BAT-A-06,1727.468,2087.468,"[""S006"", ""S011""]",3529.854,1.9595258462387837,0.564549811946937,1066.0852444689817,4595.94,22,0.055,"[""S006-WAT-02"", ""S011-FOD-01""]",1082.384279362757,1802.386,0.0017206372427835959
Q2-014,58637b13c93945c6,U05,B,BAT-B-04,1922.828,2312.828,"[""S014""]",3792.577,2.1402909781417883,0.46492725546455294,1594.126090528108,5386.704,25,0.067,"[""S014-FOD-01"", ""S014-MED-01"", ""S014-WAT-01""]",1239.7476752786915,1869.749,0.0013247213086060583
Q2-015,6cb0366dc18b20a6,U06,B,BAT-B-02,2474.542,2864.542,"[""S010""]",4029.947,1.823216564231414,0.5441958589421465,1456.7271778336126,5486.675,25,0.067,"[""S010-FOD-01"", ""S010-MED-01"", ""S010-WAT-01""]",925.4035197802173,1555.405,0.0014802197826497832
Q2-016,c36888df3a3a6934,U03,A,BAT-A-01,2777.913,3167.913,"[""S003"", ""S015""]",5381.382,3.2974580584469555,0.26723154256734327,1452.5989946624536,6833.981,20,0.051000000000000004,"[""S003-MED-01"", ""S003-WAT-03"", ""S015-MED-01""]",1823.4677062080732,2603.469,0.0012937919267983489
Q2-017,31a8131d8650c560,U04,A,BAT-A-03,2796.858,3156.858,"[""S015""]",4765.512,2.5577839515021354,0.4316035663328588,1238.9153637672837,6004.428,22,0.055,"[""S015-FOD-01"", ""S015-WAT-01""]",1398.6530565810067,1968.654,0.0009434189933017478
Q2-018,dd80ad26e4984bf0,U07,C,BAT-C-01,3668.02,4178.02,"[""S007"", ""S003""]",6361.702,6.39266312398181,0.2009171095022737,2564.679596078407,8926.382,70,0.20700000000000002,"[""S003-FOD-01"", ""S003-FOD-02"", ""S003-HYG-01"", ""S003-WAT-01"", ""S003-WAT-02"", ""S003-WAT-04"", ""S007-HYG-01""]",1571.6811665046162,2693.682,0.0008334953838584624
Q2-019,4b7f575440af23b7,U05,B,BAT-B-01,3792.577,4182.577,"[""S008""]",5754.42,2.9752068745422333,0.25619828136444167,1955.9229789683006,7710.343,25,0.067,"[""S008-FOD-01"", ""S008-MED-01"", ""S008-WAT-02""]",1331.841747175703,1961.843,0.0012528242970120118
Q2-020,1e3d860e74c0b125,U08,C,BAT-C-02,3993.232,4533.232,"[""S011"", ""S005""]",6298.4,4.850049514673822,0.39374381066577224,2146.8884102241595,8445.289,76,0.195,"[""S005-FOD-01"", ""S005-HYG-01"", ""S005-MED-01"", ""S005-WAT-01"", ""S005-WAT-02"", ""S005-WAT-03"", ""S011-MED-01"", ""S011-WAT-01""]",1117.1669662295876,2305.168,0.0010337704122775904
Q2-021,0564f6e759c890b3,U06,B,BAT-B-03,4029.947,4389.947,"[""S008""]",5931.79,2.7634312052333714,0.30914219869165716,1864.1535222677942,7795.944,20,0.062,"[""S008-HYG-01"", ""S008-WAT-01""]",1331.841747175703,1901.843,0.0012528242970120118
