架次,无人机,机型,电池,准备开始秒,离地秒,返航释放无人机秒,返航SOC,充满释放电池秒
Q2-001,U05,B,BAT-B-01,0.0,390.0,1922.828,0.3118500114275169,3782.288
Q2-002,U06,B,BAT-B-02,0.0,390.0,1267.271,0.693920804468996,2464.475
Q2-003,U01,A,BAT-A-01,0.0,360.0,1727.468,0.5765814888310259,2777.913
Q2-004,U02,A,BAT-A-02,0.0,360.0,1688.64,0.48192139989814464,2862.143
Q2-005,U07,C,BAT-C-01,0.0,480.0,1494.176,0.6255280243869163,3138.866
Q2-006,U03,A,BAT-A-03,0.0,360.0,1727.468,0.562008109850636,2796.858
Q2-007,U04,A,BAT-A-04,0.0,390.0,2675.579,0.24667565579139838,4154.901
Q2-008,U08,C,BAT-C-02,0.0,570.0,1692.176,0.6353014880516467,3315.69
Q2-009,U06,B,BAT-B-03,1267.271,1627.271,2474.542,0.7154706685734908,3634.393
Q2-010,U07,C,BAT-C-03,1494.176,2004.176,3668.02,0.21487871794821667,6202.45
Q2-011,U02,A,BAT-A-05,1688.64,2048.64,3300.804,0.5498832084587287,4385.956
Q2-012,U08,C,BAT-C-04,1692.176,2172.176,3993.232,0.23089248385317718,6492.965
Q2-013,U01,A,BAT-A-06,1727.468,2087.468,3529.854,0.564549811946937,4595.94
Q2-014,U05,B,BAT-B-04,1922.828,2312.828,3792.577,0.46492725546455294,5386.704
Q2-015,U06,B,BAT-B-02,2474.542,2864.542,4029.947,0.5441958589421465,5486.675
Q2-016,U03,A,BAT-A-01,2777.913,3167.913,5381.382,0.26723154256734327,6833.981
Q2-017,U04,A,BAT-A-03,2796.858,3156.858,4765.512,0.4316035663328588,6004.428
Q2-018,U07,C,BAT-C-01,3668.02,4178.02,6361.702,0.2009171095022737,8926.382
Q2-019,U05,B,BAT-B-01,3792.577,4182.577,5754.42,0.25619828136444167,7710.343
Q2-020,U08,C,BAT-C-02,3993.232,4533.232,6298.4,0.39374381066577224,8445.289
Q2-021,U06,B,BAT-B-03,4029.947,4389.947,5931.79,0.30914219869165716,7795.944
