record,source,tardiness_internal,makespan_internal,energy_internal,sorties_internal,W_coefficient_min,Cmax_h,E_kwh,N,point_area_pt2
1,reference:tardiness,0,7715162,85864101380,31,0.0,2.1431005555555553,85.86410138,31,31.0
2,reference:makespan,783576,7528576,83189040162,30,13.0596,2.0912711111111113,83.189040162,30,30.0
3,reference:energy,429204104,11453859,62634022492,19,7153.401733333333,3.1816275,62.634022492,19,19.0
4,reference:sorties,60547406,9906710,65525211747,19,1009.1234333333333,2.751863888888889,65.525211747,19,19.0
5,archived:tardiness:1,5716408,9589234,95462916483,36,95.27346666666666,2.663676111111111,95.462916483,36,36.0
6,archived:tardiness:3,3887958,10314933,91812818604,35,64.7993,2.8652591666666667,91.812818604,35,35.0
7,archived:tardiness:6,1455648,10314933,89724572417,33,24.2608,2.8652591666666667,89.724572417,33,33.0
8,archived:tardiness:7,0,10314933,85827965785,31,0.0,2.8652591666666667,85.827965785,31,31.0
9,archived:tardiness:10,0,9273820,86271436073,31,0.0,2.576061111111111,86.271436073,31,31.0
10,archived:tardiness:11,0,9152401,86261284161,31,0.0,2.5423336111111112,86.261284161,31,31.0
11,archived:tardiness:15,0,9152401,86992519217,32,0.0,2.5423336111111112,86.992519217,32,32.0
12,archived:tardiness:16,0,8051582,85674907462,31,0.0,2.2365505555555556,85.674907462,31,31.0
13,archived:tardiness:18,0,7913310,87221646130,32,0.0,2.198141666666667,87.22164613,32,32.0
14,archived:tardiness:20,0,8384292,88987484469,33,0.0,2.32897,88.987484469,33,33.0
15,archived:tardiness:23,0,7871159,87775269512,32,0.0,2.1864330555555553,87.775269512,32,32.0
16,archived:tardiness:44,0,7871159,87831615549,32,0.0,2.1864330555555553,87.831615549,32,32.0
17,archived:tardiness:67,0,7814338,84631416273,31,0.0,2.1706494444444444,84.631416273,31,31.0
18,archived:tardiness:72,0,7715162,85864101380,31,0.0,2.1431005555555553,85.86410138,31,31.0
19,archived:makespan:2,0,8233671,84221289391,30,0.0,2.2871308333333333,84.221289391,30,30.0
20,archived:makespan:3,0,8043905,84299911707,30,0.0,2.2344180555555555,84.299911707,30,30.0
21,archived:makespan:4,0,8043905,82772262841,29,0.0,2.2344180555555555,82.772262841,29,29.0
22,archived:makespan:7,0,8497993,81835155453,29,0.0,2.360553611111111,81.835155453,29,29.0
