架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
Q2-001,U05,B,BAT-B-01,0.0,O01 → S012 → O01,1922.828,2.7525999542899324
Q2-002,U07,C,BAT-C-01,0.0,O01 → S002 → O01,2173.844,6.280970256414267
Q2-003,U01,A,BAT-A-01,0.0,O01 → S014 → O01,1930.4,2.251627801047422
Q2-004,U02,A,BAT-A-02,0.0,O01 → S007 → O01,1727.468,1.9709635056721377
Q2-005,U06,B,BAT-B-02,0.0,O01 → S010 → O01,1555.405,1.823216564231414
Q2-006,U03,A,BAT-A-03,0.0,O01 → S014 → O01,1990.4,2.2175912570533356
Q2-007,U04,A,BAT-A-04,0.0,O01 → S007 → O01,1727.468,1.8275023375986301
Q2-008,U08,C,BAT-C-02,0.0,O01 → S006 → O01,1561.554,2.5979362904386822
Q2-009,U06,B,BAT-B-03,1555.405,O01 → S013 → O01,3065.918,1.8248281910807473
Q2-010,U08,C,BAT-C-03,1561.554,O01 → S001 → O01,3253.73,2.9175880955868267
Q2-011,U02,A,BAT-A-05,1727.468,O01 → S007 → O01,3394.936,1.872588415047149
Q2-012,U04,A,BAT-A-06,1727.468,O01 → S002 → O01,3671.244,2.871489106123694
Q2-013,U05,B,BAT-B-04,1922.828,O01 → S005 → S004 → O01,4138.669,2.7917500781027624
Q2-014,U07,C,BAT-C-04,2173.844,O01 → S001 → O01,3602.02,2.5655813655342623
Q2-015,U01,A,BAT-A-04,2755.414,O01 → S001 → O01,3946.322,1.219518751679032
Q2-016,U03,A,BAT-A-02,2796.858,O01 → S008 → O01,4908.005,3.146459854356152
Q2-017,U06,B,BAT-B-02,3065.918,O01 → S008 → O01,5027.761,2.9752068745422333
Q2-018,U08,C,BAT-C-02,3253.73,O01 → S004 → O01,5422.786,5.705440174682608
Q2-019,U02,A,BAT-A-01,3394.936,O01 → S003 → O01,5597.674,2.9316889875927306
Q2-020,U04,A,BAT-A-03,3671.244,O01 → S008 → O01,5782.391,3.0410236755457847
Q2-021,U05,B,BAT-B-01,4138.669,O01 → S015 → O01,5966.997,2.3075285057525154
Q2-022,U07,C,BAT-C-01,4708.274,O01 → S003 → O01,7210.452,6.324499390874367
Q2-023,U06,B,BAT-B-03,5027.761,O01 → S009 → O01,6586.225,2.0962654017373348
Q2-024,U08,C,BAT-C-03,5422.786,O01 → S011 → S005 → O01,7727.954,4.467964535576655
