货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,Q2-010,S001,2833.827
S001-FOD-02,Q2-010,S001,2869.827
S001-FOD-03,Q2-014,S001,3290.117
S001-HYG-01,Q2-010,S001,2905.827
S001-HYG-02,Q2-010,S001,2941.827
S001-MED-01,Q2-010,S001,2653.827
S001-MED-02,Q2-010,S001,2689.827
S001-WAT-01,Q2-014,S001,3146.117
S001-WAT-02,Q2-014,S001,3182.117
S001-WAT-03,Q2-014,S001,3218.117
S001-WAT-04,Q2-010,S001,2725.827
S001-WAT-05,Q2-010,S001,2761.827
S001-WAT-06,Q2-010,S001,2797.827
S001-WAT-07,Q2-015,S001,3603.991
S001-WAT-08,Q2-014,S001,3254.117
S002-FOD-01,Q2-002,S002,1481.332
S002-FOD-02,Q2-002,S002,1517.332
S002-HYG-01,Q2-002,S002,1553.332
S002-MED-01,Q2-002,S002,1337.332
S002-WAT-01,Q2-002,S002,1373.332
S002-WAT-02,Q2-012,S002,2951.296
S002-WAT-03,Q2-002,S002,1409.332
S002-WAT-04,Q2-002,S002,1445.332
S003-FOD-01,Q2-022,S003,6347.823
S003-FOD-02,Q2-022,S003,6383.823
S003-HYG-01,Q2-022,S003,6419.823
S003-MED-01,Q2-022,S003,6203.823
S003-WAT-01,Q2-022,S003,6239.823
S003-WAT-02,Q2-022,S003,6275.823
S003-WAT-03,Q2-019,S003,4744.278
S003-WAT-04,Q2-022,S003,6311.823
S004-FOD-01,Q2-013,S004,3459.494
S004-HYG-01,Q2-018,S004,4705.228
S004-MED-01,Q2-013,S004,3429.494
S004-WAT-01,Q2-018,S004,4597.228
S004-WAT-02,Q2-018,S004,4633.228
S004-WAT-03,Q2-018,S004,4669.228
S005-FOD-01,Q2-024,S005,7187.994
S005-HYG-01,Q2-024,S005,7223.994
S005-MED-01,Q2-024,S005,7079.994
S005-WAT-01,Q2-024,S005,7115.994
S005-WAT-02,Q2-024,S005,7151.994
S005-WAT-03,Q2-013,S005,2963.669
S006-FOD-01,Q2-008,S006,1173.422
S006-HYG-01,Q2-008,S006,1209.422
S006-MED-01,Q2-008,S006,1029.422
S006-WAT-01,Q2-008,S006,1065.422
S006-WAT-02,Q2-008,S006,1101.422
S006-WAT-03,Q2-008,S006,1137.422
S007-FOD-01,Q2-004,S007,1141.374
S007-HYG-01,Q2-007,S007,1141.374
S007-MED-01,Q2-007,S007,1111.374
S007-WAT-01,Q2-004,S007,1111.374
S007-WAT-02,Q2-011,S007,2808.842
S008-FOD-01,Q2-017,S008,4357.066
S008-HYG-01,Q2-020,S008,4977.044
S008-MED-01,Q2-017,S008,4297.066
S008-WAT-01,Q2-017,S008,4327.066
S008-WAT-02,Q2-016,S008,4102.658
S009-FOD-01,Q2-023,S009,6118.583
S009-MED-01,Q2-023,S009,6058.583
S009-WAT-01,Q2-023,S009,6088.583
S010-FOD-01,Q2-005,S010,1085.239
S010-MED-01,Q2-005,S010,1025.239
S010-WAT-01,Q2-005,S010,1055.239
S011-FOD-01,Q2-024,S011,6546.689
S011-MED-01,Q2-024,S011,6474.689
S011-WAT-01,Q2-024,S011,6510.689
S012-FOD-01,Q2-001,S012,1271.344
S012-MED-01,Q2-001,S012,1241.344
S012-WAT-01,Q2-001,S012,1211.344
S013-FOD-01,Q2-009,S013,2618.195
S013-MED-01,Q2-009,S013,2558.195
S013-WAT-01,Q2-009,S013,2588.195
S014-FOD-01,Q2-006,S014,1272.757
S014-MED-01,Q2-006,S014,1242.757
S014-WAT-01,Q2-003,S014,1212.757
S015-FOD-01,Q2-021,S015,5356.273
S015-MED-01,Q2-021,S015,5296.273
S015-WAT-01,Q2-021,S015,5326.273
