box,sortie,service,rank,start_s,completion_s,expected_s,hard_s,first,priority,lateness_s,mass_kg,volume_m3
S001-FOD-01,Q2-016,S001,1,7638.459,7674.459,7200.0,,False,10,474.45899999999983,8,0.028
S001-FOD-02,Q2-016,S001,2,7674.459,7710.459,7200.0,,False,10,510.45899999999983,8,0.028
S001-FOD-03,Q2-012,S001,1,5449.011,5485.011,7200.0,,False,10,0,8,0.028
S001-HYG-01,Q2-016,S001,3,7710.459,7746.459,10800.0,,False,8,0,6,0.035
S001-HYG-02,Q2-016,S001,4,7746.459,7782.459,10800.0,,False,8,0,6,0.035
S001-MED-01,Q2-008,S001,1,3320.133,3350.133,3600.0,3600.0,True,24,0,3,0.012
S001-MED-02,Q2-008,S001,2,3350.133,3380.133,3600.0,3600.0,False,24,0,3,0.012
S001-WAT-01,Q2-008,S001,3,3380.133,3410.133,3600.0,3600.0,True,12,0,14,0.027
S001-WAT-02,Q2-012,S001,2,5485.011,5521.011,3600.0,,False,12,1921.0110000000004,14,0.027
S001-WAT-03,Q2-012,S001,3,5521.011,5557.011,3600.0,,False,12,1957.0110000000004,14,0.027
S001-WAT-04,Q2-016,S001,5,7782.459,7818.459,3600.0,,False,12,4218.459,14,0.027
S001-WAT-05,Q2-016,S001,6,7818.459,7854.459,3600.0,,False,12,4254.459,14,0.027
S001-WAT-06,Q2-016,S001,7,7854.459,7890.459,3600.0,,False,12,4290.459,14,0.027
S001-WAT-07,Q2-012,S001,4,5557.011,5593.011,3600.0,,False,12,1993.0110000000004,14,0.027
S001-WAT-08,Q2-012,S001,5,5593.011,5629.011,3600.0,,False,12,2029.0110000000004,14,0.027
S002-FOD-01,Q2-004,S002,6,1487.348,1523.348,7200.0,,False,10,0,8,0.028
S002-FOD-02,Q2-004,S002,2,1343.348,1379.348,7200.0,,False,10,0,8,0.028
S002-HYG-01,Q2-004,S002,3,1379.348,1415.348,10800.0,,False,8,0,6,0.035
S002-MED-01,Q2-004,S002,4,1415.348,1451.348,3600.0,3600.0,True,24,0,3,0.012
S002-WAT-01,Q2-004,S002,5,1451.348,1487.348,3600.0,3600.0,True,12,0,14,0.027
S002-WAT-02,Q2-004,S002,1,1307.348,1343.348,3600.0,,False,12,0,14,0.027
S002-WAT-03,Q2-014,S002,1,7051.893,7081.893,3600.0,,False,12,3481.893,14,0.027
S002-WAT-04,Q2-014,S002,2,7081.893,7111.893,3600.0,,False,12,3511.893,14,0.027
S003-FOD-01,Q2-011,S003,5,5743.557,5779.557,10800.0,,False,8,0,8,0.028
S003-FOD-02,Q2-011,S003,2,5635.557,5671.557,10800.0,,False,8,0,8,0.028
S003-HYG-01,Q2-011,S003,3,5671.557,5707.557,14400.0,,False,6,0,6,0.035
S003-MED-01,Q2-011,S003,7,5815.557,5851.557,7200.0,7200.0,True,20,0,3,0.012
S003-WAT-01,Q2-011,S003,1,5599.557,5635.557,7200.0,7200.0,True,10,0,14,0.027
S003-WAT-02,Q2-011,S003,4,5707.557,5743.557,7200.0,,False,10,0,14,0.027
S003-WAT-03,Q2-017,S003,1,8789.684,8819.684,7200.0,,False,10,1619.6839999999993,14,0.027
S003-WAT-04,Q2-011,S003,6,5779.557,5815.557,7200.0,,False,10,0,14,0.027
S004-FOD-01,Q2-009,S004,2,5005.804,5035.804,10800.0,,False,8,0,8,0.028
S004-HYG-01,Q2-010,S004,1,5182.416,5212.416,14400.0,,False,6,0,6,0.035
S004-MED-01,Q2-009,S004,1,4975.804,5005.804,7200.0,7200.0,True,20,0,3,0.012
S004-WAT-01,Q2-010,S004,2,5212.416,5242.416,7200.0,7200.0,True,10,0,14,0.027
S004-WAT-02,Q2-018,S004,1,8926.998,8956.998,7200.0,,False,10,1756.9979999999996,14,0.027
S004-WAT-03,Q2-018,S004,2,8956.998,8986.998,7200.0,,False,10,1786.9979999999996,14,0.027
S005-FOD-01,Q2-015,S005,1,7548.773,7584.773,14400.0,,False,6,0,8,0.028
S005-HYG-01,Q2-015,S005,2,7584.773,7620.773,18000.0,,False,4,0,6,0.035
S005-MED-01,Q2-015,S005,3,7620.773,7656.773,10800.0,10800.0,True,16,0,3,0.012
S005-WAT-01,Q2-015,S005,4,7656.773,7692.773,10800.0,10800.0,True,8,0,14,0.027
S005-WAT-02,Q2-015,S005,5,7692.773,7728.773,10800.0,,False,8,0,14,0.027
S005-WAT-03,Q2-009,S005,1,4509.979,4539.979,10800.0,,False,8,0,14,0.027
S006-FOD-01,Q2-001,S006,1,993.422,1029.422,7200.0,,False,10,0,8,0.028
S006-HYG-01,Q2-001,S006,2,1029.422,1065.422,10800.0,,False,8,0,6,0.035
S006-MED-01,Q2-001,S006,3,1065.422,1101.422,3600.0,3600.0,True,24,0,3,0.012
S006-WAT-01,Q2-001,S006,4,1101.422,1137.422,3600.0,3600.0,True,12,0,14,0.027
S006-WAT-02,Q2-001,S006,5,1137.422,1173.422,3600.0,,False,12,0,14,0.027
S006-WAT-03,Q2-001,S006,6,1173.422,1209.422,3600.0,,False,12,0,14,0.027
S007-FOD-01,Q2-007,S007,1,3401.621,3437.621,7200.0,,False,10,0,8,0.028
S007-HYG-01,Q2-007,S007,2,3437.621,3473.621,10800.0,,False,8,0,6,0.035
S007-MED-01,Q2-007,S007,3,3473.621,3509.621,3600.0,3600.0,True,24,0,3,0.012
S007-WAT-01,Q2-007,S007,4,3509.621,3545.621,3600.0,3600.0,True,12,0,14,0.027
S007-WAT-02,Q2-007,S007,5,3545.621,3581.621,3600.0,,False,12,0,14,0.027
S008-FOD-01,Q2-003,S008,3,1261.154,1291.154,10800.0,,False,8,0,8,0.028
S008-HYG-01,Q2-019,S008,1,10723.164,10753.164,14400.0,,False,6,0,6,0.035
S008-MED-01,Q2-003,S008,2,1231.154,1261.154,7200.0,7200.0,True,20,0,3,0.012
S008-WAT-01,Q2-003,S008,1,1201.154,1231.154,7200.0,7200.0,True,10,0,14,0.027
S008-WAT-02,Q2-019,S008,2,10753.164,10783.164,7200.0,,False,10,3583.1640000000007,14,0.027
S009-FOD-01,Q2-015,S009,1,8219.703,8255.703,14400.0,,False,6,0,8,0.028
S009-MED-01,Q2-015,S009,2,8255.703,8291.703,10800.0,10800.0,True,16,0,3,0.012
S009-WAT-01,Q2-015,S009,3,8291.703,8327.703,10800.0,10800.0,True,8,0,14,0.027
S010-FOD-01,Q2-002,S010,3,1055.24,1085.24,7200.0,,False,10,0,8,0.028
S010-MED-01,Q2-002,S010,2,1025.24,1055.24,3600.0,3600.0,True,24,0,3,0.012
S010-WAT-01,Q2-002,S010,1,995.24,1025.24,3600.0,3600.0,True,12,0,14,0.027
S011-FOD-01,Q2-007,S011,1,4100.395,4136.395,14400.0,,False,6,0,8,0.028
S011-MED-01,Q2-007,S011,2,4136.395,4172.395,10800.0,10800.0,True,16,0,3,0.012
S011-WAT-01,Q2-007,S011,3,4172.395,4208.395,10800.0,10800.0,True,8,0,14,0.027
S012-FOD-01,Q2-006,S012,2,2787.654,2817.654,7200.0,,False,10,0,8,0.028
S012-MED-01,Q2-006,S012,3,2817.654,2847.654,7200.0,3600.0,True,22,0,3,0.012
S012-WAT-01,Q2-006,S012,1,2757.654,2787.654,3600.0,3600.0,True,12,0,14,0.027
S013-FOD-01,Q2-005,S013,1,2681.952,2717.952,7200.0,,False,10,0,8,0.028
S013-MED-01,Q2-005,S013,2,2717.952,2753.952,3600.0,3600.0,True,24,0,3,0.012
S013-WAT-01,Q2-005,S013,3,2753.952,2789.952,3600.0,3600.0,True,12,0,14,0.027
S014-FOD-01,Q2-005,S014,1,3342.202,3378.202,7200.0,,False,10,0,8,0.028
S014-MED-01,Q2-005,S014,2,3378.202,3414.202,7200.0,3600.0,True,22,0,3,0.012
S014-WAT-01,Q2-005,S014,3,3414.202,3450.202,3600.0,3600.0,True,12,0,14,0.027
S015-FOD-01,Q2-013,S015,1,6842.583,6872.583,14400.0,,False,6,0,8,0.028
S015-MED-01,Q2-013,S015,2,6872.583,6902.583,7200.0,7200.0,True,18,0,3,0.012
S015-WAT-01,Q2-013,S015,3,6902.583,6932.583,10800.0,10800.0,True,8,0,14,0.027
