sortie,candidate,unit,drone,battery,start_s,takeoff_s,visits,return_s,energy_kwh,soc,charge_s,charge_end_s,mass_kg,volume_m3,boxes,flight_s,operation_s,rounding_s
Q2-001,a8a97ba8e2ee6a7f,U07,C,BAT-C-01,0.0,480.0,"[""S006""]",1561.554,2.5979362904386822,0.6752579636951648,1536.941078660476,3098.496,59,0.156,"[""S006-FOD-01"", ""S006-HYG-01"", ""S006-MED-01"", ""S006-WAT-01"", ""S006-WAT-02"", ""S006-WAT-03""]",685.5526244866224,1561.554,0.001375513377581683
Q2-002,6cb0366dc18b20a6,U05,B,BAT-B-01,0.001,390.001,"[""S010""]",1555.406,1.823216564231414,0.5441958589421465,1456.7271778336126,3012.134,25,0.067,"[""S010-FOD-01"", ""S010-MED-01"", ""S010-WAT-01""]",925.4035197802173,1555.405,0.0014802197826497832
Q2-003,ce31b6da4f123b55,U06,B,BAT-B-02,0.006,390.006,"[""S008""]",1961.849,2.9752068745422333,0.25619828136444167,1955.9229789683006,3917.772,25,0.067,"[""S008-FOD-01"", ""S008-MED-01"", ""S008-WAT-01""]",1331.841747175703,1961.843,0.0012528242970120118
Q2-004,de5042f189f5125d,U08,C,BAT-C-02,36.016,516.016,"[""S002""]",2143.86,5.601961218543254,0.29975484768209326,2350.5311633554643,4494.392,53,0.157,"[""S002-FOD-01"", ""S002-FOD-02"", ""S002-HYG-01"", ""S002-MED-01"", ""S002-WAT-01"", ""S002-WAT-02""]",1231.8421660245544,2107.844,0.0018339754456064838
Q2-005,7affff587124a787,U07,C,BAT-C-03,1566.315,2046.315,"[""S013"", ""S014""]",4140.008,5.014897084732867,0.3731378644083916,2191.534627115151,6331.543,50,0.134,"[""S013-FOD-01"", ""S013-MED-01"", ""S013-WAT-01"", ""S014-FOD-01"", ""S014-MED-01"", ""S014-WAT-01""]",1517.6909785468933,2573.693,0.0020214531067495045
Q2-006,0778dae839811744,U05,B,BAT-B-03,1576.31,1966.31,"[""S012""]",3499.138,2.7525999542899324,0.3118500114275169,1859.4599801923039,5358.598,25,0.067,"[""S012-FOD-01"", ""S012-MED-01"", ""S012-WAT-01""]",1292.8268141491867,1922.828,0.001185850813271827
Q2-007,97ad564813a4da7b,U08,C,BAT-C-04,2143.86,2683.86,"[""S007"", ""S011""]",4512.738,4.579541536928699,0.42755730788391266,2073.625832918189,6586.364,70,0.196,"[""S007-FOD-01"", ""S007-HYG-01"", ""S007-MED-01"", ""S007-WAT-01"", ""S007-WAT-02"", ""S011-FOD-01"", ""S011-MED-01"", ""S011-WAT-01""]",1180.8766486282682,2368.878,0.0013513717318573981
Q2-008,8f965b8f673bf0e1,U06,B,BAT-B-04,2492.456,2882.456,"[""S001""]",3701.563,1.0739722576354607,0.7315069355911348,1132.0546449753663,4833.618,20,0.051000000000000004,"[""S001-MED-01"", ""S001-MED-02"", ""S001-WAT-01""]",579.1061758262156,1209.107,0.0008241737844514319
Q2-009,81023abfb2df237c,U05,B,BAT-B-01,3499.138,3889.138,"[""S005"", ""S004""]",5714.979,2.7917500781027624,0.3020624804743094,1876.4250338445302,7591.405,25,0.067,"[""S004-FOD-01"", ""S004-MED-01"", ""S005-WAT-03""]",1435.839503105971,2215.841,0.0014968940288895283
Q2-010,cdaccff13f76e645,U06,B,BAT-B-02,3999.948,4359.948,"[""S004""]",5921.591,2.668319628024298,0.33292009299392555,1822.9385054771956,7744.53,20,0.062,"[""S004-HYG-01"", ""S004-WAT-01""]",1351.641663352524,1921.643,0.001336647476023245
Q2-011,8b9aaf2f346d3a02,U07,C,BAT-C-01,4140.008,4650.008,"[""S003""]",6642.186,6.324499390874367,0.20943757614070413,2546.218585028474,9188.405,67,0.184,"[""S003-FOD-01"", ""S003-FOD-02"", ""S003-HYG-01"", ""S003-MED-01"", ""S003-WAT-01"", ""S003-WAT-02"", ""S003-WAT-04""]",1560.1777110992603,2502.178,0.0002889007396333909
Q2-012,ab2a44bddf0edc0c,U08,C,BAT-C-02,4512.738,4962.738,"[""S001""]",5940.914,2.5655813655342623,0.6793023293082172,1528.1782864988625,7469.093,64,0.136,"[""S001-FOD-03"", ""S001-WAT-02"", ""S001-WAT-03"", ""S001-WAT-07"", ""S001-WAT-08""]",618.1750458620229,1428.176,0.0009541379771462744
Q2-013,2ced2cd7091d6e72,U05,B,BAT-B-03,5714.979,6104.979,"[""S015""]",7543.307,2.3075285057525154,0.42311787356187114,1666.59568582609,9209.903,25,0.067,"[""S015-FOD-01"", ""S015-MED-01"", ""S015-WAT-01""]",1198.3275601736595,1828.328,0.00043982634053918446
Q2-014,42cd8bae342fa566,U06,B,BAT-B-04,5951.59,6311.59,"[""S002""]",7708.316,2.8702072800012117,0.28244817999969707,1910.4231546671917,9618.74,28,0.054,"[""S002-WAT-03"", ""S002-WAT-04""]",1186.7240813077574,1756.726,0.0019186922424978547
Q2-015,b221084e091a6843,U08,C,BAT-C-03,6331.543,6871.543,"[""S005"", ""S009""]",8816.113,5.74341587762657,0.2820730152966787,2388.8418001905293,11204.955,70,0.196,"[""S005-FOD-01"", ""S005-HYG-01"", ""S005-MED-01"", ""S005-WAT-01"", ""S005-WAT-02"", ""S009-FOD-01"", ""S009-MED-01"", ""S009-WAT-01""]",1296.5687900331318,2484.57,0.001209966868373158
Q2-016,a8227cfa560a87d5,U07,C,BAT-C-04,6642.186,7152.186,"[""S001""]",8202.362,2.7203965759916358,0.6599504280010455,1570.1074059977343,9772.47,70,0.20700000000000002,"[""S001-FOD-01"", ""S001-FOD-02"", ""S001-HYG-01"", ""S001-HYG-02"", ""S001-WAT-04"", ""S001-WAT-05"", ""S001-WAT-06""]",618.1750458620229,1560.176,0.0009541379771462744
Q2-017,cbdb396f8b5f5279,U05,B,BAT-B-01,7591.405,7921.405,"[""S003""]",9552.016,2.4242554024426743,0.3939361493893314,1717.177341058492,11269.194,14,0.027,"[""S003-WAT-03""]",1450.6096650380623,1960.611,0.001334961937686785
Q2-018,fa9cfacaee1786c3,U06,B,BAT-B-02,7744.53,8104.53,"[""S004""]",9666.173,3.035305400283593,0.24117364992910173,1981.9656734562236,11648.139,28,0.054,"[""S004-WAT-02"", ""S004-WAT-03""]",1351.641663352524,1921.643,0.001336647476023245
Q2-019,49d2d26f517a7b68,U05,B,BAT-B-03,9552.016,9912.016,"[""S008""]",11453.859,2.7634312052333714,0.30914219869165716,1864.1535222677942,13318.013,20,0.062,"[""S008-HYG-01"", ""S008-WAT-02""]",1331.841747175703,1901.843,0.0012528242970120118
