box,sortie,service,rank,start_s,completion_s,expected_s,hard_s,first,priority,lateness_s,mass_kg,volume_m3
S001-FOD-01,Q2-010,S001,7,2736.449,2772.449,7200.0,,False,10,0,8,0.028
S001-FOD-02,Q2-010,S001,5,2664.449,2700.449,7200.0,,False,10,0,8,0.028
S001-FOD-03,Q2-030,S001,1,6996.915,7026.915,7200.0,,False,10,0,8,0.028
S001-HYG-01,Q2-010,S001,8,2772.449,2808.449,10800.0,,False,8,0,6,0.035
S001-HYG-02,Q2-010,S001,2,2556.449,2592.449,10800.0,,False,8,0,6,0.035
S001-MED-01,Q2-010,S001,4,2628.449,2664.449,3600.0,3600.0,True,24,0,3,0.012
S001-MED-02,Q2-001,S001,1,966.273,1002.273,3600.0,3600.0,False,24,0,3,0.012
S001-WAT-01,Q2-001,S001,6,1146.273,1182.273,3600.0,3600.0,True,12,0,14,0.027
S001-WAT-02,Q2-001,S001,5,1110.273,1146.273,3600.0,,False,12,0,14,0.027
S001-WAT-03,Q2-001,S001,4,1074.273,1110.273,3600.0,,False,12,0,14,0.027
S001-WAT-04,Q2-010,S001,3,2592.449,2628.449,3600.0,,False,12,0,14,0.027
S001-WAT-05,Q2-010,S001,1,2520.449,2556.449,3600.0,,False,12,0,14,0.027
S001-WAT-06,Q2-010,S001,6,2700.449,2736.449,3600.0,,False,12,0,14,0.027
S001-WAT-07,Q2-001,S001,3,1038.273,1074.273,3600.0,,False,12,0,14,0.027
S001-WAT-08,Q2-001,S001,2,1002.273,1038.273,3600.0,,False,12,0,14,0.027
S002-FOD-01,Q2-014,S002,1,3283.176,3319.176,7200.0,,False,10,0,8,0.028
S002-FOD-02,Q2-002,S002,4,1349.332,1385.332,7200.0,,False,10,0,8,0.028
S002-HYG-01,Q2-014,S002,2,3319.176,3355.176,10800.0,,False,8,0,6,0.035
S002-MED-01,Q2-014,S002,3,3355.176,3391.176,3600.0,3600.0,True,24,0,3,0.012
S002-WAT-01,Q2-002,S002,3,1313.332,1349.332,3600.0,3600.0,True,12,0,14,0.027
S002-WAT-02,Q2-002,S002,1,1241.332,1277.332,3600.0,,False,12,0,14,0.027
S002-WAT-03,Q2-002,S002,5,1385.332,1421.332,3600.0,,False,12,0,14,0.027
S002-WAT-04,Q2-002,S002,2,1277.332,1313.332,3600.0,,False,12,0,14,0.027
S003-FOD-01,Q2-025,S003,2,6385.251,6421.251,10800.0,,False,8,0,8,0.028
S003-FOD-02,Q2-025,S003,3,6421.251,6457.251,10800.0,,False,8,0,8,0.028
S003-HYG-01,Q2-025,S003,5,6493.251,6529.251,14400.0,,False,6,0,6,0.035
S003-MED-01,Q2-025,S003,7,6565.251,6601.251,7200.0,7200.0,True,20,0,3,0.012
S003-WAT-01,Q2-025,S003,6,6529.251,6565.251,7200.0,7200.0,True,10,0,14,0.027
S003-WAT-02,Q2-025,S003,1,6349.251,6385.251,7200.0,,False,10,0,14,0.027
S003-WAT-03,Q2-024,S003,1,6045.551,6075.551,7200.0,,False,10,0,14,0.027
S003-WAT-04,Q2-025,S003,4,6457.251,6493.251,7200.0,,False,10,0,14,0.027
S004-FOD-01,Q2-021,S004,1,4961.943,4991.943,10800.0,,False,8,0,8,0.028
S004-HYG-01,Q2-028,S004,2,6739.018,6775.018,14400.0,,False,6,0,6,0.035
S004-MED-01,Q2-028,S004,1,6703.018,6739.018,7200.0,7200.0,True,20,0,3,0.012
S004-WAT-01,Q2-026,S004,1,6418.781,6448.781,7200.0,7200.0,True,10,0,14,0.027
S004-WAT-02,Q2-028,S004,3,6775.018,6811.018,7200.0,,False,10,0,14,0.027
S004-WAT-03,Q2-014,S004,1,3819.449,3855.449,7200.0,,False,10,0,14,0.027
S005-FOD-01,Q2-018,S005,1,4741.56,4777.56,14400.0,,False,6,0,8,0.028
S005-HYG-01,Q2-018,S005,5,4885.56,4921.56,18000.0,,False,4,0,6,0.035
S005-MED-01,Q2-018,S005,4,4849.56,4885.56,10800.0,10800.0,True,16,0,3,0.012
S005-WAT-01,Q2-018,S005,3,4813.56,4849.56,10800.0,10800.0,True,8,0,14,0.027
S005-WAT-02,Q2-018,S005,2,4777.56,4813.56,10800.0,,False,8,0,14,0.027
S005-WAT-03,Q2-014,S005,1,4349.742,4385.742,10800.0,,False,8,0,14,0.027
S006-FOD-01,Q2-009,S006,3,2119.67,2149.67,7200.0,,False,10,0,8,0.028
S006-HYG-01,Q2-005,S006,2,852.399,882.399,10800.0,,False,8,0,6,0.035
S006-MED-01,Q2-009,S006,2,2089.67,2119.67,3600.0,3600.0,True,24,0,3,0.012
S006-WAT-01,Q2-005,S006,1,822.399,852.399,3600.0,3600.0,True,12,0,14,0.027
S006-WAT-02,Q2-009,S006,1,2059.67,2089.67,3600.0,,False,12,0,14,0.027
S006-WAT-03,Q2-017,S006,1,3495.742,3525.742,3600.0,,False,12,0,14,0.027
S007-FOD-01,Q2-022,S007,1,5311.976,5341.976,7200.0,,False,10,0,8,0.028
S007-HYG-01,Q2-003,S007,2,1111.374,1141.374,10800.0,,False,8,0,6,0.035
S007-MED-01,Q2-003,S007,1,1081.374,1111.374,3600.0,3600.0,True,24,0,3,0.012
S007-WAT-01,Q2-011,S007,1,2603.538,2633.538,3600.0,3600.0,True,12,0,14,0.027
S007-WAT-02,Q2-016,S007,1,3635.298,3665.298,3600.0,,False,12,65.29799999999977,14,0.027
S008-FOD-01,Q2-015,S008,3,3735.69,3765.69,10800.0,,False,8,0,8,0.028
S008-HYG-01,Q2-023,S008,1,6021.824,6051.824,14400.0,,False,6,0,6,0.035
S008-MED-01,Q2-015,S008,2,3705.69,3735.69,7200.0,7200.0,True,20,0,3,0.012
S008-WAT-01,Q2-015,S008,1,3675.69,3705.69,7200.0,7200.0,True,10,0,14,0.027
S008-WAT-02,Q2-019,S008,1,4495.432,4525.432,7200.0,,False,10,0,14,0.027
S009-FOD-01,Q2-023,S009,1,5407.207,5437.207,14400.0,,False,6,0,8,0.028
S009-MED-01,Q2-027,S009,1,6396.689,6426.689,10800.0,10800.0,True,16,0,3,0.012
S009-WAT-01,Q2-027,S009,2,6426.689,6456.689,10800.0,10800.0,True,8,0,14,0.027
S010-FOD-01,Q2-006,S010,2,1386.481,1416.481,7200.0,,False,10,0,8,0.028
S010-MED-01,Q2-006,S010,1,1356.481,1386.481,3600.0,3600.0,True,24,0,3,0.012
S010-WAT-01,Q2-008,S010,1,1015.261,1045.261,3600.0,3600.0,True,12,0,14,0.027
S011-FOD-01,Q2-018,S011,3,4208.255,4244.255,14400.0,,False,6,0,8,0.028
S011-MED-01,Q2-018,S011,2,4172.255,4208.255,10800.0,10800.0,True,16,0,3,0.012
S011-WAT-01,Q2-018,S011,1,4136.255,4172.255,10800.0,10800.0,True,8,0,14,0.027
S012-FOD-01,Q2-013,S012,2,3097.991,3127.991,7200.0,,False,10,0,8,0.028
S012-MED-01,Q2-013,S012,3,3127.991,3157.991,7200.0,3600.0,True,22,0,3,0.012
S012-WAT-01,Q2-013,S012,1,3067.991,3097.991,3600.0,3600.0,True,12,0,14,0.027
S013-FOD-01,Q2-020,S013,1,4579.186,4609.186,7200.0,,False,10,0,8,0.028
S013-MED-01,Q2-004,S013,1,993.615,1023.615,3600.0,3600.0,True,24,0,3,0.012
S013-WAT-01,Q2-006,S013,1,972.79,1002.79,3600.0,3600.0,True,12,0,14,0.027
S014-FOD-01,Q2-012,S014,2,2837.928,2867.928,7200.0,,False,10,0,8,0.028
S014-MED-01,Q2-012,S014,1,2807.928,2837.928,7200.0,3600.0,True,22,0,3,0.012
S014-WAT-01,Q2-007,S014,1,1182.983,1212.983,3600.0,3600.0,True,12,0,14,0.027
S015-FOD-01,Q2-029,S015,1,6798.722,6828.722,14400.0,,False,6,0,8,0.028
S015-MED-01,Q2-029,S015,2,6828.722,6858.722,7200.0,7200.0,True,18,0,3,0.012
S015-WAT-01,Q2-029,S015,3,6858.722,6888.722,10800.0,10800.0,True,8,0,14,0.027
