box,sortie,service,rank,start_s,completion_s,expected_s,hard_s,first,priority,lateness_s,mass_kg,volume_m3
S001-FOD-01,Q2-009,S001,7,2833.827,2869.827,7200.0,,False,10,0,8,0.028
S001-FOD-02,Q2-009,S001,9,2905.827,2941.827,7200.0,,False,10,0,8,0.028
S001-FOD-03,Q2-006,S001,6,1146.274,1182.274,7200.0,,False,10,0,8,0.028
S001-HYG-01,Q2-009,S001,6,2797.827,2833.827,10800.0,,False,8,0,6,0.035
S001-HYG-02,Q2-009,S001,8,2869.827,2905.827,10800.0,,False,8,0,6,0.035
S001-MED-01,Q2-009,S001,1,2617.827,2653.827,3600.0,3600.0,True,24,0,3,0.012
S001-MED-02,Q2-009,S001,2,2653.827,2689.827,3600.0,3600.0,False,24,0,3,0.012
S001-WAT-01,Q2-006,S001,1,966.274,1002.274,3600.0,3600.0,True,12,0,14,0.027
S001-WAT-02,Q2-006,S001,2,1002.274,1038.274,3600.0,,False,12,0,14,0.027
S001-WAT-03,Q2-006,S001,3,1038.274,1074.274,3600.0,,False,12,0,14,0.027
S001-WAT-04,Q2-009,S001,3,2689.827,2725.827,3600.0,,False,12,0,14,0.027
S001-WAT-05,Q2-009,S001,4,2725.827,2761.827,3600.0,,False,12,0,14,0.027
S001-WAT-06,Q2-009,S001,5,2761.827,2797.827,3600.0,,False,12,0,14,0.027
S001-WAT-07,Q2-006,S001,4,1074.274,1110.274,3600.0,,False,12,0,14,0.027
S001-WAT-08,Q2-006,S001,5,1110.274,1146.274,3600.0,,False,12,0,14,0.027
S002-FOD-01,Q2-007,S002,3,2837.509,2873.509,7200.0,,False,10,0,8,0.028
S002-FOD-02,Q2-007,S002,2,2801.509,2837.509,7200.0,,False,10,0,8,0.028
S002-HYG-01,Q2-007,S002,1,2765.509,2801.509,10800.0,,False,8,0,6,0.035
S002-MED-01,Q2-007,S002,4,2873.509,2909.509,3600.0,3600.0,True,24,0,3,0.012
S002-WAT-01,Q2-007,S002,5,2909.509,2945.509,3600.0,3600.0,True,12,0,14,0.027
S002-WAT-02,Q2-007,S002,6,2945.509,2981.509,3600.0,,False,12,0,14,0.027
S002-WAT-03,Q2-011,S002,1,4166.221,4196.221,3600.0,,False,12,596.2209999999995,14,0.027
S002-WAT-04,Q2-011,S002,2,4196.221,4226.221,3600.0,,False,12,626.2209999999995,14,0.027
S003-FOD-01,Q2-016,S003,5,7030.957,7066.957,10800.0,,False,8,0,8,0.028
S003-FOD-02,Q2-016,S003,7,7102.957,7138.957,10800.0,,False,8,0,8,0.028
S003-HYG-01,Q2-016,S003,1,6886.957,6922.957,14400.0,,False,6,0,6,0.035
S003-MED-01,Q2-016,S003,6,7066.957,7102.957,7200.0,7200.0,True,20,0,3,0.012
S003-WAT-01,Q2-016,S003,2,6922.957,6958.957,7200.0,7200.0,True,10,0,14,0.027
S003-WAT-02,Q2-016,S003,3,6958.957,6994.957,7200.0,,False,10,0,14,0.027
S003-WAT-03,Q2-013,S003,1,5401.486,5437.486,7200.0,,False,10,0,14,0.027
S003-WAT-04,Q2-016,S003,4,6994.957,7030.957,7200.0,,False,10,0,14,0.027
S004-FOD-01,Q2-015,S004,2,6329.31,6359.31,10800.0,,False,8,0,8,0.028
S004-HYG-01,Q2-012,S004,2,4601.85,4637.85,14400.0,,False,6,0,6,0.035
S004-MED-01,Q2-015,S004,1,6299.31,6329.31,7200.0,7200.0,True,20,0,3,0.012
S004-WAT-01,Q2-012,S004,1,4565.85,4601.85,7200.0,7200.0,True,10,0,14,0.027
S004-WAT-02,Q2-012,S004,4,4673.85,4709.85,7200.0,,False,10,0,14,0.027
S004-WAT-03,Q2-012,S004,3,4637.85,4673.85,7200.0,,False,10,0,14,0.027
S005-FOD-01,Q2-018,S005,4,8184.827,8220.827,14400.0,,False,6,0,8,0.028
S005-HYG-01,Q2-018,S005,5,8220.827,8256.827,18000.0,,False,4,0,6,0.035
S005-MED-01,Q2-018,S005,1,8076.827,8112.827,10800.0,10800.0,True,16,0,3,0.012
S005-WAT-01,Q2-018,S005,2,8112.827,8148.827,10800.0,10800.0,True,8,0,14,0.027
S005-WAT-02,Q2-018,S005,3,8148.827,8184.827,10800.0,,False,8,0,14,0.027
S005-WAT-03,Q2-015,S005,1,5833.485,5863.485,10800.0,,False,8,0,14,0.027
S006-FOD-01,Q2-005,S006,5,1137.422,1173.422,7200.0,,False,10,0,8,0.028
S006-HYG-01,Q2-005,S006,6,1173.422,1209.422,10800.0,,False,8,0,6,0.035
S006-MED-01,Q2-005,S006,1,993.422,1029.422,3600.0,3600.0,True,24,0,3,0.012
