sortie,from,to,phase,start_s,end_s,box
Q2-001,O01,S013,爬升,390.0,480.4939412434896,
Q2-001,O01,S013,巡航,480.4939412434896,803.7963982134083,
Q2-001,O01,S013,下降,803.7963982134083,822.7891277055959,
Q2-001,O01,S013,毫秒保守裕量,822.7891277055959,822.79,
Q2-001,S013,S013,基础交接,822.79,972.79,
Q2-001,S013,S013,逐箱交接,972.79,1002.79,S013-MED-01
Q2-001,S013,S013,逐箱交接,1002.79,1032.79,S013-WAT-01
Q2-001,S013,S013,逐箱交接,1032.79,1062.79,S013-FOD-01
Q2-001,S013,O01,爬升,1062.79,1078.6172745768229,
Q2-001,S013,O01,巡航,1078.6172745768229,1401.9197315467416,
Q2-001,S013,O01,下降,1401.9197315467416,1510.5124610389291,
Q2-001,S013,O01,毫秒保守裕量,1510.5124610389291,1510.513,
Q2-002,O01,S007,爬升,360.0,488.0910583496094,
Q2-002,O01,S007,巡航,488.0910583496094,865.9841729263596,
Q2-002,O01,S007,下降,865.9841729263596,931.3734429458909,
Q2-002,O01,S007,毫秒保守裕量,931.3734429458909,931.374,
Q2-002,S007,S007,基础交接,931.374,1081.374,
Q2-002,S007,S007,逐箱交接,1081.374,1111.374,S007-WAT-01
Q2-002,S007,S007,逐箱交接,1111.374,1141.374,S007-FOD-01
Q2-002,S007,O01,爬升,1141.374,1195.8650583496094,
Q2-002,S007,O01,巡航,1195.8650583496094,1573.7581729263597,
Q2-002,S007,O01,下降,1573.7581729263597,1727.467442945891,
Q2-002,S007,O01,毫秒保守裕量,1727.467442945891,1727.468,
Q2-003,O01,S014,爬升,390.0,544.7491292317709,
Q2-003,O01,S014,巡航,544.7491292317709,906.0515492278873,
Q2-003,O01,S014,下降,906.0515492278873,1002.4305043060124,
Q2-003,O01,S014,毫秒保守裕量,1002.4305043060124,1002.431,
Q2-003,S014,S014,基础交接,1002.431,1152.431,
Q2-003,S014,S014,逐箱交接,1152.431,1182.431,S014-WAT-01
Q2-003,S014,S014,逐箱交接,1182.431,1212.431,S014-MED-01
Q2-003,S014,S014,逐箱交接,1212.431,1242.431,S014-FOD-01
Q2-003,S014,O01,爬升,1242.431,1322.7467958984375,
Q2-003,S014,O01,巡航,1322.7467958984375,1684.049215894554,
Q2-003,S014,O01,下降,1684.049215894554,1869.748170972679,
Q2-003,S014,O01,毫秒保守裕量,1869.748170972679,1869.749,
