box,sortie,service,rank,start_s,completion_s,expected_s,hard_s,first,priority,lateness_s,mass_kg,volume_m3
S001-FOD-01,Q2-011,S001,5,2761.827,2797.827,7200.0,,False,10,0,8,0.028
S001-FOD-02,Q2-011,S001,6,2797.827,2833.827,7200.0,,False,10,0,8,0.028
S001-FOD-03,Q2-011,S001,7,2833.827,2869.827,7200.0,,False,10,0,8,0.028
S001-HYG-01,Q2-011,S001,8,2869.827,2905.827,10800.0,,False,8,0,6,0.035
S001-HYG-02,Q2-011,S001,9,2905.827,2941.827,10800.0,,False,8,0,6,0.035
S001-MED-01,Q2-011,S001,1,2617.827,2653.827,3600.0,3600.0,True,24,0,3,0.012
S001-MED-02,Q2-011,S001,2,2653.827,2689.827,3600.0,3600.0,False,24,0,3,0.012
S001-WAT-01,Q2-011,S001,3,2689.827,2725.827,3600.0,3600.0,True,12,0,14,0.027
S001-WAT-02,Q2-011,S001,4,2725.827,2761.827,3600.0,,False,12,0,14,0.027
S001-WAT-03,Q2-024,S001,3,6501.171,6537.171,3600.0,,False,12,2937.1710000000003,14,0.027
S001-WAT-04,Q2-024,S001,1,6429.171,6465.171,3600.0,,False,12,2865.1710000000003,14,0.027
S001-WAT-05,Q2-024,S001,2,6465.171,6501.171,3600.0,,False,12,2901.1710000000003,14,0.027
S001-WAT-06,Q2-024,S001,4,6537.171,6573.171,3600.0,,False,12,2973.1710000000003,14,0.027
S001-WAT-07,Q2-012,S001,1,2546.045,2576.045,3600.0,,False,12,0,14,0.027
S001-WAT-08,Q2-024,S001,5,6573.171,6609.171,3600.0,,False,12,3009.1710000000003,14,0.027
S002-FOD-01,Q2-001,S002,5,1445.332,1481.332,7200.0,,False,10,0,8,0.028
S002-FOD-02,Q2-001,S002,6,1481.332,1517.332,7200.0,,False,10,0,8,0.028
S002-HYG-01,Q2-001,S002,7,1517.332,1553.332,10800.0,,False,8,0,6,0.035
S002-MED-01,Q2-001,S002,1,1301.332,1337.332,3600.0,3600.0,True,24,0,3,0.012
S002-WAT-01,Q2-001,S002,2,1337.332,1373.332,3600.0,3600.0,True,12,0,14,0.027
S002-WAT-02,Q2-013,S002,1,2921.296,2951.296,3600.0,,False,12,0,14,0.027
S002-WAT-03,Q2-001,S002,3,1373.332,1409.332,3600.0,,False,12,0,14,0.027
S002-WAT-04,Q2-001,S002,4,1409.332,1445.332,3600.0,,False,12,0,14,0.027
S003-FOD-01,Q2-014,S003,5,3777.393,3813.393,10800.0,,False,8,0,8,0.028
S003-FOD-02,Q2-014,S003,6,3813.393,3849.393,10800.0,,False,8,0,8,0.028
S003-HYG-01,Q2-014,S003,7,3849.393,3885.393,14400.0,,False,6,0,6,0.035
S003-MED-01,Q2-014,S003,1,3633.393,3669.393,7200.0,7200.0,True,20,0,3,0.012
S003-WAT-01,Q2-014,S003,2,3669.393,3705.393,7200.0,7200.0,True,10,0,14,0.027
S003-WAT-02,Q2-014,S003,3,3705.393,3741.393,7200.0,,False,10,0,14,0.027
S003-WAT-03,Q2-016,S003,1,4116.2,4146.2,7200.0,,False,10,0,14,0.027
S003-WAT-04,Q2-014,S003,4,3741.393,3777.393,7200.0,,False,10,0,14,0.027
S004-FOD-01,Q2-010,S004,2,3062.071,3092.071,10800.0,,False,8,0,8,0.028
S004-HYG-01,Q2-022,S004,4,6123.772,6159.772,14400.0,,False,6,0,6,0.035
S004-MED-01,Q2-010,S004,1,3032.071,3062.071,7200.0,7200.0,True,20,0,3,0.012
S004-WAT-01,Q2-022,S004,1,6015.772,6051.772,7200.0,7200.0,True,10,0,14,0.027
S004-WAT-02,Q2-022,S004,2,6051.772,6087.772,7200.0,,False,10,0,14,0.027
S004-WAT-03,Q2-022,S004,3,6087.772,6123.772,7200.0,,False,10,0,14,0.027
S005-FOD-01,Q2-018,S005,5,4952.938,4988.938,14400.0,,False,6,0,8,0.028
S005-HYG-01,Q2-018,S005,4,4916.938,4952.938,18000.0,,False,4,0,6,0.035
S005-MED-01,Q2-018,S005,1,4808.938,4844.938,10800.0,10800.0,True,16,0,3,0.012
S005-WAT-01,Q2-018,S005,2,4844.938,4880.938,10800.0,10800.0,True,8,0,14,0.027
S005-WAT-02,Q2-018,S005,3,4880.938,4916.938,10800.0,,False,8,0,14,0.027
S005-WAT-03,Q2-010,S005,1,2566.246,2596.246,10800.0,,False,8,0,14,0.027
S006-FOD-01,Q2-008,S006,5,1137.422,1173.422,7200.0,,False,10,0,8,0.028
S006-HYG-01,Q2-008,S006,6,1173.422,1209.422,10800.0,,False,8,0,6,0.035
S006-MED-01,Q2-008,S006,1,993.422,1029.422,3600.0,3600.0,True,24,0,3,0.012
S006-WAT-01,Q2-008,S006,2,1029.422,1065.422,3600.0,3600.0,True,12,0,14,0.027
S006-WAT-02,Q2-008,S006,3,1065.422,1101.422,3600.0,,False,12,0,14,0.027
S006-WAT-03,Q2-008,S006,4,1101.422,1137.422,3600.0,,False,12,0,14,0.027
S007-FOD-01,Q2-004,S007,2,1111.374,1141.374,7200.0,,False,10,0,8,0.028
S007-HYG-01,Q2-007,S007,2,1111.374,1141.374,10800.0,,False,8,0,6,0.035
S007-MED-01,Q2-007,S007,1,1081.374,1111.374,3600.0,3600.0,True,24,0,3,0.012
S007-WAT-01,Q2-004,S007,1,1081.374,1111.374,3600.0,3600.0,True,12,0,14,0.027
S007-WAT-02,Q2-015,S007,1,3806.788,3836.788,3600.0,,False,12,236.788,14,0.027
S008-FOD-01,Q2-021,S008,3,5032.394,5062.394,10800.0,,False,8,0,8,0.028
S008-HYG-01,Q2-020,S008,1,4947.044,4977.044,14400.0,,False,6,0,6,0.035
S008-MED-01,Q2-021,S008,1,4972.394,5002.394,7200.0,7200.0,True,20,0,3,0.012
S008-WAT-01,Q2-021,S008,2,5002.394,5032.394,7200.0,7200.0,True,10,0,14,0.027
S008-WAT-02,Q2-017,S008,1,4356.671,4386.671,7200.0,,False,10,0,14,0.027
S009-FOD-01,Q2-023,S009,3,6353.623,6383.623,14400.0,,False,6,0,8,0.028
S009-MED-01,Q2-023,S009,1,6293.623,6323.623,10800.0,10800.0,True,16,0,3,0.012
S009-WAT-01,Q2-023,S009,2,6323.623,6353.623,10800.0,10800.0,True,8,0,14,0.027
S010-FOD-01,Q2-005,S010,3,1055.239,1085.239,7200.0,,False,10,0,8,0.028
S010-MED-01,Q2-005,S010,1,995.239,1025.239,3600.0,3600.0,True,24,0,3,0.012
S010-WAT-01,Q2-005,S010,2,1025.239,1055.239,3600.0,3600.0,True,12,0,14,0.027
S011-FOD-01,Q2-018,S011,2,4275.633,4311.633,14400.0,,False,6,0,8,0.028
S011-MED-01,Q2-025,S011,1,6489.489,6519.489,10800.0,10800.0,True,16,0,3,0.012
S011-WAT-01,Q2-018,S011,1,4239.633,4275.633,10800.0,10800.0,True,8,0,14,0.027
S012-FOD-01,Q2-009,S012,3,2751.857,2781.857,7200.0,,False,10,0,8,0.028
S012-MED-01,Q2-009,S012,2,2721.857,2751.857,7200.0,3600.0,True,22,0,3,0.012
S012-WAT-01,Q2-009,S012,1,2691.857,2721.857,3600.0,3600.0,True,12,0,14,0.027
S013-FOD-01,Q2-002,S013,3,1032.79,1062.79,7200.0,,False,10,0,8,0.028
S013-MED-01,Q2-002,S013,1,972.79,1002.79,3600.0,3600.0,True,24,0,3,0.012
S013-WAT-01,Q2-002,S013,2,1002.79,1032.79,3600.0,3600.0,True,12,0,14,0.027
S014-FOD-01,Q2-006,S014,2,1242.757,1272.757,7200.0,,False,10,0,8,0.028
S014-MED-01,Q2-006,S014,1,1212.757,1242.757,7200.0,3600.0,True,22,0,3,0.012
S014-WAT-01,Q2-003,S014,1,1182.757,1212.757,3600.0,3600.0,True,12,0,14,0.027
S015-FOD-01,Q2-019,S015,3,4620.945,4650.945,14400.0,,False,6,0,8,0.028
S015-MED-01,Q2-019,S015,1,4560.945,4590.945,7200.0,7200.0,True,18,0,3,0.012
S015-WAT-01,Q2-019,S015,2,4590.945,4620.945,10800.0,10800.0,True,8,0,14,0.027
