sortie,from,to,phase,start_s,end_s,box
Q2-001,O01,S002,爬升,510.0,582.5017016601563,
Q2-001,O01,S002,巡航,582.5017016601563,1076.603955937082,
Q2-001,O01,S002,下降,1076.603955937082,1121.3310830122773,
Q2-001,O01,S002,毫秒保守裕量,1121.3310830122773,1121.332,
Q2-001,S002,S002,基础交接,1121.332,1301.332,
Q2-001,S002,S002,逐箱交接,1301.332,1337.332,S002-MED-01
Q2-001,S002,S002,逐箱交接,1337.332,1373.332,S002-WAT-01
Q2-001,S002,S002,逐箱交接,1373.332,1409.332,S002-WAT-03
Q2-001,S002,S002,逐箱交接,1409.332,1445.332,S002-WAT-04
Q2-001,S002,S002,逐箱交接,1445.332,1481.332,S002-FOD-01
Q2-001,S002,S002,逐箱交接,1481.332,1517.332,S002-FOD-02
Q2-001,S002,S002,逐箱交接,1517.332,1553.332,S002-HYG-01
Q2-001,S002,O01,爬升,1553.332,1589.1137016601563,
Q2-001,S002,O01,巡航,1589.1137016601563,2083.215955937082,
Q2-001,S002,O01,下降,2083.215955937082,2173.8430830122775,
Q2-001,S002,O01,毫秒保守裕量,2173.8430830122775,2173.844,
Q2-002,O01,S013,爬升,390.0,480.4939412434896,
Q2-002,O01,S013,巡航,480.4939412434896,803.7963982134083,
Q2-002,O01,S013,下降,803.7963982134083,822.7891277055959,
Q2-002,O01,S013,毫秒保守裕量,822.7891277055959,822.79,
Q2-002,S013,S013,基础交接,822.79,972.79,
Q2-002,S013,S013,逐箱交接,972.79,1002.79,S013-MED-01
Q2-002,S013,S013,逐箱交接,1002.79,1032.79,S013-WAT-01
Q2-002,S013,S013,逐箱交接,1032.79,1062.79,S013-FOD-01
Q2-002,S013,O01,爬升,1062.79,1078.6172745768229,
Q2-002,S013,O01,巡航,1078.6172745768229,1401.9197315467416,
Q2-002,S013,O01,下降,1401.9197315467416,1510.5124610389291,
Q2-002,S013,O01,毫秒保守裕量,1510.5124610389291,1510.513,
Q2-003,O01,S014,爬升,330.0,484.74912923177084,
Q2-003,O01,S014,巡航,484.74912923177084,936.3771542269164,
Q2-003,O01,S014,下降,936.3771542269164,1032.7561093050415,
Q2-003,O01,S014,毫秒保守裕量,1032.7561093050415,1032.757,
Q2-003,S014,S014,基础交接,1032.757,1182.757,
Q2-003,S014,S014,逐箱交接,1182.757,1212.757,S014-WAT-01
Q2-003,S014,O01,爬升,1212.757,1293.0727958984376,
Q2-003,S014,O01,巡航,1293.0727958984376,1744.700820893583,
Q2-003,S014,O01,下降,1744.700820893583,1930.399775971708,
Q2-003,S014,O01,毫秒保守裕量,1930.399775971708,1930.4,
Q2-004,O01,S007,爬升,360.0,488.0910583496094,
