sortie,candidate,unit,drone,battery,start_s,takeoff_s,visits,return_s,energy_kwh,soc,charge_s,charge_end_s,mass_kg,volume_m3,boxes,flight_s,operation_s,rounding_s
Q2-001,2af5d67e5d41a679,U07,C,BAT-C-01,0.0,510.0,"[""S002""]",2173.844,6.280970256414267,0.21487871794821667,2534.4294444455304,4708.274,67,0.184,"[""S002-FOD-01"", ""S002-FOD-02"", ""S002-HYG-01"", ""S002-MED-01"", ""S002-WAT-01"", ""S002-WAT-03"", ""S002-WAT-04""]",1231.8421660245544,2173.844,0.0018339754456064838
Q2-002,548823cd4a31b0c8,U05,B,BAT-B-01,0.0,390.0,"[""S013""]",1510.513,1.8248281910807473,0.5437929522298132,1457.4255494683237,2967.939,25,0.067,"[""S013-FOD-01"", ""S013-MED-01"", ""S013-WAT-01""]",880.5115887445249,1510.513,0.0014112554750340678
Q2-003,5594b05119d680f2,U01,A,BAT-A-01,0.0,330.0,"[""S014""]",1930.4,2.251627801047422,0.4996382664339062,1150.4702536359218,3080.871,14,0.027,"[""S014-WAT-01""]",1420.3988852767495,1930.4,0.0011147232504526983
Q2-004,580101f5b41e0310,U02,A,BAT-A-02,0.0,360.0,"[""S007""]",1727.468,1.9709635056721377,0.562008109850636,1069.389457194173,2796.858,22,0.055,"[""S007-FOD-01"", ""S007-WAT-01""]",1157.4668858917819,1727.468,0.001114108218189358
Q2-005,6cb0366dc18b20a6,U06,B,BAT-B-02,0.0,390.0,"[""S010""]",1555.405,1.823216564231414,0.5441958589421465,1456.7271778336126,3012.133,25,0.067,"[""S010-FOD-01"", ""S010-MED-01"", ""S010-WAT-01""]",925.4035197802173,1555.405,0.0014802197826497832
Q2-006,6cbc25dd9ae838e0,U03,A,BAT-A-03,0.0,360.0,"[""S014""]",1990.4,2.2175912570533356,0.5072019428770365,1140.6374742598525,3131.038,11,0.04,"[""S014-FOD-01"", ""S014-MED-01""]",1420.3988852767495,1990.4,0.0011147232504526983
Q2-007,a626e60fb441d3d9,U04,A,BAT-A-04,0.0,360.0,"[""S007""]",1727.468,1.8275023375986301,0.5938883694225267,1027.9451197507153,2755.414,9,0.047,"[""S007-HYG-01"", ""S007-MED-01""]",1157.4668858917819,1727.468,0.001114108218189358
Q2-008,a8a97ba8e2ee6a7f,U08,C,BAT-C-02,0.0,480.0,"[""S006""]",1561.554,2.5979362904386822,0.6752579636951648,1536.941078660476,3098.496,59,0.156,"[""S006-FOD-01"", ""S006-HYG-01"", ""S006-MED-01"", ""S006-WAT-01"", ""S006-WAT-02"", ""S006-WAT-03""]",685.5526244866224,1561.554,0.001375513377581683
Q2-009,0778dae839811744,U05,B,BAT-B-03,1510.513,1900.513,"[""S012""]",3433.341,2.7525999542899324,0.3118500114275169,1859.4599801923039,5292.801,25,0.067,"[""S012-FOD-01"", ""S012-MED-01"", ""S012-WAT-01""]",1292.8268141491867,1922.828,0.001185850813271827
Q2-010,81023abfb2df237c,U06,B,BAT-B-04,1555.405,1945.405,"[""S005"", ""S004""]",3771.246,2.7917500781027624,0.3020624804743094,1876.4250338445302,5647.672,25,0.067,"[""S004-FOD-01"", ""S004-MED-01"", ""S005-WAT-03""]",1435.839503105971,2215.841,0.0014968940288895283
