sortie,segment,from,to,payload_kg,volume_m3,distance_m,cruise_altitude_m,climb_m,descent_m,start_s,end_s,flight_s,energy_kwh
Q2-001,1,O01,S013,25.0,0.067,4849.536854548781,399.18182373046875,271.48182373046876,47.48182373046876,390.0,822.79,432.78912770559583,1.1203603423631132
Q2-001,2,S013,O01,0.0,0.0,4849.536854548781,399.18182373046875,47.48182373046876,271.48182373046876,1062.79,1510.513,447.72246103892917,0.7044678487176341
Q2-002,1,O01,S007,22.0,0.055,4534.717374921003,511.9731750488281,384.27317504882814,163.47317504882812,360.0,931.374,571.3734429458909,1.1114201286313874
Q2-002,2,S007,O01,0.0,0.0,4534.717374921003,511.9731750488281,163.47317504882812,384.27317504882814,1141.374,1727.468,586.093442945891,0.8595433770407502
Q2-003,1,O01,S014,25.0,0.067,5419.5362999417475,591.9473876953125,464.2473876953125,240.9473876953125,390.0,1002.431,612.4305043060124,1.3068170177283882
Q2-003,2,S014,O01,0.0,0.0,5419.5362999417475,591.9473876953125,240.9473876953125,464.2473876953125,1242.431,1869.749,627.317170972679,0.8334739604133998
Q2-004,1,O01,S007,9.0,0.047,4534.717374921003,511.9731750488281,384.27317504882814,163.47317504882812,360.0,931.374,571.3734429458909,0.9679589605578799
Q2-004,2,S007,O01,0.0,0.0,4534.717374921003,511.9731750488281,163.47317504882812,384.27317504882814,1141.374,1727.468,586.093442945891,0.8595433770407502
Q2-005,1,O01,S006,59.0,0.156,3186.19885235084,366.09783935546875,238.39783935546876,51.29783935546874,480.0,813.422,333.42131224331126,1.6040010968407112
Q2-005,2,S006,O01,0.0,0.0,3186.19885235084,366.09783935546875,51.29783935546874,238.39783935546876,1209.422,1561.554,352.1313122433112,0.9939351935979709
Q2-006,1,O01,S001,78.0,0.163,3054.0236075149764,273.0566101074219,145.3566101074219,89.05661010742188,480.001,786.274,306.27252293101145,2.0325241671250467
Q2-006,2,S001,O01,0.0,0.0,3054.0236075149764,273.0566101074219,89.05661010742188,145.3566101074219,1182.274,1494.177,311.90252293101145,0.9632516377796227
Q2-007,1,O01,S002,53.0,0.157,7411.533814153884,308.9542541503906,181.25425415039064,89.45425415039062,1974.177,2585.509,611.3310830122772,3.2978320478538623
Q2-007,2,S002,O01,0.0,0.0,7411.533814153884,308.9542541503906,89.45425415039062,181.25425415039064,2981.509,3602.021,620.5110830122771,2.3041291706893916
Q2-008,1,O01,S010,25.0,0.067,4784.6745062617865,435.63653564453125,307.93653564453126,84.03653564453123,1900.513,2355.752,455.2384265567753,1.119025123192104
Q2-008,2,S010,O01,0.0,0.0,4784.6745062617865,435.63653564453125,84.03653564453123,307.93653564453126,2595.752,3065.918,470.165093223442,0.7041914410393101
Q2-009,1,O01,S001,76.0,0.231,3054.0236075149764,273.0566101074219,145.3566101074219,89.05661010742188,2131.554,2437.827,306.27252293101145,1.954336457807204
Q2-009,2,S001,O01,0.0,0.0,3054.0236075149764,273.0566101074219,89.05661010742188,145.3566101074219,2941.827,3253.73,311.90252293101145,0.9632516377796227
Q2-010,1,O01,S012,25.0,0.067,7391.140162515387,413.3009948730469,285.6009948730469,133.50099487304686,2259.749,2901.093,641.3434070745934,1.6638918316039737
Q2-010,2,S012,O01,0.0,0.0,7391.140162515387,413.3009948730469,133.50099487304686,285.6009948730469,3141.093,3792.577,651.4834070745934,1.0887081226859587
Q2-011,1,O01,S002,28.0,0.054,7411.533814153884,308.9542541503906,181.25425415039064,89.45425415039062,3425.918,4016.221,590.3020406538787,1.7894178823075964
Q2-011,2,S002,O01,0.0,0.0,7411.533814153884,308.9542541503906,89.45425415039062,181.25425415039064,4226.221,4822.644,596.4220406538788,1.0807893976936154
Q2-012,1,O01,S004,48.0,0.116,7714.681646286507,398.2391662597656,270.53916625976564,169.9391662597656,3678.352,4385.85,707.4973593862229,3.2867495678994447
Q2-012,2,S004,O01,0.0,0.0,7714.681646286507,398.2391662597656,169.9391662597656,270.53916625976564,4709.85,5427.408,717.5573593862229,2.4186906067831635
Q2-013,1,O01,S015,53.0,0.121,6009.764892220415,571.7992553710938,444.09925537109376,97.29925537109375,4052.021,4678.962,626.9403226486787,2.8122605184379337
Q2-013,2,S015,S003,28.0,0.054,2616.9607414636503,487.89886474609375,13.39886474609375,149.39886474609375,4966.962,5221.486,254.5230277023944,0.9112256844226094
Q2-013,3,S003,S007,14.0,0.027,2734.6883251703875,410.6993408203125,72.1993408203125,62.1993408203125,5437.486,5679.778,242.29196174964042,0.8988912515117186
Q2-013,4,S007,O01,0.0,0.0,4534.717374921003,511.9731750488281,163.47317504882812,384.27317504882814,5895.778,6455.619,559.8403492053455,1.438530054448881
Q2-014,1,O01,S008,20.0,0.062,8079.110448788476,372.9093322753906,245.20933227539064,102.00933227539065,4152.577,4813.725,661.1475402545182,1.5841861352040045
Q2-014,2,S008,O01,0.0,0.0,8079.110448788476,372.9093322753906,102.00933227539065,245.20933227539064,5023.725,5694.42,670.6942069211849,1.1792450700293666
Q2-015,1,O01,S005,25.0,0.067,5280.5933691157215,326.410888671875,198.710888671875,131.410888671875,5212.644,5683.485,470.84087630042313,1.1869488876888767
Q2-015,2,S005,S004,11.0,0.04,2608.294551451009,365.80657958984375,170.80657958984375,137.50657958984374,5863.485,6149.31,285.82446179595263,0.46091187367230546
Q2-015,3,S004,O01,0.0,0.0,7714.681646286507,398.2391662597656,169.9391662597656,270.53916625976564,6359.31,7038.485,679.1741650095953,1.1438893167415802
Q2-016,1,O01,S003,67.0,0.184,7263.826967765937,561.8041381835938,434.10413818359376,223.30413818359375,5937.408,6706.957,769.5488555496302,4.030420307127749
Q2-016,2,S003,O01,0.0,0.0,7263.826967765937,561.8041381835938,223.30413818359375,434.10413818359376,7138.957,7929.586,790.6288555496302,2.294079083746617
Q2-017,1,O01,S008,25.0,0.067,8079.110448788476,372.9093322753906,245.20933227539064,102.00933227539065,6084.42,6745.568,661.1475402545182,1.7959618045128665
Q2-017,2,S008,O01,0.0,0.0,8079.110448788476,372.9093322753906,102.00933227539065,245.20933227539064,6985.568,7656.263,670.6942069211849,1.1792450700293666
Q2-018,1,O01,S011,70.0,0.196,2808.106412371872,295.36175537109375,167.66175537109376,83.26175537109376,6995.619,7291.522,295.90267399210916,1.6336568219585645
Q2-018,2,S011,S005,45.0,0.129,2802.7636017267305,347.5489196777344,135.44891967773438,152.54891967773438,7579.522,7896.827,317.304934491743,1.1747566013676287
Q2-018,3,S005,O01,0.0,0.0,5280.5933691157215,326.410888671875,131.410888671875,198.710888671875,8256.827,8760.787,503.9593577457356,1.659551112250462
Q2-019,1,O01,S009,25.0,0.067,5705.303446619009,293.2289123535156,165.52891235351564,63.228912353515625,7428.485,7889.307,460.8214321671787,1.2656726124570024
Q2-019,2,S009,O01,0.0,0.0,5705.303446619009,293.2289123535156,63.228912353515625,165.52891235351564,8129.307,8596.949,467.6414321671788,0.8305927892803324
