sortie,candidate,unit,drone,battery,start_s,takeoff_s,visits,return_s,energy_kwh,soc,charge_s,charge_end_s,mass_kg,volume_m3,boxes,flight_s,operation_s,rounding_s
Q2-001,548823cd4a31b0c8,U05,B,BAT-B-01,0.0,390.0,"[""S013""]",1510.513,1.8248281910807473,0.5437929522298132,1457.4255494683237,2967.939,25,0.067,"[""S013-FOD-01"", ""S013-MED-01"", ""S013-WAT-01""]",880.5115887445249,1510.513,0.0014112554750340678
Q2-002,580101f5b41e0310,U01,A,BAT-A-01,0.0,360.0,"[""S007""]",1727.468,1.9709635056721377,0.562008109850636,1069.389457194173,2796.858,22,0.055,"[""S007-FOD-01"", ""S007-WAT-01""]",1157.4668858917819,1727.468,0.001114108218189358
Q2-003,58637b13c93945c6,U06,B,BAT-B-02,0.0,390.0,"[""S014""]",1869.749,2.1402909781417883,0.46492725546455294,1594.126090528108,3463.876,25,0.067,"[""S014-FOD-01"", ""S014-MED-01"", ""S014-WAT-01""]",1239.7476752786915,1869.749,0.0013247213086060583
Q2-004,a626e60fb441d3d9,U02,A,BAT-A-02,0.0,360.0,"[""S007""]",1727.468,1.8275023375986301,0.5938883694225267,1027.9451197507153,2755.414,9,0.047,"[""S007-HYG-01"", ""S007-MED-01""]",1157.4668858917819,1727.468,0.001114108218189358
Q2-005,a8a97ba8e2ee6a7f,U07,C,BAT-C-01,0.0,480.0,"[""S006""]",1561.554,2.5979362904386822,0.6752579636951648,1536.941078660476,3098.496,59,0.156,"[""S006-FOD-01"", ""S006-HYG-01"", ""S006-MED-01"", ""S006-WAT-01"", ""S006-WAT-02"", ""S006-WAT-03""]",685.5526244866224,1561.554,0.001375513377581683
Q2-006,8c31f9e8595743b2,U08,C,BAT-C-02,0.001,480.001,"[""S001""]",1494.177,2.995775804904669,0.6255280243869163,1644.6892804950144,3138.867,78,0.163,"[""S001-FOD-03"", ""S001-WAT-01"", ""S001-WAT-02"", ""S001-WAT-03"", ""S001-WAT-07"", ""S001-WAT-08""]",618.1750458620229,1494.176,0.0009541379771462744
Q2-007,de5042f189f5125d,U08,C,BAT-C-03,1494.177,1974.177,"[""S002""]",3602.021,5.601961218543254,0.29975484768209326,2350.5311633554643,5952.553,53,0.157,"[""S002-FOD-01"", ""S002-FOD-02"", ""S002-HYG-01"", ""S002-MED-01"", ""S002-WAT-01"", ""S002-WAT-02""]",1231.8421660245544,2107.844,0.0018339754456064838
Q2-008,6cb0366dc18b20a6,U05,B,BAT-B-03,1510.513,1900.513,"[""S010""]",3065.918,1.823216564231414,0.5441958589421465,1456.7271778336126,4522.646,25,0.067,"[""S010-FOD-01"", ""S010-MED-01"", ""S010-WAT-01""]",925.4035197802173,1555.405,0.0014802197826497832
Q2-009,d7f51c575af6ec49,U07,C,BAT-C-04,1561.554,2131.554,"[""S001""]",3253.73,2.9175880955868267,0.6353014880516467,1623.5134425547653,4877.244,76,0.231,"[""S001-FOD-01"", ""S001-FOD-02"", ""S001-HYG-01"", ""S001-HYG-02"", ""S001-MED-01"", ""S001-MED-02"", ""S001-WAT-04"", ""S001-WAT-05"", ""S001-WAT-06""]",618.1750458620229,1692.176,0.0009541379771462744
Q2-010,0778dae839811744,U06,B,BAT-B-04,1869.749,2259.749,"[""S012""]",3792.577,2.7525999542899324,0.3118500114275169,1859.4599801923039,5652.037,25,0.067,"[""S012-FOD-01"", ""S012-MED-01"", ""S012-WAT-01""]",1292.8268141491867,1922.828,0.001185850813271827
