sortie,segment,from,to,payload_kg,volume_m3,distance_m,cruise_altitude_m,climb_m,descent_m,start_s,end_s,flight_s,energy_kwh
Q2-001,1,O01,S012,25.0,0.067,7391.140162515387,413.3009948730469,285.6009948730469,133.50099487304686,390.0,1031.344,641.3434070745934,1.6638918316039737
Q2-001,2,S012,O01,0.0,0.0,7391.140162515387,413.3009948730469,133.50099487304686,285.6009948730469,1271.344,1922.828,651.4834070745934,1.0887081226859587
Q2-002,1,O01,S002,67.0,0.184,7411.533814153884,308.9542541503906,181.25425415039064,89.45425415039062,510.0,1121.332,611.3310830122772,3.976841085724875
Q2-002,2,S002,O01,0.0,0.0,7411.533814153884,308.9542541503906,89.45425415039062,181.25425415039064,1553.332,2173.844,620.5110830122771,2.3041291706893916
Q2-003,1,O01,S014,14.0,0.027,5419.5362999417475,591.9473876953125,464.2473876953125,240.9473876953125,330.0,1032.757,702.7561093050415,1.2122987404498995
Q2-003,2,S014,O01,0.0,0.0,5419.5362999417475,591.9473876953125,240.9473876953125,464.2473876953125,1212.757,1930.4,717.642775971708,1.0393290605975225
Q2-004,1,O01,S007,22.0,0.055,4534.717374921003,511.9731750488281,384.27317504882814,163.47317504882812,360.0,931.374,571.3734429458909,1.1114201286313874
Q2-004,2,S007,O01,0.0,0.0,4534.717374921003,511.9731750488281,163.47317504882812,384.27317504882814,1141.374,1727.468,586.093442945891,0.8595433770407502
Q2-005,1,O01,S010,25.0,0.067,4784.6745062617865,435.63653564453125,307.93653564453126,84.03653564453123,390.0,845.239,455.2384265567753,1.119025123192104
Q2-005,2,S010,O01,0.0,0.0,4784.6745062617865,435.63653564453125,84.03653564453123,307.93653564453126,1085.239,1555.405,470.165093223442,0.7041914410393101
Q2-006,1,O01,S014,11.0,0.04,5419.5362999417475,591.9473876953125,464.2473876953125,240.9473876953125,360.0,1062.757,702.7561093050415,1.1782621964558133
Q2-006,2,S014,O01,0.0,0.0,5419.5362999417475,591.9473876953125,240.9473876953125,464.2473876953125,1272.757,1990.4,717.642775971708,1.0393290605975225
Q2-007,1,O01,S007,9.0,0.047,4534.717374921003,511.9731750488281,384.27317504882814,163.47317504882812,360.0,931.374,571.3734429458909,0.9679589605578799
Q2-007,2,S007,O01,0.0,0.0,4534.717374921003,511.9731750488281,163.47317504882812,384.27317504882814,1141.374,1727.468,586.093442945891,0.8595433770407502
Q2-008,1,O01,S006,59.0,0.156,3186.19885235084,366.09783935546875,238.39783935546876,51.29783935546874,480.0,813.422,333.42131224331126,1.6040010968407112
Q2-008,2,S006,O01,0.0,0.0,3186.19885235084,366.09783935546875,51.29783935546874,238.39783935546876,1209.422,1561.554,352.1313122433112,0.9939351935979709
Q2-009,1,O01,S013,25.0,0.067,4849.536854548781,399.18182373046875,271.48182373046876,47.48182373046876,1945.405,2378.195,432.78912770559583,1.1203603423631132
Q2-009,2,S013,O01,0.0,0.0,4849.536854548781,399.18182373046875,47.48182373046876,271.48182373046876,2618.195,3065.918,447.72246103892917,0.7044678487176341
Q2-010,1,O01,S001,76.0,0.231,3054.0236075149764,273.0566101074219,145.3566101074219,89.05661010742188,2131.554,2437.827,306.27252293101145,1.954336457807204
Q2-010,2,S001,O01,0.0,0.0,3054.0236075149764,273.0566101074219,89.05661010742188,145.3566101074219,2941.827,3253.73,311.90252293101145,0.9632516377796227
Q2-011,1,O01,S007,14.0,0.027,4534.717374921003,511.9731750488281,384.27317504882814,163.47317504882812,2057.468,2628.842,571.3734429458909,1.013045038006399
Q2-011,2,S007,O01,0.0,0.0,4534.717374921003,511.9731750488281,163.47317504882812,384.27317504882814,2808.842,3394.936,586.093442945891,0.8595433770407502
Q2-012,1,O01,S002,14.0,0.027,7411.533814153884,308.9542541503906,181.25425415039064,89.45425415039062,2057.468,2771.296,713.8276042231101,1.5137219473142371
Q2-012,2,S002,O01,0.0,0.0,7411.533814153884,308.9542541503906,89.45425415039062,181.25425415039064,2951.296,3671.244,719.9476042231101,1.3577671588094566
Q2-013,1,O01,S005,25.0,0.067,5280.5933691157215,326.410888671875,198.710888671875,131.410888671875,2312.828,2783.669,470.84087630042313,1.1869488876888767
Q2-013,2,S005,S004,11.0,0.04,2608.294551451009,365.80657958984375,170.80657958984375,137.50657958984374,2963.669,3249.494,285.82446179595263,0.46091187367230546
Q2-013,3,S004,O01,0.0,0.0,7714.681646286507,398.2391662597656,169.9391662597656,270.53916625976564,3459.494,4138.669,679.1741650095953,1.1438893167415802
Q2-014,1,O01,S001,64.0,0.136,3054.0236075149764,273.0566101074219,145.3566101074219,89.05661010742188,2623.844,2930.117,306.27252293101145,1.6023297277546398
Q2-014,2,S001,O01,0.0,0.0,3054.0236075149764,273.0566101074219,89.05661010742188,145.3566101074219,3290.117,3602.02,311.90252293101145,0.9632516377796227
Q2-015,1,O01,S001,14.0,0.027,3054.0236075149764,273.0566101074219,145.3566101074219,89.05661010742188,3085.414,3423.991,338.5768147050241,0.6462087421466693
