sortie,from,to,phase,start_s,end_s,box
Q2-001,O01,S002,爬升,360.0,420.4180847167969,
Q2-001,O01,S002,巡航,420.4180847167969,914.5203389937226,
Q2-001,O01,S002,下降,914.5203389937226,950.3020406538789,
Q2-001,O01,S002,毫秒保守裕量,950.3020406538789,950.303,
Q2-001,S002,S002,基础交接,950.303,1100.3029999999999,
Q2-001,S002,S002,逐箱交接,1100.303,1130.303,S002-WAT-03
Q2-001,S002,S002,逐箱交接,1130.303,1160.303,S002-WAT-04
Q2-001,S002,O01,爬升,1160.303,1190.121084716797,
Q2-001,S002,O01,巡航,1190.121084716797,1684.2233389937226,
Q2-001,S002,O01,下降,1684.2233389937226,1756.7250406538788,
Q2-001,S002,O01,毫秒保守裕量,1756.7250406538788,1756.726,
Q2-002,O01,S007,爬升,360.0,488.0910583496094,
Q2-002,O01,S007,巡航,488.0910583496094,865.9841729263596,
Q2-002,O01,S007,下降,865.9841729263596,931.3734429458909,
Q2-002,O01,S007,毫秒保守裕量,931.3734429458909,931.374,
Q2-002,S007,S007,基础交接,931.374,1081.374,
Q2-002,S007,S007,逐箱交接,1081.374,1111.374,S007-FOD-01
Q2-002,S007,S007,逐箱交接,1111.374,1141.374,S007-WAT-01
Q2-002,S007,O01,爬升,1141.374,1195.8650583496094,
Q2-002,S007,O01,巡航,1195.8650583496094,1573.7581729263597,
Q2-002,S007,O01,下降,1573.7581729263597,1727.467442945891,
Q2-002,S007,O01,毫秒保守裕量,1727.467442945891,1727.468,
Q2-003,O01,S007,爬升,360.0,488.0910583496094,
Q2-003,O01,S007,巡航,488.0910583496094,865.9841729263596,
Q2-003,O01,S007,下降,865.9841729263596,931.3734429458909,
Q2-003,O01,S007,毫秒保守裕量,931.3734429458909,931.374,
Q2-003,S007,S007,基础交接,931.374,1081.374,
Q2-003,S007,S007,逐箱交接,1081.374,1111.374,S007-HYG-01
Q2-003,S007,S007,逐箱交接,1111.374,1141.374,S007-MED-01
Q2-003,S007,O01,爬升,1141.374,1195.8650583496094,
Q2-003,S007,O01,巡航,1195.8650583496094,1573.7581729263597,
Q2-003,S007,O01,下降,1573.7581729263597,1727.467442945891,
Q2-003,S007,O01,毫秒保守裕量,1727.467442945891,1727.468,
Q2-004,O01,S002,爬升,480.0,552.5017016601563,
Q2-004,O01,S002,巡航,552.5017016601563,1046.603955937082,
Q2-004,O01,S002,下降,1046.603955937082,1091.3310830122773,
Q2-004,O01,S002,毫秒保守裕量,1091.3310830122773,1091.332,
Q2-004,S002,S002,基础交接,1091.332,1271.332,
Q2-004,S002,S002,逐箱交接,1271.332,1307.332,S002-WAT-02
Q2-004,S002,S002,逐箱交接,1307.332,1343.332,S002-WAT-01
Q2-004,S002,S002,逐箱交接,1343.332,1379.332,S002-MED-01
Q2-004,S002,S002,逐箱交接,1379.332,1415.332,S002-HYG-01
Q2-004,S002,S002,逐箱交接,1415.332,1451.332,S002-FOD-02
Q2-004,S002,S002,逐箱交接,1451.332,1487.332,S002-FOD-01
Q2-004,S002,O01,爬升,1487.332,1523.1137016601563,
Q2-004,S002,O01,巡航,1523.1137016601563,2017.2159559370818,
Q2-004,S002,O01,下降,2017.2159559370818,2107.843083012277,
Q2-004,S002,O01,毫秒保守裕量,2107.843083012277,2107.844,
Q2-005,O01,S006,爬升,390.001,469.4669464518229,
Q2-005,O01,S006,巡航,469.4669464518229,681.8802032752122,
Q2-005,O01,S006,下降,681.8802032752122,702.3993390173997,
Q2-005,O01,S006,毫秒保守裕量,702.3993390173997,702.4,
Q2-005,S006,S006,基础交接,702.4,852.4,
Q2-005,S006,S006,逐箱交接,852.4,882.4,S006-WAT-02
Q2-005,S006,S006,逐箱交接,882.4,912.4,S006-MED-01
Q2-005,S006,S006,逐箱交接,912.4,942.4,S006-FOD-01
Q2-005,S006,O01,爬升,942.4,959.4992797851562,
Q2-005,S006,O01,巡航,959.4992797851562,1171.9125366085455,
Q2-005,S006,O01,下降,1171.9125366085455,1267.2716723507328,
Q2-005,S006,O01,毫秒保守裕量,1267.2716723507328,1267.272,
Q2-006,O01,S001,爬升,480.14,538.2826440429687,
Q2-006,O01,S001,巡航,538.2826440429687,741.8842178773004,
Q2-006,O01,S001,下降,741.8842178773004,786.4125229310114,
Q2-006,O01,S001,毫秒保守裕量,786.4125229310114,786.413,
Q2-006,S001,S001,基础交接,786.413,966.413,
Q2-006,S001,S001,逐箱交接,966.413,1002.413,S001-WAT-08
Q2-006,S001,S001,逐箱交接,1002.413,1038.413,S001-WAT-07
Q2-006,S001,S001,逐箱交接,1038.413,1074.413,S001-WAT-03
Q2-006,S001,S001,逐箱交接,1074.413,1110.413,S001-WAT-02
Q2-006,S001,S001,逐箱交接,1110.413,1146.413,S001-WAT-01
Q2-006,S001,S001,逐箱交接,1146.413,1182.413,S001-MED-02
Q2-006,S001,O01,爬升,1182.413,1218.0356440429687,
Q2-006,S001,O01,巡航,1218.0356440429687,1421.6372178773004,
Q2-006,S001,O01,下降,1421.6372178773004,1494.3155229310114,
Q2-006,S001,O01,毫秒保守裕量,1494.3155229310114,1494.316,
Q2-007,O01,S006,爬升,1627.272,1706.7379464518228,
Q2-007,O01,S006,巡航,1706.7379464518228,1919.151203275212,
Q2-007,O01,S006,下降,1919.151203275212,1939.6703390173996,
Q2-007,O01,S006,毫秒保守裕量,1939.6703390173996,1939.671,
Q2-007,S006,S006,基础交接,1939.671,2089.6710000000003,
Q2-007,S006,S006,逐箱交接,2089.671,2119.671,S006-WAT-01
Q2-007,S006,S006,逐箱交接,2119.671,2149.671,S006-WAT-03
Q2-007,S006,O01,爬升,2149.671,2166.770279785156,
Q2-007,S006,O01,巡航,2166.770279785156,2379.1835366085456,
Q2-007,S006,O01,下降,2379.1835366085456,2474.542672350733,
Q2-007,S006,O01,毫秒保守裕量,2474.542672350733,2474.543,
Q2-008,O01,S014,爬升,2004.316,2190.0149550781252,
Q2-008,O01,S014,巡航,2190.0149550781252,2551.3173750742417,
Q2-008,O01,S014,下降,2551.3173750742417,2671.791068921898,
Q2-008,O01,S014,毫秒保守裕量,2671.791068921898,2671.792,
Q2-008,S014,S014,基础交接,2671.792,2851.792,
Q2-008,S014,S014,逐箱交接,2851.792,2887.792,S014-WAT-01
Q2-008,S014,S014,逐箱交接,2887.792,2923.792,S014-MED-01
Q2-008,S014,S014,逐箱交接,2923.792,2959.792,S014-FOD-01
Q2-008,S014,S013,爬升,2959.792,3032.6961259765626,
Q2-008,S014,S013,巡航,3032.6961259765626,3241.191653826952,
Q2-008,S014,S013,下降,3241.191653826952,3331.971811297655,
Q2-008,S014,S013,毫秒保守裕量,3331.971811297655,3331.972,
Q2-008,S013,S013,基础交接,3331.972,3511.972,
Q2-008,S013,S013,逐箱交接,3511.972,3547.972,S013-WAT-01
Q2-008,S013,S013,逐箱交接,3547.972,3583.972,S013-MED-01
Q2-008,S013,S013,逐箱交接,3583.972,3619.972,S013-FOD-01
Q2-008,S013,S001,爬升,3619.972,3630.636323730469,
Q2-008,S013,S001,巡航,3630.636323730469,3823.925020376097,
Q2-008,S013,S001,下降,3823.925020376097,3921.105425039183,
Q2-008,S013,S001,毫秒保守裕量,3921.105425039183,3921.106,
Q2-008,S001,S001,基础交接,3921.106,4101.106,
Q2-008,S001,S001,逐箱交接,4101.106,4137.106,S001-FOD-03
Q2-008,S001,O01,爬升,4137.106,4172.728644042969,
Q2-008,S001,O01,巡航,4172.728644042969,4376.330217877301,
Q2-008,S001,O01,下降,4376.330217877301,4449.008522931012,
Q2-008,S001,O01,毫秒保守裕量,4449.008522931012,4449.009,
Q2-009,O01,S012,爬升,2146.726,2241.926331624349,
Q2-009,O01,S012,巡航,2241.926331624349,2734.669009125375,
Q2-009,O01,S012,下降,2734.669009125375,2788.0694070745935,
Q2-009,O01,S012,毫秒保守裕量,2788.0694070745935,2788.07,
Q2-009,S012,S012,基础交接,2788.07,2938.07,
Q2-009,S012,S012,逐箱交接,2938.07,2968.07,S012-WAT-01
Q2-009,S012,S012,逐箱交接,2968.07,2998.07,S012-MED-01
Q2-009,S012,S012,逐箱交接,2998.07,3028.07,S012-FOD-01
Q2-009,S012,O01,爬升,3028.07,3072.570331624349,
Q2-009,S012,O01,巡航,3072.570331624349,3565.3130091253747,
Q2-009,S012,O01,下降,3565.3130091253747,3679.5534070745935,
Q2-009,S012,O01,毫秒保守裕量,3679.5534070745935,3679.554,
Q2-010,O01,S001,爬升,2647.844,2705.9866440429687,
Q2-010,O01,S001,巡航,2705.9866440429687,2909.5882178773004,
Q2-010,O01,S001,下降,2909.5882178773004,2954.1165229310113,
Q2-010,O01,S001,毫秒保守裕量,2954.1165229310113,2954.117,
Q2-010,S001,S001,基础交接,2954.117,3134.117,
Q2-010,S001,S001,逐箱交接,3134.117,3170.117,S001-WAT-06
Q2-010,S001,S001,逐箱交接,3170.117,3206.117,S001-WAT-05
Q2-010,S001,S001,逐箱交接,3206.117,3242.117,S001-WAT-04
Q2-010,S001,S001,逐箱交接,3242.117,3278.117,S001-MED-01
Q2-010,S001,S001,逐箱交接,3278.117,3314.117,S001-HYG-02
Q2-010,S001,S001,逐箱交接,3314.117,3350.117,S001-HYG-01
Q2-010,S001,S001,逐箱交接,3350.117,3386.117,S001-FOD-02
Q2-010,S001,S001,逐箱交接,3386.117,3422.117,S001-FOD-01
Q2-010,S001,O01,爬升,3422.117,3457.739644042969,
Q2-010,S001,O01,巡航,3457.739644042969,3661.3412178773006,
Q2-010,S001,O01,下降,3661.3412178773006,3734.0195229310116,
Q2-010,S001,O01,毫秒保守裕量,3734.0195229310116,3734.02,
Q2-011,O01,S010,爬升,2864.547,2967.1925118815107,
Q2-011,O01,S010,巡航,2967.1925118815107,3286.170812298963,
Q2-011,O01,S010,下降,3286.170812298963,3319.7854265567757,
Q2-011,O01,S010,毫秒保守裕量,3319.7854265567757,3319.786,
Q2-011,S010,S010,基础交接,3319.786,3469.786,
Q2-011,S010,S010,逐箱交接,3469.786,3499.786,S010-MED-01
Q2-011,S010,S010,逐箱交接,3499.786,3529.786,S010-FOD-01
Q2-011,S010,S010,逐箱交接,3529.786,3559.786,S010-WAT-01
Q2-011,S010,O01,爬升,3559.786,3587.798178548177,
Q2-011,S010,O01,巡航,3587.798178548177,3906.7764789656294,
Q2-011,S010,O01,下降,3906.7764789656294,4029.951093223442,
Q2-011,S010,O01,毫秒保守裕量,4029.951093223442,4029.952,
Q2-012,O01,S005,爬升,4069.554,4135.790962890625,
Q2-012,O01,S005,巡航,4135.790962890625,4487.830520831673,
Q2-012,O01,S005,下降,4487.830520831673,4540.394876300424,
Q2-012,O01,S005,毫秒保守裕量,4540.394876300424,4540.395,
Q2-012,S005,S005,基础交接,4540.395,4690.395,
Q2-012,S005,S005,逐箱交接,4690.395,4720.395,S005-WAT-03
Q2-012,S005,S004,爬升,4720.395,4777.330526529949,
Q2-012,S005,S004,巡航,4777.330526529949,4951.216829960016,
Q2-012,S005,S004,下降,4951.216829960016,5006.219461795954,
Q2-012,S005,S004,毫秒保守裕量,5006.219461795954,5006.22,
Q2-012,S004,S004,基础交接,5006.22,5156.22,
Q2-012,S004,S004,逐箱交接,5156.22,5186.22,S004-MED-01
Q2-012,S004,S004,逐箱交接,5186.22,5216.22,S004-FOD-01
Q2-012,S004,O01,爬升,5216.22,5272.866388753256,
Q2-012,S004,O01,巡航,5272.866388753256,5787.178498505689,
Q2-012,S004,O01,下降,5787.178498505689,5895.394165009596,
Q2-012,S004,O01,毫秒保守裕量,5895.394165009596,5895.395,
Q2-013,O01,S004,爬升,4154.02,4262.235666503907,
Q2-013,O01,S004,巡航,4262.235666503907,4776.5477762563405,
Q2-013,O01,S004,下降,4776.5477762563405,4861.517359386224,
Q2-013,O01,S004,毫秒保守裕量,4861.517359386224,4861.518,
Q2-013,S004,S004,基础交接,4861.518,5041.518,
Q2-013,S004,S004,逐箱交接,5041.518,5077.518,S004-WAT-03
Q2-013,S004,S004,逐箱交接,5077.518,5113.518,S004-WAT-02
Q2-013,S004,S004,逐箱交接,5113.518,5149.518,S004-WAT-01
Q2-013,S004,S004,逐箱交接,5149.518,5185.518,S004-HYG-01
Q2-013,S004,O01,爬升,5185.518,5253.493666503906,
Q2-013,S004,O01,巡航,5253.493666503906,5767.805776256339,
Q2-013,S004,O01,下降,5767.805776256339,5903.075359386222,
Q2-013,S004,O01,毫秒保守裕量,5903.075359386222,5903.076,
Q2-014,O01,S008,爬升,4419.952,4501.6884440917975,
Q2-014,O01,S008,巡航,4501.6884440917975,5040.295807344362,
Q2-014,O01,S008,下降,5040.295807344362,5081.099540254519,
Q2-014,O01,S008,毫秒保守裕量,5081.099540254519,5081.1,
Q2-014,S008,S008,基础交接,5081.1,5231.1,
Q2-014,S008,S008,逐箱交接,5231.1,5261.1,S008-WAT-01
Q2-014,S008,S008,逐箱交接,5261.1,5291.1,S008-MED-01
Q2-014,S008,S008,逐箱交接,5291.1,5321.1,S008-FOD-01
Q2-014,S008,O01,爬升,5321.1,5355.103110758464,
Q2-014,S008,O01,巡航,5355.103110758464,5893.710474011029,
Q2-014,S008,O01,下降,5893.710474011029,5991.794206921185,
Q2-014,S008,O01,毫秒保守裕量,5991.794206921185,5991.795,
Q2-015,O01,S003,爬升,4968.376,5142.017655273437,
Q2-015,O01,S003,巡航,5142.017655273437,5626.272786457833,
Q2-015,O01,S003,下降,5626.272786457833,5737.92485554963,
Q2-015,O01,S003,毫秒保守裕量,5737.92485554963,5737.925,
Q2-015,S003,S003,基础交接,5737.925,5917.925,
