sortie,candidate,unit,drone,battery,start_s,takeoff_s,visits,return_s,energy_kwh,soc,charge_s,charge_end_s,mass_kg,volume_m3,boxes,flight_s,operation_s,rounding_s
Q2-001,0778dae839811744,U05,B,BAT-B-01,0.0,390.0,"[""S012""]",1922.828,2.7525999542899324,0.3118500114275169,1859.4599801923039,3782.288,25,0.067,"[""S012-FOD-01"", ""S012-MED-01"", ""S012-WAT-01""]",1292.8268141491867,1922.828,0.001185850813271827
Q2-002,4cd617b86d19dd77,U07,C,BAT-C-01,0.0,540.0,"[""S001""]",1626.176,2.8127111414518087,0.6484111073185239,1595.1092674765314,3221.286,73,0.219,"[""S001-FOD-01"", ""S001-FOD-02"", ""S001-HYG-01"", ""S001-HYG-02"", ""S001-MED-01"", ""S001-WAT-04"", ""S001-WAT-05"", ""S001-WAT-06""]",618.1750458620229,1626.176,0.0009541379771462744
Q2-003,4edf324079386051,U01,A,BAT-A-01,0.0,330.0,"[""S006""]",1253.477,1.2888475197755174,0.713589440049885,872.3337279351493,2125.811,14,0.027,"[""S006-WAT-03""]",743.4766397798275,1253.477,0.00036022017258119376
Q2-004,5594b05119d680f2,U02,A,BAT-A-02,0.0,330.0,"[""S014""]",1930.4,2.251627801047422,0.4996382664339062,1150.4702536359218,3080.871,14,0.027,"[""S014-WAT-01""]",1420.3988852767495,1930.4,0.0011147232504526983
Q2-005,a626e60fb441d3d9,U03,A,BAT-A-03,0.0,360.0,"[""S007""]",1727.468,1.8275023375986301,0.5938883694225267,1027.9451197507153,2755.414,9,0.047,"[""S007-HYG-01"", ""S007-MED-01""]",1157.4668858917819,1727.468,0.001114108218189358
Q2-006,cb69733493a61fd9,U06,B,BAT-B-02,0.0,360.0,"[""S006""]",1207.271,1.1381173257060366,0.7154706685734908,1159.8508411392825,2367.122,20,0.062,"[""S006-HYG-01"", ""S006-WAT-01""]",637.2700113681328,1207.271,0.0009886318671874506
Q2-007,f90a4bb297178e75,U04,A,BAT-A-04,0.0,330.0,"[""S001""]",1190.908,1.1865798323864554,0.7363155928030098,842.7897293560872,2033.698,8,0.028,"[""S001-FOD-03""]",680.9069627433815,1190.908,0.0010372566184742027
Q2-008,6f9f8d5b4455699f,U08,C,BAT-C-02,78.002,528.002,"[""S002""]",2119.846,6.105796952880379,0.23677538088995265,2486.986674738436,4606.833,64,0.136,"[""S002-FOD-02"", ""S002-WAT-01"", ""S002-WAT-02"", ""S002-WAT-03"", ""S002-WAT-04""]",1231.8421660245544,2041.844,0.0018339754456064838
Q2-009,571ff46bcaf6b410,U04,A,BAT-A-05,1190.914,1520.914,"[""S007""]",2858.382,1.872588415047149,0.5838692411006335,1040.9699865691762,3899.352,14,0.027,"[""S007-WAT-02""]",1157.4668858917819,1667.468,0.001114108218189358
Q2-010,608d4f4a0f4e236d,U06,B,BAT-B-03,1207.272,1597.272,"[""S006""]",2474.543,1.224316782124016,0.693920804468996,1197.203938920407,3671.747,25,0.067,"[""S006-FOD-01"", ""S006-MED-01"", ""S006-WAT-02""]",637.2700113681328,1267.271,0.0009886318671874506
Q2-011,cc3626246b36231f,U01,A,BAT-A-06,1253.477,1583.477,"[""S010""]",2848.371,1.9213904848411352,0.57302433670197,1055.068362287439,3903.44,14,0.027,"[""S010-WAT-01""]",1084.8926699889435,1594.894,0.0013300110565523937
Q2-012,25ac248e7e597829,U07,C,BAT-C-03,1626.176,2076.176,"[""S002"", ""S004"", ""S005""]",4474.034,6.3893671713938325,0.20132910357577094,2563.7869422524964,7037.821,45,0.129,"[""S002-FOD-01"", ""S002-HYG-01"", ""S002-MED-01"", ""S004-WAT-03"", ""S005-WAT-03""]",1677.8553414332023,2847.858,0.0026585667976632976
Q2-013,dd6a0c963703b8cd,U05,B,BAT-B-04,1922.828,2312.828,"[""S013"", ""S010""]",3809.475,2.0860323287879208,0.4784919178030198,1570.6140091414322,5380.09,25,0.067,"[""S010-FOD-01"", ""S010-MED-01"", ""S013-WAT-01""]",1106.645173963278,1886.647,0.001826036722036406
Q2-014,6cbc25dd9ae838e0,U02,A,BAT-A-04,2033.704,2393.704,"[""S014""]",4024.104,2.2175912570533356,0.5072019428770365,1140.6374742598525,5164.742,11,0.04,"[""S014-FOD-01"", ""S014-MED-01""]",1420.3988852767495,1990.4,0.0011147232504526983
Q2-015,31f27d56d85ce933,U08,C,BAT-C-04,2119.846,2599.846,"[""S001""]",3614.022,2.8127111414518087,0.6484111073185239,1595.1092674765314,5209.132,73,0.147,"[""S001-MED-02"", ""S001-WAT-01"", ""S001-WAT-02"", ""S001-WAT-03"", ""S001-WAT-07"", ""S001-WAT-08""]",618.1750458620229,1494.176,0.0009541379771462744
