sortie,from,to,phase,start_s,end_s,box
Q2-001,O01,S012,爬升,390.0,485.20033162434896,
Q2-001,O01,S012,巡航,485.20033162434896,977.9430091253747,
Q2-001,O01,S012,下降,977.9430091253747,1031.3434070745934,
Q2-001,O01,S012,毫秒保守裕量,1031.3434070745934,1031.344,
Q2-001,S012,S012,基础交接,1031.344,1181.344,
Q2-001,S012,S012,逐箱交接,1181.344,1211.344,S012-WAT-01
Q2-001,S012,S012,逐箱交接,1211.344,1241.344,S012-MED-01
Q2-001,S012,S012,逐箱交接,1241.344,1271.344,S012-FOD-01
Q2-001,S012,O01,爬升,1271.344,1315.844331624349,
Q2-001,S012,O01,巡航,1315.844331624349,1808.5870091253748,
Q2-001,S012,O01,下降,1808.5870091253748,1922.8274070745936,
Q2-001,S012,O01,毫秒保守裕量,1922.8274070745936,1922.828,
Q2-002,O01,S002,爬升,510.0,582.5017016601563,
Q2-002,O01,S002,巡航,582.5017016601563,1076.603955937082,
Q2-002,O01,S002,下降,1076.603955937082,1121.3310830122773,
Q2-002,O01,S002,毫秒保守裕量,1121.3310830122773,1121.332,
Q2-002,S002,S002,基础交接,1121.332,1301.332,
Q2-002,S002,S002,逐箱交接,1301.332,1337.332,S002-MED-01
Q2-002,S002,S002,逐箱交接,1337.332,1373.332,S002-WAT-01
Q2-002,S002,S002,逐箱交接,1373.332,1409.332,S002-WAT-03
Q2-002,S002,S002,逐箱交接,1409.332,1445.332,S002-WAT-04
Q2-002,S002,S002,逐箱交接,1445.332,1481.332,S002-FOD-01
Q2-002,S002,S002,逐箱交接,1481.332,1517.332,S002-FOD-02
Q2-002,S002,S002,逐箱交接,1517.332,1553.332,S002-HYG-01
Q2-002,S002,O01,爬升,1553.332,1589.1137016601563,
Q2-002,S002,O01,巡航,1589.1137016601563,2083.215955937082,
Q2-002,S002,O01,下降,2083.215955937082,2173.8430830122775,
Q2-002,S002,O01,毫秒保守裕量,2173.8430830122775,2173.844,
Q2-003,O01,S014,爬升,330.0,484.74912923177084,
Q2-003,O01,S014,巡航,484.74912923177084,936.3771542269164,
Q2-003,O01,S014,下降,936.3771542269164,1032.7561093050415,
Q2-003,O01,S014,毫秒保守裕量,1032.7561093050415,1032.757,
Q2-003,S014,S014,基础交接,1032.757,1182.757,
Q2-003,S014,S014,逐箱交接,1182.757,1212.757,S014-WAT-01
Q2-003,S014,O01,爬升,1212.757,1293.0727958984376,
Q2-003,S014,O01,巡航,1293.0727958984376,1744.700820893583,
Q2-003,S014,O01,下降,1744.700820893583,1930.399775971708,
Q2-003,S014,O01,毫秒保守裕量,1930.399775971708,1930.4,
Q2-004,O01,S007,爬升,360.0,488.0910583496094,
Q2-004,O01,S007,巡航,488.0910583496094,865.9841729263596,
Q2-004,O01,S007,下降,865.9841729263596,931.3734429458909,
Q2-004,O01,S007,毫秒保守裕量,931.3734429458909,931.374,
Q2-004,S007,S007,基础交接,931.374,1081.374,
Q2-004,S007,S007,逐箱交接,1081.374,1111.374,S007-WAT-01
Q2-004,S007,S007,逐箱交接,1111.374,1141.374,S007-FOD-01
Q2-004,S007,O01,爬升,1141.374,1195.8650583496094,
Q2-004,S007,O01,巡航,1195.8650583496094,1573.7581729263597,
Q2-004,S007,O01,下降,1573.7581729263597,1727.467442945891,
Q2-004,S007,O01,毫秒保守裕量,1727.467442945891,1727.468,
Q2-005,O01,S010,爬升,390.0,492.6455118815104,
Q2-005,O01,S010,巡航,492.6455118815104,811.6238122989628,
Q2-005,O01,S010,下降,811.6238122989628,845.2384265567753,
Q2-005,O01,S010,毫秒保守裕量,845.2384265567753,845.239,
Q2-005,S010,S010,基础交接,845.239,995.239,
Q2-005,S010,S010,逐箱交接,995.239,1025.239,S010-MED-01
Q2-005,S010,S010,逐箱交接,1025.239,1055.239,S010-WAT-01
Q2-005,S010,S010,逐箱交接,1055.239,1085.239,S010-FOD-01
Q2-005,S010,O01,爬升,1085.239,1113.251178548177,
Q2-005,S010,O01,巡航,1113.251178548177,1432.2294789656294,
Q2-005,S010,O01,下降,1432.2294789656294,1555.4040932234418,
Q2-005,S010,O01,毫秒保守裕量,1555.4040932234418,1555.405,
Q2-006,O01,S014,爬升,360.0,514.7491292317709,
Q2-006,O01,S014,巡航,514.7491292317709,966.3771542269164,
Q2-006,O01,S014,下降,966.3771542269164,1062.7561093050415,
Q2-006,O01,S014,毫秒保守裕量,1062.7561093050415,1062.757,
Q2-006,S014,S014,基础交接,1062.757,1212.757,
Q2-006,S014,S014,逐箱交接,1212.757,1242.757,S014-MED-01
Q2-006,S014,S014,逐箱交接,1242.757,1272.757,S014-FOD-01
Q2-006,S014,O01,爬升,1272.757,1353.0727958984376,
Q2-006,S014,O01,巡航,1353.0727958984376,1804.700820893583,
Q2-006,S014,O01,下降,1804.700820893583,1990.399775971708,
Q2-006,S014,O01,毫秒保守裕量,1990.399775971708,1990.4,
Q2-007,O01,S007,爬升,360.0,488.0910583496094,
Q2-007,O01,S007,巡航,488.0910583496094,865.9841729263596,
Q2-007,O01,S007,下降,865.9841729263596,931.3734429458909,
Q2-007,O01,S007,毫秒保守裕量,931.3734429458909,931.374,
Q2-007,S007,S007,基础交接,931.374,1081.374,
Q2-007,S007,S007,逐箱交接,1081.374,1111.374,S007-MED-01
Q2-007,S007,S007,逐箱交接,1111.374,1141.374,S007-HYG-01
Q2-007,S007,O01,爬升,1141.374,1195.8650583496094,
Q2-007,S007,O01,巡航,1195.8650583496094,1573.7581729263597,
Q2-007,S007,O01,下降,1573.7581729263597,1727.467442945891,
Q2-007,S007,O01,毫秒保守裕量,1727.467442945891,1727.468,
Q2-008,O01,S006,爬升,480.0,575.3591357421875,
Q2-008,O01,S006,巡航,575.3591357421875,787.7723925655769,
Q2-008,O01,S006,下降,787.7723925655769,813.4213122433113,
Q2-008,O01,S006,毫秒保守裕量,813.4213122433113,813.422,
Q2-008,S006,S006,基础交接,813.422,993.422,
Q2-008,S006,S006,逐箱交接,993.422,1029.422,S006-MED-01
Q2-008,S006,S006,逐箱交接,1029.422,1065.422,S006-WAT-01
Q2-008,S006,S006,逐箱交接,1065.422,1101.422,S006-WAT-02
Q2-008,S006,S006,逐箱交接,1101.422,1137.422,S006-WAT-03
Q2-008,S006,S006,逐箱交接,1137.422,1173.422,S006-FOD-01
Q2-008,S006,S006,逐箱交接,1173.422,1209.422,S006-HYG-01
Q2-008,S006,O01,爬升,1209.422,1229.9411357421875,
Q2-008,S006,O01,巡航,1229.9411357421875,1442.3543925655767,
Q2-008,S006,O01,下降,1442.3543925655767,1561.5533122433112,
Q2-008,S006,O01,毫秒保守裕量,1561.5533122433112,1561.554,
Q2-009,O01,S013,爬升,1945.405,2035.8989412434896,
Q2-009,O01,S013,巡航,2035.8989412434896,2359.2013982134085,
Q2-009,O01,S013,下降,2359.2013982134085,2378.194127705596,
Q2-009,O01,S013,毫秒保守裕量,2378.194127705596,2378.195,
Q2-009,S013,S013,基础交接,2378.195,2528.195,
Q2-009,S013,S013,逐箱交接,2528.195,2558.195,S013-MED-01
Q2-009,S013,S013,逐箱交接,2558.195,2588.195,S013-WAT-01
Q2-009,S013,S013,逐箱交接,2588.195,2618.195,S013-FOD-01
Q2-009,S013,O01,爬升,2618.195,2634.0222745768233,
Q2-009,S013,O01,巡航,2634.0222745768233,2957.324731546742,
Q2-009,S013,O01,下降,2957.324731546742,3065.9174610389296,
Q2-009,S013,O01,毫秒保守裕量,3065.9174610389296,3065.918,
Q2-010,O01,S001,爬升,2131.554,2189.6966440429687,
Q2-010,O01,S001,巡航,2189.6966440429687,2393.2982178773004,
Q2-010,O01,S001,下降,2393.2982178773004,2437.8265229310114,
Q2-010,O01,S001,毫秒保守裕量,2437.8265229310114,2437.827,
Q2-010,S001,S001,基础交接,2437.827,2617.827,
Q2-010,S001,S001,逐箱交接,2617.827,2653.827,S001-MED-01
Q2-010,S001,S001,逐箱交接,2653.827,2689.827,S001-MED-02
Q2-010,S001,S001,逐箱交接,2689.827,2725.827,S001-WAT-04
Q2-010,S001,S001,逐箱交接,2725.827,2761.827,S001-WAT-05
Q2-010,S001,S001,逐箱交接,2761.827,2797.827,S001-WAT-06
Q2-010,S001,S001,逐箱交接,2797.827,2833.827,S001-FOD-01
Q2-010,S001,S001,逐箱交接,2833.827,2869.827,S001-FOD-02
Q2-010,S001,S001,逐箱交接,2869.827,2905.827,S001-HYG-01
Q2-010,S001,S001,逐箱交接,2905.827,2941.827,S001-HYG-02
Q2-010,S001,O01,爬升,2941.827,2977.449644042969,
Q2-010,S001,O01,巡航,2977.449644042969,3181.0512178773006,
Q2-010,S001,O01,下降,3181.0512178773006,3253.7295229310116,
Q2-010,S001,O01,毫秒保守裕量,3253.7295229310116,3253.73,
Q2-011,O01,S007,爬升,2057.468,2185.559058349609,
Q2-011,O01,S007,巡航,2185.559058349609,2563.4521729263593,
Q2-011,O01,S007,下降,2563.4521729263593,2628.8414429458903,
Q2-011,O01,S007,毫秒保守裕量,2628.8414429458903,2628.842,
Q2-011,S007,S007,基础交接,2628.842,2778.842,
Q2-011,S007,S007,逐箱交接,2778.842,2808.842,S007-WAT-02
Q2-011,S007,O01,爬升,2808.842,2863.3330583496095,
Q2-011,S007,O01,巡航,2863.3330583496095,3241.2261729263596,
Q2-011,S007,O01,下降,3241.2261729263596,3394.935442945891,
Q2-011,S007,O01,毫秒保守裕量,3394.935442945891,3394.936,
Q2-012,O01,S002,爬升,2057.468,2117.8860847167966,
Q2-012,O01,S002,巡航,2117.8860847167966,2735.5139025629537,
Q2-012,O01,S002,下降,2735.5139025629537,2771.29560422311,
Q2-012,O01,S002,毫秒保守裕量,2771.29560422311,2771.296,
Q2-012,S002,S002,基础交接,2771.296,2921.296,
Q2-012,S002,S002,逐箱交接,2921.296,2951.296,S002-WAT-02
Q2-012,S002,O01,爬升,2951.296,2981.1140847167967,
Q2-012,S002,O01,巡航,2981.1140847167967,3598.741902562954,
Q2-012,S002,O01,下降,3598.741902562954,3671.24360422311,
Q2-012,S002,O01,毫秒保守裕量,3671.24360422311,3671.244,
Q2-013,O01,S005,爬升,2312.828,2379.064962890625,
Q2-013,O01,S005,巡航,2379.064962890625,2731.1045208316727,
Q2-013,O01,S005,下降,2731.1045208316727,2783.6688763004227,
Q2-013,O01,S005,毫秒保守裕量,2783.6688763004227,2783.669,
Q2-013,S005,S005,基础交接,2783.669,2933.669,
Q2-013,S005,S005,逐箱交接,2933.669,2963.669,S005-WAT-03
Q2-013,S005,S004,爬升,2963.669,3020.6045265299476,
Q2-013,S005,S004,巡航,3020.6045265299476,3194.4908299600147,
Q2-013,S005,S004,下降,3194.4908299600147,3249.493461795952,
Q2-013,S005,S004,毫秒保守裕量,3249.493461795952,3249.494,
Q2-013,S004,S004,基础交接,3249.494,3399.494,
Q2-013,S004,S004,逐箱交接,3399.494,3429.494,S004-MED-01
Q2-013,S004,S004,逐箱交接,3429.494,3459.494,S004-FOD-01
Q2-013,S004,O01,爬升,3459.494,3516.140388753255,
Q2-013,S004,O01,巡航,3516.140388753255,4030.4524985056887,
Q2-013,S004,O01,下降,4030.4524985056887,4138.668165009595,
Q2-013,S004,O01,毫秒保守裕量,4138.668165009595,4138.669,
Q2-014,O01,S001,爬升,2623.844,2681.9866440429687,
Q2-014,O01,S001,巡航,2681.9866440429687,2885.5882178773004,
Q2-014,O01,S001,下降,2885.5882178773004,2930.1165229310113,
Q2-014,O01,S001,毫秒保守裕量,2930.1165229310113,2930.117,
Q2-014,S001,S001,基础交接,2930.117,3110.117,
Q2-014,S001,S001,逐箱交接,3110.117,3146.117,S001-WAT-01
Q2-014,S001,S001,逐箱交接,3146.117,3182.117,S001-WAT-02
Q2-014,S001,S001,逐箱交接,3182.117,3218.117,S001-WAT-03
Q2-014,S001,S001,逐箱交接,3218.117,3254.117,S001-WAT-08
Q2-014,S001,S001,逐箱交接,3254.117,3290.117,S001-FOD-03
Q2-014,S001,O01,爬升,3290.117,3325.739644042969,
Q2-014,S001,O01,巡航,3325.739644042969,3529.3412178773006,
Q2-014,S001,O01,下降,3529.3412178773006,3602.0195229310116,
Q2-014,S001,O01,毫秒保守裕量,3602.0195229310116,3602.02,
Q2-015,O01,S001,爬升,3085.414,3133.8662033691407,
Q2-015,O01,S001,巡航,3133.8662033691407,3388.3681706620555,
Q2-015,O01,S001,下降,3388.3681706620555,3423.990814705024,
Q2-015,O01,S001,毫秒保守裕量,3423.990814705024,3423.991,
Q2-015,S001,S001,基础交接,3423.991,3573.991,
Q2-015,S001,S001,逐箱交接,3573.991,3603.991,S001-WAT-07
Q2-015,S001,O01,爬升,3603.991,3633.676536702474,
Q2-015,S001,O01,巡航,3633.676536702474,3888.178503995389,
Q2-015,S001,O01,下降,3888.178503995389,3946.3211480383575,
Q2-015,S001,O01,毫秒保守裕量,3946.3211480383575,3946.322,
Q2-016,O01,S008,爬升,3126.858,3208.594444091797,
Q2-016,O01,S008,巡航,3208.594444091797,3881.8536481575034,
Q2-016,O01,S008,下降,3881.8536481575034,3922.6573810676596,
Q2-016,O01,S008,毫秒保守裕量,3922.6573810676596,3922.658,
Q2-016,S008,S008,基础交接,3922.658,4072.658,
Q2-016,S008,S008,逐箱交接,4072.658,4102.658,S008-WAT-02
Q2-016,S008,O01,爬升,4102.658,4136.661110758464,
Q2-016,S008,O01,巡航,4136.661110758464,4809.92031482417,
Q2-016,S008,O01,下降,4809.92031482417,4908.004047734326,
Q2-016,S008,O01,毫秒保守裕量,4908.004047734326,4908.005,
Q2-017,O01,S008,爬升,3455.918,3537.654444091797,
Q2-017,O01,S008,巡航,3537.654444091797,4076.261807344362,
Q2-017,O01,S008,下降,4076.261807344362,4117.065540254518,
Q2-017,O01,S008,毫秒保守裕量,4117.065540254518,4117.066,
Q2-017,S008,S008,基础交接,4117.066,4267.066,
Q2-017,S008,S008,逐箱交接,4267.066,4297.066,S008-MED-01
Q2-017,S008,S008,逐箱交接,4297.066,4327.066,S008-WAT-01
Q2-017,S008,S008,逐箱交接,4327.066,4357.066,S008-FOD-01
Q2-017,S008,O01,爬升,4357.066,4391.0691107584635,
Q2-017,S008,O01,巡航,4391.0691107584635,4929.676474011028,
Q2-017,S008,O01,下降,4929.676474011028,5027.760206921184,
Q2-017,S008,O01,毫秒保守裕量,5027.760206921184,5027.761,
Q2-018,O01,S004,爬升,3673.73,3781.945666503906,
Q2-018,O01,S004,巡航,3781.945666503906,4296.25777625634,
Q2-018,O01,S004,下降,4296.25777625634,4381.227359386223,
Q2-018,O01,S004,毫秒保守裕量,4381.227359386223,4381.228,
Q2-018,S004,S004,基础交接,4381.228,4561.228,
Q2-018,S004,S004,逐箱交接,4561.228,4597.228,S004-WAT-01
Q2-018,S004,S004,逐箱交接,4597.228,4633.228,S004-WAT-02
Q2-018,S004,S004,逐箱交接,4633.228,4669.228,S004-WAT-03
Q2-018,S004,S004,逐箱交接,4669.228,4705.228,S004-HYG-01
Q2-018,S004,O01,爬升,4705.228,4773.203666503906,
Q2-018,S004,O01,巡航,4773.203666503906,5287.515776256339,
Q2-018,S004,O01,下降,5287.515776256339,5422.785359386222,
Q2-018,S004,O01,毫秒保守裕量,5422.785359386222,5422.786,
Q2-019,O01,S003,爬升,3724.936,3869.6373793945313,
Q2-019,O01,S003,巡航,3869.6373793945313,4474.956293375026,
Q2-019,O01,S003,下降,4474.956293375026,4564.277948648463,
Q2-019,O01,S003,毫秒保守裕量,4564.277948648463,4564.278,
Q2-019,S003,S003,基础交接,4564.278,4714.278,
Q2-019,S003,S003,逐箱交接,4714.278,4744.278,S003-WAT-03
Q2-019,S003,O01,爬升,4744.278,4818.7127127278645,
Q2-019,S003,O01,巡航,4818.7127127278645,5424.031626708359,
Q2-019,S003,O01,下降,5424.031626708359,5597.673281981796,
Q2-019,S003,O01,毫秒保守裕量,5597.673281981796,5597.674,
Q2-020,O01,S008,爬升,4001.244,4082.980444091797,
Q2-020,O01,S008,巡航,4082.980444091797,4756.239648157503,
Q2-020,O01,S008,下降,4756.239648157503,4797.0433810676595,
Q2-020,O01,S008,毫秒保守裕量,4797.0433810676595,4797.044,
Q2-020,S008,S008,基础交接,4797.044,4947.044,
Q2-020,S008,S008,逐箱交接,4947.044,4977.044,S008-HYG-01
Q2-020,S008,O01,爬升,4977.044,5011.0471107584635,
Q2-020,S008,O01,巡航,5011.0471107584635,5684.30631482417,
Q2-020,S008,O01,下降,5684.30631482417,5782.390047734326,
Q2-020,S008,O01,毫秒保守裕量,5782.390047734326,5782.391,
Q2-021,O01,S015,爬升,4528.669,4676.7020851236975,
Q2-021,O01,S015,巡航,4676.7020851236975,5077.353077938392,
Q2-021,O01,S015,下降,5077.353077938392,5116.27278008683,
Q2-021,O01,S015,毫秒保守裕量,5116.27278008683,5116.273,
Q2-021,S015,S015,基础交接,5116.273,5266.273,
Q2-021,S015,S015,逐箱交接,5266.273,5296.273,S015-MED-01
Q2-021,S015,S015,逐箱交接,5296.273,5326.273,S015-WAT-01
Q2-021,S015,S015,逐箱交接,5326.273,5356.273,S015-FOD-01
Q2-021,S015,O01,爬升,5356.273,5388.706085123698,
Q2-021,S015,O01,巡航,5388.706085123698,5789.357077938393,
Q2-021,S015,O01,下降,5789.357077938393,5966.99678008683,
Q2-021,S015,O01,毫秒保守裕量,5966.99678008683,5966.997,
Q2-022,O01,S003,爬升,5218.274,5391.915655273438,
Q2-022,O01,S003,巡航,5391.915655273438,5876.170786457833,
Q2-022,O01,S003,下降,5876.170786457833,5987.82285554963,
Q2-022,O01,S003,毫秒保守裕量,5987.82285554963,5987.823,
Q2-022,S003,S003,基础交接,5987.823,6167.823,
Q2-022,S003,S003,逐箱交接,6167.823,6203.823,S003-MED-01
Q2-022,S003,S003,逐箱交接,6203.823,6239.823,S003-WAT-01
Q2-022,S003,S003,逐箱交接,6239.823,6275.823,S003-WAT-02
Q2-022,S003,S003,逐箱交接,6275.823,6311.823,S003-WAT-04
Q2-022,S003,S003,逐箱交接,6311.823,6347.823,S003-FOD-01
Q2-022,S003,S003,逐箱交接,6347.823,6383.823,S003-FOD-02
Q2-022,S003,S003,逐箱交接,6383.823,6419.823,S003-HYG-01
Q2-022,S003,O01,爬升,6419.823,6509.144655273438,
Q2-022,S003,O01,巡航,6509.144655273438,6993.399786457833,
Q2-022,S003,O01,下降,6993.399786457833,7210.45185554963,
Q2-022,S003,O01,毫秒保守裕量,7210.45185554963,7210.452,
Q2-023,O01,S009,爬升,5417.761,5472.937304117839,
Q2-023,O01,S009,巡航,5472.937304117839,5853.290867225773,
Q2-023,O01,S009,下降,5853.290867225773,5878.582432167179,
Q2-023,O01,S009,毫秒保守裕量,5878.582432167179,5878.583,
Q2-023,S009,S009,基础交接,5878.583,6028.583,
Q2-023,S009,S009,逐箱交接,6028.583,6058.583,S009-MED-01
Q2-023,S009,S009,逐箱交接,6058.583,6088.583,S009-WAT-01
Q2-023,S009,S009,逐箱交接,6088.583,6118.583,S009-FOD-01
Q2-023,S009,O01,爬升,6118.583,6139.6593041178385,
Q2-023,S009,O01,巡航,6139.6593041178385,6520.012867225772,
Q2-023,S009,O01,下降,6520.012867225772,6586.224432167179,
Q2-023,S009,O01,毫秒保守裕量,6586.224432167179,6586.225,
Q2-024,O01,S011,爬升,5962.786,6029.850702148437,
Q2-024,O01,S011,巡航,6029.850702148437,6217.0577963065625,
Q2-024,O01,S011,下降,6217.0577963065625,6258.688673992109,
Q2-024,O01,S011,毫秒保守裕量,6258.688673992109,6258.689,
Q2-024,S011,S011,基础交接,6258.689,6438.689,
Q2-024,S011,S011,逐箱交接,6438.689,6474.689,S011-MED-01
Q2-024,S011,S011,逐箱交接,6474.689,6510.689,S011-WAT-01
