来源,W系数秒,Cmax秒,能耗kWh,架次,主权重F
reference:tardiness,0.0,7715.162,85.86410138,31.0,0.2618836017683311
reference:makespan,783.576,7528.576,83.189040162,30.0,0.2247758693605345
reference:energy,429204.104,11453.859,62.634022492,19.0,0.75
reference:sorties,60547.406,9906.71,65.525211747,19.0,0.24274024090330823
archived:tardiness:1,5716.408,9589.234,95.462916483,36.0,0.49149189098723783
archived:tardiness:3,3887.958,10314.933,91.812818604,35.0,0.5024489184068149
archived:tardiness:6,1455.648,10314.933,89.724572417,33.0,0.47074417355025927
archived:tardiness:7,0.0,10314.933,85.827965785,31.0,0.4272029141292801
archived:tardiness:10,0.0,9273.82,86.271436073,31.0,0.3640764897892551
archived:tardiness:11,0.0,9152.401,86.261284161,31.0,0.3562705171254843
archived:tardiness:15,0.0,9152.401,86.992519217,32.0,0.3684612850938789
archived:tardiness:16,0.0,8051.582,85.674907462,31.0,0.28195269050975247
archived:tardiness:18,0.0,7913.31,87.22164613,32.0,0.29118787690897285
archived:tardiness:20,0.0,8384.292,88.987484469,33.0,0.34079820663047705
archived:tardiness:23,0.0,7871.159,87.775269512,32.0,0.2924753231193064
archived:tardiness:44,0.0,7871.159,87.831615549,32.0,0.29287958374243833
archived:tardiness:67,0.0,7814.338,84.631416273,31.0,0.2593560588729794
archived:tardiness:72,0.0,7715.162,85.86410138,31.0,0.2618836017683311
archived:makespan:2,0.0,8233.671,84.221289391,30.0,0.27617629822333295
archived:makespan:3,0.0,8043.905,84.299911707,30.0,0.2646542474385936
archived:makespan:4,0.0,8043.905,82.772262841,29.0,0.246749524057479
archived:makespan:7,0.0,8497.993,81.835155453,29.0,0.26894686494470454
archived:makespan:8,0.0,7791.929,81.968851468,29.0,0.2249370942455951
archived:makespan:16,0.0,7791.929,78.528715176,28.0,0.1933110268315943
archived:makespan:17,1576.044,7528.576,81.599943731,29.0,0.20735346705979965
archived:makespan:29,783.576,7528.576,83.189040162,30.0,0.2247758693605345
archived:energy:1,783.576,9231.625,73.328307392,27.0,0.24166230007879352
archived:energy:3,1627.806,9339.903,73.486885847,27.0,0.25067971184580046
archived:energy:4,167413.04,11469.832,73.228451595,28.0,0.58455547700046
archived:energy:5,133404.584,11068.778,73.331966816,28.0,0.5201371127256329
archived:energy:6,154897.252,11943.038,72.628159681,27.0,0.588862282314432
archived:energy:7,44057.566,9840.419,72.629974828,26.0,0.31889338822476887
archived:energy:8,239589.84,12852.749,71.657930917,27.0,0.7385028410679991
archived:energy:9,234734.876,12927.617,69.820192547,26.0,0.7174858908726932
archived:energy:10,234563.948,13554.677,68.017952925,25.0,0.7373492127561873
archived:energy:11,205516.122,13091.299,69.702064253,25.0,0.6860804783420773
archived:energy:12,107245.204,11647.483,69.153479997,24.0,0.4687635821159294
archived:energy:13,103539.03,10189.06,66.011478131,22.0,0.335128083926367
archived:energy:14,162362.654,11278.236,66.359753357,23.0,0.4824669315438917
archived:energy:15,187058.72,11902.014,66.13714795,23.0,0.5493676498257039
archived:energy:16,101787.312,11166.281,65.660283092,23.0,0.39975107204753996
archived:energy:17,42746.0,11189.229,65.882888499,23.0,0.3340297341343099
archived:energy:19,22510.82,9984.305,65.70050813,22.0,0.22546265330690457
archived:energy:22,22510.82,9614.267,65.953630756,22.0,0.2037111083600011
archived:energy:24,109061.192,10964.472,64.68386844,21.0,0.37447732702219555
archived:energy:25,298897.264,13139.545,64.682053293,22.0,0.741087389595768
archived:energy:26,144214.014,10862.091,64.68386844,21.0,0.408907886167886
archived:energy:27,415491.402,14658.128,64.428930667,22.0,0.9718153749620677
archived:energy:31,157777.694,11251.928,64.526313255,21.0,0.44840704901785006
archived:energy:32,130587.624,11251.928,64.2711444,21.0,0.4149013246195013
archived:energy:34,226820.554,11686.612,64.108628518,21.0,0.5535264756511922
archived:energy:35,313216.108,11510.383,63.963871831,21.0,0.6419101703690688
archived:sorties:1,97386.038,10032.725,65.664710644,20.0,0.3016264404032498
archived:sorties:3,78232.554,9265.722,66.099862694,20.0,0.23358552065965532
archived:sorties:5,78232.422,9265.722,66.118999155,21.0,0.24066710790173085
archived:sorties:7,78144.95,9265.722,65.664710644,20.0,0.2303614220788824
archived:sorties:9,60547.406,9265.722,65.103125314,20.0,0.20583206379795113
archived:sorties:10,60547.406,9237.09,66.480428931,21.0,0.22083455644703026
archived:sorties:15,60547.406,9265.722,65.103125314,20.0,0.20583206379795113
archived:sorties:16,60547.406,10020.71,65.525211747,19.0,0.250000863895332
weighted_alns:1,783.576,7594.576,80.437194098,29.0,0.20229153181808185
weighted_alns:7,783.576,7736.275,80.214588691,29.0,0.20971918900785894
weighted_alns:8,783.576,7594.577,82.196767657,30.0,0.22186028721572792
weighted_alns:13,0.0,7594.577,82.099990573,30.0,0.22025312530486604
weighted_alns:14,783.588,7594.578,82.419373064,30.0,0.22345747100504873
weighted_alns:17,3152.446,7594.578,81.268942686,29.0,0.21101873554127967
weighted_alns:20,3152.436,7594.578,81.268942686,29.0,0.21101872389181045
weighted_alns:25,3152.436,7594.578,81.280098664,29.0,0.21109876364008814
scenario:tardiness:49,8219.352,9986.188,79.705169336,29.0,0.3580228187185602
scenario:tardiness:64,43784.45,10652.453,82.294313759,29.0,0.46046456321451273
scenario:tardiness:81,43784.45,10033.593,85.296523618,30.0,0.44953368845398134
scenario:tardiness:84,46464.172,10033.593,86.296605057,30.0,0.45983061278519216
scenario:tardiness:86,35406.552,10033.593,85.803957204,30.0,0.4434145180861297
scenario:tardiness:87,35406.552,10033.593,85.388349033,30.0,0.4404326931498493
scenario:tardiness:94,38932.01,9700.471,83.014922718,29.0,0.39935038909716286
scenario:tardiness:107,44155.442,10033.593,83.430530889,29.0,0.4296336671039164
scenario:tardiness:136,56626.132,9633.861,81.688091145,28.0,0.39925679439047707
scenario:tardiness:146,56626.132,9633.861,81.688091145,28.0,0.39925679439047707
scenario:tardiness:150,43784.45,9270.177,81.976383699,29.0,0.3701468305434944
scenario:tardiness:151,44155.442,9270.177,81.976383699,29.0,0.3705790165320981
scenario:tardiness:159,91542.39,9920.304,81.753778292,29.0,0.46559156722072337
scenario:tardiness:167,92872.96,9336.177,81.141384058,28.0,0.41860061976613233
scenario:tardiness:168,81815.34,9336.177,80.365893795,28.0,0.4001552421750941
scenario:tardiness:181,35406.552,9563.346,83.188605246,29.0,0.3877560746475163
scenario:tardiness:182,33433.38,9270.177,83.188605246,29.0,0.3667855955607714
scenario:tardiness:185,33433.38,9336.177,81.210035808,28.0,0.3498492132486061
scenario:tardiness:187,10295.784,9563.346,84.188397038,29.0,0.36567647508044115
scenario:tardiness:193,10136.436,9336.177,82.197613403,28.0,0.32979499031513837
scenario:tardiness:199,10343.676,9563.346,82.616350517,29.0,0.3544534520935255
scenario:tardiness:220,23048.652,9366.739,83.626902932,28.0,0.3570381098965447
scenario:tardiness:233,17147.052,9967.593,85.650317212,30.0,0.41683734475353484
scenario:tardiness:270,17147.052,10269.661,83.584559901,30.0,0.42125496252161054
scenario:tardiness:271,17147.052,9204.177,83.809151077,30.0,0.3550059856818879
scenario:tardiness:295,17147.052,9204.177,84.386019598,30.0,0.3591447901157233
scenario:tardiness:306,17147.052,9204.177,84.386019598,30.0,0.3591447901157233
scenario:tardiness:314,17147.052,9204.177,84.547718958,30.0,0.3603049193371206
scenario:tardiness:317,17147.052,9204.177,84.534875679,30.0,0.3602127738687251
scenario:tardiness:321,17147.052,9204.177,85.834812899,30.0,0.3695393114314215
scenario:tardiness:331,17147.052,9204.177,83.970411427,30.0,0.3561629651794429
scenario:tardiness:334,17147.052,9204.177,83.567646535,30.0,0.35327328571155797
scenario:tardiness:339,28630.862,10487.54,86.188203874,31.0,0.47413419890165986
scenario:tardiness:343,17147.052,10598.56,87.129052514,31.0,0.4745772159762709
scenario:tardiness:344,17147.052,9204.177,83.686082769,30.0,0.3541230190434379
scenario:tardiness:347,17147.052,8937.055,83.491960512,30.0,0.33571735484226717
scenario:tardiness:350,17147.052,9204.177,85.234132854,30.0,0.36522966869124773
scenario:tardiness:352,32018.902,9389.201,87.003468769,30.0,0.4070329913961347
scenario:tardiness:356,17147.052,9204.177,83.369731382,30.0,0.3518533224392691
scenario:tardiness:362,17147.052,9745.557,82.83691269,29.0,0.375566430185751
scenario:tardiness:445,17867.052,9745.557,81.115431934,28.0,0.35710980112021345
scenario:tardiness:451,24408.674,9811.557,78.3553705,27.0,0.3421871639495524
scenario:tardiness:457,23863.454,9885.953,78.912326311,27.0,0.3502862072596596
scenario:tardiness:461,17867.052,9811.557,78.862804086,27.0,0.3382071576564227
