方案,货箱,服务区,架次,交箱次序,完成时刻s,期望时刻s,硬截止s,逾期s
及时性权重放大,S001-FOD-01,S001,Q2-010,6,2833.827,7200.0,,0
及时性权重放大,S001-FOD-02,S001,Q2-010,7,2869.827,7200.0,,0
及时性权重放大,S001-FOD-03,S001,Q2-014,5,3290.117,7200.0,,0
及时性权重放大,S001-HYG-01,S001,Q2-010,8,2905.827,10800.0,,0
及时性权重放大,S001-HYG-02,S001,Q2-010,9,2941.827,10800.0,,0
及时性权重放大,S001-MED-01,S001,Q2-010,1,2653.827,3600.0,3600.0,0
及时性权重放大,S001-MED-02,S001,Q2-010,2,2689.827,3600.0,3600.0,0
及时性权重放大,S001-WAT-01,S001,Q2-014,1,3146.117,3600.0,3600.0,0
及时性权重放大,S001-WAT-02,S001,Q2-014,2,3182.117,3600.0,,0
及时性权重放大,S001-WAT-03,S001,Q2-014,3,3218.117,3600.0,,0
及时性权重放大,S001-WAT-04,S001,Q2-010,3,2725.827,3600.0,,0
及时性权重放大,S001-WAT-05,S001,Q2-010,4,2761.827,3600.0,,0
及时性权重放大,S001-WAT-06,S001,Q2-010,5,2797.827,3600.0,,0
及时性权重放大,S001-WAT-07,S001,Q2-015,1,3603.991,3600.0,,3.9909999999999854
及时性权重放大,S001-WAT-08,S001,Q2-014,4,3254.117,3600.0,,0
及时性权重放大,S002-FOD-01,S002,Q2-002,5,1481.332,7200.0,,0
及时性权重放大,S002-FOD-02,S002,Q2-002,6,1517.332,7200.0,,0
及时性权重放大,S002-HYG-01,S002,Q2-002,7,1553.332,10800.0,,0
及时性权重放大,S002-MED-01,S002,Q2-002,1,1337.332,3600.0,3600.0,0
及时性权重放大,S002-WAT-01,S002,Q2-002,2,1373.332,3600.0,3600.0,0
及时性权重放大,S002-WAT-02,S002,Q2-012,1,2951.296,3600.0,,0
及时性权重放大,S002-WAT-03,S002,Q2-002,3,1409.332,3600.0,,0
及时性权重放大,S002-WAT-04,S002,Q2-002,4,1445.332,3600.0,,0
及时性权重放大,S003-FOD-01,S003,Q2-022,5,6347.823,10800.0,,0
及时性权重放大,S003-FOD-02,S003,Q2-022,6,6383.823,10800.0,,0
及时性权重放大,S003-HYG-01,S003,Q2-022,7,6419.823,14400.0,,0
及时性权重放大,S003-MED-01,S003,Q2-022,1,6203.823,7200.0,7200.0,0
及时性权重放大,S003-WAT-01,S003,Q2-022,2,6239.823,7200.0,7200.0,0
及时性权重放大,S003-WAT-02,S003,Q2-022,3,6275.823,7200.0,,0
及时性权重放大,S003-WAT-03,S003,Q2-019,1,4744.278,7200.0,,0
及时性权重放大,S003-WAT-04,S003,Q2-022,4,6311.823,7200.0,,0
及时性权重放大,S004-FOD-01,S004,Q2-013,2,3459.494,10800.0,,0
及时性权重放大,S004-HYG-01,S004,Q2-018,4,4705.228,14400.0,,0
及时性权重放大,S004-MED-01,S004,Q2-013,1,3429.494,7200.0,7200.0,0
及时性权重放大,S004-WAT-01,S004,Q2-018,1,4597.228,7200.0,7200.0,0
及时性权重放大,S004-WAT-02,S004,Q2-018,2,4633.228,7200.0,,0
及时性权重放大,S004-WAT-03,S004,Q2-018,3,4669.228,7200.0,,0
及时性权重放大,S005-FOD-01,S005,Q2-024,4,7187.994,14400.0,,0
及时性权重放大,S005-HYG-01,S005,Q2-024,5,7223.994,18000.0,,0
及时性权重放大,S005-MED-01,S005,Q2-024,1,7079.994,10800.0,10800.0,0
及时性权重放大,S005-WAT-01,S005,Q2-024,2,7115.994,10800.0,10800.0,0
及时性权重放大,S005-WAT-02,S005,Q2-024,3,7151.994,10800.0,,0
及时性权重放大,S005-WAT-03,S005,Q2-013,1,2963.669,10800.0,,0
及时性权重放大,S006-FOD-01,S006,Q2-008,5,1173.422,7200.0,,0
及时性权重放大,S006-HYG-01,S006,Q2-008,6,1209.422,10800.0,,0
及时性权重放大,S006-MED-01,S006,Q2-008,1,1029.422,3600.0,3600.0,0
及时性权重放大,S006-WAT-01,S006,Q2-008,2,1065.422,3600.0,3600.0,0
