无人机,机型,架次,准备开始s,离地s,返回释放s,占用时长s
U01,A,Q2-003,0.0,330.0,1930.4,1930.4
U01,A,Q2-015,2755.414,3085.414,3946.322,1190.908
U02,A,Q2-004,0.0,360.0,1727.468,1727.468
U02,A,Q2-011,1727.468,2057.468,3394.936,1667.468
U02,A,Q2-019,3394.936,3724.936,5597.674,2202.738
U03,A,Q2-006,0.0,360.0,1990.4,1990.4
U03,A,Q2-016,2796.858,3126.858,4908.005,2111.147
U04,A,Q2-007,0.0,360.0,1727.468,1727.468
U04,A,Q2-012,1727.468,2057.468,3671.244,1943.776
U04,A,Q2-020,3671.244,4001.244,5782.391,2111.147
U05,B,Q2-001,0.0,390.0,1922.828,1922.828
U05,B,Q2-013,1922.828,2312.828,4138.669,2215.841
U05,B,Q2-021,4138.669,4528.669,5966.997,1828.328
U06,B,Q2-005,0.0,390.0,1555.405,1555.405
U06,B,Q2-009,1555.405,1945.405,3065.918,1510.513
U06,B,Q2-017,3065.918,3455.918,5027.761,1961.843
U06,B,Q2-023,5027.761,5417.761,6586.225,1558.464
U07,C,Q2-002,0.0,510.0,2173.844,2173.844
U07,C,Q2-014,2173.844,2623.844,3602.02,1428.176
U07,C,Q2-022,4708.274,5218.274,7210.452,2502.178
U08,C,Q2-008,0.0,480.0,1561.554,1561.554
U08,C,Q2-010,1561.554,2131.554,3253.73,1692.176
U08,C,Q2-018,3253.73,3673.73,5422.786,2169.056
U08,C,Q2-024,5422.786,5962.786,7727.954,2305.168
