架次,货箱列表,质量kg,体积m³,离地时刻s,飞行时间s,累计作业时间s,返航SOC,飞行取整裕量s
Q2-001,S012-FOD-01; S012-MED-01; S012-WAT-01,25,0.067,390.0,1292.8268141491867,1922.828,0.3118500114275169,0.001185850813271827
Q2-002,S002-FOD-01; S002-FOD-02; S002-HYG-01; S002-MED-01; S002-WAT-01; S002-WAT-03; S002-WAT-04,67,0.184,510.0,1231.8421660245544,2173.844,0.21487871794821667,0.0018339754456064838
Q2-003,S014-WAT-01,14,0.027,330.0,1420.3988852767495,1930.4,0.4996382664339062,0.0011147232504526983
Q2-004,S007-FOD-01; S007-WAT-01,22,0.055,360.0,1157.4668858917819,1727.468,0.562008109850636,0.001114108218189358
Q2-005,S010-FOD-01; S010-MED-01; S010-WAT-01,25,0.067,390.0,925.4035197802173,1555.405,0.5441958589421465,0.0014802197826497832
Q2-006,S014-FOD-01; S014-MED-01,11,0.04,360.0,1420.3988852767495,1990.4,0.5072019428770365,0.0011147232504526983
Q2-007,S007-HYG-01; S007-MED-01,9,0.047,360.0,1157.4668858917819,1727.468,0.5938883694225267,0.001114108218189358
Q2-008,S006-FOD-01; S006-HYG-01; S006-MED-01; S006-WAT-01; S006-WAT-02; S006-WAT-03,59,0.156,480.0,685.5526244866224,1561.554,0.6752579636951648,0.001375513377581683
Q2-009,S013-FOD-01; S013-MED-01; S013-WAT-01,25,0.067,1945.405,880.5115887445249,1510.513,0.5437929522298132,0.0014112554750340678
Q2-010,S001-FOD-01; S001-FOD-02; S001-HYG-01; S001-HYG-02; S001-MED-01; S001-MED-02; S001-WAT-04; S001-WAT-05; S001-WAT-06,76,0.231,2131.554,618.1750458620229,1692.176,0.6353014880516467,0.0009541379771462744
Q2-011,S007-WAT-02,14,0.027,2057.468,1157.4668858917819,1667.468,0.5838692411006335,0.001114108218189358
Q2-012,S002-WAT-02,14,0.027,2057.468,1433.7752084462204,1943.776,0.36189130975029027,0.0007915537796634453
Q2-013,S004-FOD-01; S004-MED-01; S005-WAT-03,25,0.067,2312.828,1435.839503105971,2215.841,0.3020624804743094,0.0014968940288895283
Q2-014,S001-FOD-03; S001-WAT-01; S001-WAT-02; S001-WAT-03; S001-WAT-08,64,0.136,2623.844,618.1750458620229,1428.176,0.6793023293082172,0.0009541379771462744
Q2-015,S001-WAT-07,14,0.027,3085.414,680.9069627433815,1190.908,0.7289958329602151,0.0010372566184742027
Q2-016,S008-WAT-02,14,0.027,3126.858,1601.1454288019854,2111.147,0.3007866990319662,0.0015711980144033078
Q2-017,S008-FOD-01; S008-MED-01; S008-WAT-01,25,0.067,3455.918,1331.841747175703,1961.843,0.25619828136444167,0.0012528242970120118
Q2-018,S004-HYG-01; S004-WAT-01; S004-WAT-02; S004-WAT-03,48,0.116,3673.73,1425.0547187724458,2169.056,0.28681997816467397,0.0012812275542728457
Q2-019,S003-WAT-03,14,0.027,3724.936,1692.7372306302605,2202.738,0.34851355831272657,0.0007693697394870469
Q2-020,S008-HYG-01,6,0.035,4001.244,1601.1454288019854,2111.147,0.32421696098982566,0.0015711980144033078
Q2-021,S015-FOD-01; S015-MED-01; S015-WAT-01,25,0.067,4528.669,1198.3275601736595,1828.328,0.42311787356187114,0.00043982634053918446
Q2-022,S003-FOD-01; S003-FOD-02; S003-HYG-01; S003-MED-01; S003-WAT-01; S003-WAT-02; S003-WAT-04,67,0.184,5218.274,1560.1777110992603,2502.178,0.20943757614070413,0.0002889007396333909
Q2-023,S009-FOD-01; S009-MED-01; S009-WAT-01,25,0.067,5417.761,928.4628643343575,1558.464,0.4759336495656663,0.0011356656424936773
Q2-024,S005-FOD-01; S005-HYG-01; S005-MED-01; S005-WAT-01; S005-WAT-02; S011-FOD-01; S011-MED-01; S011-WAT-01,70,0.196,5962.786,1117.1669662295876,2305.168,0.4415044330529181,0.0010337704122775904
