方案,阶段,种子,轮次,目标,状态,候选数,当前值（整数单位）,求解器界限（整数单位）,本层条件最优,整个前缀已证最优,用时s
加权推荐方案,weighted_initial,0,,归一化加权评分,可行，未证最优,1500,15157242,12967115.0,否,否,119.44278030000001
加权推荐方案,weighted_alns:1,0,,归一化加权评分,可行，未证最优,117,15157242,14988277.0,否,否,14.9813319
加权推荐方案,weighted_alns:2,0,,归一化加权评分,可行，未证最优,96,15940360,15061623.0,否,否,14.9838868
加权推荐方案,weighted_alns:3,0,,归一化加权评分,可行，未证最优,132,17310399,14999761.0,否,否,14.976763100000001
加权推荐方案,weighted_alns:4,0,,归一化加权评分,可行，未证最优,139,17657209,14999497.0,否,否,14.9747534
加权推荐方案,weighted_alns:5,0,,归一化加权评分,限时未取得新解,60,,15048752.0,否,否,14.991711700000002
加权推荐方案,weighted_alns:6,0,,归一化加权评分,可行，未证最优,240,15418306,14918323.0,否,否,14.9123719
加权推荐方案,weighted_alns:7,0,,归一化加权评分,当前模型已证最优,89,15246373,15246373.0,是,是,5.1213983
加权推荐方案,weighted_alns:8,0,,归一化加权评分,可行，未证最优,213,15392065,14920703.0,否,否,14.949355800000001
加权推荐方案,weighted_alns:9,0,,归一化加权评分,可行，未证最优,155,15646834,15280829.0,否,否,14.9693053
加权推荐方案,weighted_alns:10,0,,归一化加权评分,限时未取得新解,570,,14931837.0,否,否,14.805035100000001
加权推荐方案,weighted_alns:11,0,,归一化加权评分,可行，未证最优,120,15958223,15162260.0,否,否,14.9773241
加权推荐方案,weighted_alns:12,0,,归一化加权评分,可行，未证最优,51,15671792,15221318.0,否,否,14.9973272
加权推荐方案,weighted_alns:13,0,,归一化加权评分,当前模型已证最优,99,15372777,15372777.0,是,是,1.6468629000000001
加权推荐方案,weighted_alns:14,0,,归一化加权评分,可行，未证最优,59,15411231,15140437.0,否,否,14.9956557
加权推荐方案,weighted_alns:15,0,,归一化加权评分,可行，未证最优,168,23425690,15029033.0,否,否,14.976561
加权推荐方案,weighted_alns:16,0,,归一化加权评分,可行，未证最优,206,17087057,15240542.0,否,否,14.949280900000002
加权推荐方案,weighted_alns:17,0,,归一化加权评分,可行，未证最优,60,15261964,15136292.0,否,否,14.992557300000001
加权推荐方案,weighted_alns:18,0,,归一化加权评分,可行，未证最优,114,15281302,15073789.0,否,否,14.9856575
加权推荐方案,weighted_alns:19,0,,归一化加权评分,可行，未证最优,97,16114646,15137423.0,否,否,14.9753827
加权推荐方案,weighted_alns:20,0,,归一化加权评分,可行，未证最优,266,15261964,15105793.0,否,否,14.932477800000001
加权推荐方案,weighted_alns:21,0,,归一化加权评分,可行，未证最优,132,16543232,15098122.0,否,否,14.989757800000001
加权推荐方案,weighted_alns:22,0,,归一化加权评分,可行，未证最优,122,17003500,14898408.0,否,否,14.9818501
加权推荐方案,weighted_alns:23,0,,归一化加权评分,可行，未证最优,121,15616189,15108504.0,否,否,14.979183800000001
加权推荐方案,weighted_alns:24,0,,归一化加权评分,可行，未证最优,141,15539239,15023549.0,否,否,14.978015200000002
加权推荐方案,weighted_alns:25,0,,归一化加权评分,可行，未证最优,87,15262926,15140417.0,否,否,14.986166800000001
加权推荐方案,weighted_alns:26,0,,归一化加权评分,限时未取得新解,92,,14796715.0,否,否,6.5058151
加权推荐方案,weighted_final,0,,归一化加权评分,可行，未证最优,1500,15157242,12887462.0,否,否,119.46690410000001
加权推荐方案,scenario:tardiness:refine,0,,归一化加权评分,可行，未证最优,1500,15255846,12886991.0,否,否,59.473321500000004
加权推荐方案,scenario:makespan:refine,0,,归一化加权评分,可行，未证最优,1500,63641618,55003415.0,否,否,59.489778
加权推荐方案,scenario:energy:refine,0,,归一化加权评分,可行，未证最优,1500,62685925,60849865.0,否,否,59.4840413
加权推荐方案,scenario:sorties:refine,0,,归一化加权评分,可行，未证最优,1500,35382444,26501667.0,否,否,59.4218963
