电池,机型,架次,占用开始s,返航充电开始s,返航SOC,实际充电时间s,充满可用时刻s
BAT-A-01,A,Q2-003,0.0,1930.4,0.4996382664339062,1150.4702536359218,3080.871
BAT-A-01,A,Q2-019,3394.936,5597.674,0.34851355831272657,1346.9323741934554,6944.607
BAT-A-02,A,Q2-004,0.0,1727.468,0.562008109850636,1069.389457194173,2796.858
BAT-A-02,A,Q2-016,2796.858,4908.005,0.3007866990319662,1408.9772912584438,6316.983
BAT-A-03,A,Q2-006,0.0,1990.4,0.5072019428770365,1140.6374742598525,3131.038
BAT-A-03,A,Q2-020,3671.244,5782.391,0.32421696098982566,1378.5179507132268,7160.909
BAT-A-04,A,Q2-007,0.0,1727.468,0.5938883694225267,1027.9451197507153,2755.414
BAT-A-04,A,Q2-015,2755.414,3946.322,0.7289958329602151,852.3054171517202,4798.628
BAT-A-05,A,Q2-011,1727.468,3394.936,0.5838692411006335,1040.9699865691762,4435.906
BAT-A-06,A,Q2-012,1727.468,3671.244,0.36189130975029027,1329.5412973246225,5000.786
BAT-B-01,B,Q2-001,0.0,1922.828,0.3118500114275169,1859.4599801923039,3782.288
BAT-B-01,B,Q2-021,4138.669,5966.997,0.42311787356187114,1666.59568582609,7633.593
BAT-B-02,B,Q2-005,0.0,1555.405,0.5441958589421465,1456.7271778336126,3012.133
BAT-B-02,B,Q2-017,3065.918,5027.761,0.25619828136444167,1955.9229789683006,6983.684
BAT-B-03,B,Q2-009,1555.405,3065.918,0.5437929522298132,1457.4255494683237,4523.344
BAT-B-03,B,Q2-023,5027.761,6586.225,0.4759336495656663,1575.048340752845,8161.274
BAT-B-04,B,Q2-013,1922.828,4138.669,0.3020624804743094,1876.4250338445302,6015.095
BAT-C-01,C,Q2-002,0.0,2173.844,0.21487871794821667,2534.4294444455304,4708.274
BAT-C-01,C,Q2-022,4708.274,7210.452,0.20943757614070413,2546.218585028474,9756.671
BAT-C-02,C,Q2-008,0.0,1561.554,0.6752579636951648,1536.941078660476,3098.496
BAT-C-02,C,Q2-018,3253.73,5422.786,0.28681997816467397,2378.5567139765394,7801.343
BAT-C-03,C,Q2-010,1561.554,3253.73,0.6353014880516467,1623.5134425547653,4877.244
BAT-C-03,C,Q2-024,5422.786,7727.954,0.4415044330529181,2043.4070617186771,9771.362
BAT-C-04,C,Q2-014,2173.844,3602.02,0.6793023293082172,1528.1782864988625,5130.199
