货箱,服务区,身份,有效硬截止s,交付完成s,裕量s,是否满足
S001-WAT-01,S001,首批,3600.0,3146.117,453.8829999999998,是
S001-MED-02,S001,医疗,3600.0,2689.827,910.1729999999998,是
S001-MED-01,S001,医疗+首批,3600.0,2653.827,946.1729999999998,是
S003-WAT-01,S003,首批,7200.0,6239.823,960.1769999999997,是
S003-MED-01,S003,医疗+首批,7200.0,6203.823,996.1769999999997,是
S013-WAT-01,S013,首批,3600.0,2588.195,1011.8049999999998,是
S013-MED-01,S013,医疗+首批,3600.0,2558.195,1041.8049999999998,是
S015-MED-01,S015,医疗+首批,7200.0,5296.273,1903.7269999999999,是
S002-WAT-01,S002,首批,3600.0,1373.332,2226.6679999999997,是
S002-MED-01,S002,医疗+首批,3600.0,1337.332,2262.6679999999997,是
S014-MED-01,S014,医疗+首批,3600.0,1242.757,2357.243,是
S012-MED-01,S012,医疗+首批,3600.0,1241.344,2358.656,是
S014-WAT-01,S014,首批,3600.0,1212.757,2387.243,是
S012-WAT-01,S012,首批,3600.0,1211.344,2388.656,是
S007-MED-01,S007,医疗+首批,3600.0,1111.374,2488.626,是
S007-WAT-01,S007,首批,3600.0,1111.374,2488.626,是
S006-WAT-01,S006,首批,3600.0,1065.422,2534.578,是
S010-WAT-01,S010,首批,3600.0,1055.239,2544.761,是
S006-MED-01,S006,医疗+首批,3600.0,1029.422,2570.578,是
S010-MED-01,S010,医疗+首批,3600.0,1025.239,2574.761,是
S004-WAT-01,S004,首批,7200.0,4597.228,2602.772,是
S008-WAT-01,S008,首批,7200.0,4327.066,2872.934,是
S008-MED-01,S008,医疗+首批,7200.0,4297.066,2902.934,是
S005-WAT-01,S005,首批,10800.0,7115.994,3684.0060000000003,是
S005-MED-01,S005,医疗+首批,10800.0,7079.994,3720.0060000000003,是
S004-MED-01,S004,医疗+首批,7200.0,3429.494,3770.506,是
S011-WAT-01,S011,首批,10800.0,6510.689,4289.311,是
S011-MED-01,S011,医疗+首批,10800.0,6474.689,4325.311,是
S009-WAT-01,S009,首批,10800.0,6088.583,4711.417,是
S009-MED-01,S009,医疗+首批,10800.0,6058.583,4741.417,是
S015-WAT-01,S015,首批,10800.0,5326.273,5473.727,是
