货箱,架次,服务区,交接次序,交接开始s,交付完成s,期望时刻s,硬截止s,首批,优先系数,逾期s
S001-FOD-01,Q2-010,S001,6,2797.827,2833.827,7200.0,,否,10,0
S001-FOD-02,Q2-010,S001,7,2833.827,2869.827,7200.0,,否,10,0
S001-FOD-03,Q2-014,S001,5,3254.117,3290.117,7200.0,,否,10,0
S001-HYG-01,Q2-010,S001,8,2869.827,2905.827,10800.0,,否,8,0
S001-HYG-02,Q2-010,S001,9,2905.827,2941.827,10800.0,,否,8,0
S001-MED-01,Q2-010,S001,1,2617.827,2653.827,3600.0,3600.0,是,24,0
S001-MED-02,Q2-010,S001,2,2653.827,2689.827,3600.0,3600.0,否,24,0
S001-WAT-01,Q2-014,S001,1,3110.117,3146.117,3600.0,3600.0,是,12,0
S001-WAT-02,Q2-014,S001,2,3146.117,3182.117,3600.0,,否,12,0
S001-WAT-03,Q2-014,S001,3,3182.117,3218.117,3600.0,,否,12,0
S001-WAT-04,Q2-010,S001,3,2689.827,2725.827,3600.0,,否,12,0
S001-WAT-05,Q2-010,S001,4,2725.827,2761.827,3600.0,,否,12,0
S001-WAT-06,Q2-010,S001,5,2761.827,2797.827,3600.0,,否,12,0
S001-WAT-07,Q2-015,S001,1,3573.991,3603.991,3600.0,,否,12,3.9909999999999854
S001-WAT-08,Q2-014,S001,4,3218.117,3254.117,3600.0,,否,12,0
S002-FOD-01,Q2-002,S002,5,1445.332,1481.332,7200.0,,否,10,0
S002-FOD-02,Q2-002,S002,6,1481.332,1517.332,7200.0,,否,10,0
S002-HYG-01,Q2-002,S002,7,1517.332,1553.332,10800.0,,否,8,0
S002-MED-01,Q2-002,S002,1,1301.332,1337.332,3600.0,3600.0,是,24,0
S002-WAT-01,Q2-002,S002,2,1337.332,1373.332,3600.0,3600.0,是,12,0
S002-WAT-02,Q2-012,S002,1,2921.296,2951.296,3600.0,,否,12,0
S002-WAT-03,Q2-002,S002,3,1373.332,1409.332,3600.0,,否,12,0
S002-WAT-04,Q2-002,S002,4,1409.332,1445.332,3600.0,,否,12,0
S003-FOD-01,Q2-022,S003,5,6311.823,6347.823,10800.0,,否,8,0
S003-FOD-02,Q2-022,S003,6,6347.823,6383.823,10800.0,,否,8,0
S003-HYG-01,Q2-022,S003,7,6383.823,6419.823,14400.0,,否,6,0
S003-MED-01,Q2-022,S003,1,6167.823,6203.823,7200.0,7200.0,是,20,0
S003-WAT-01,Q2-022,S003,2,6203.823,6239.823,7200.0,7200.0,是,10,0
S003-WAT-02,Q2-022,S003,3,6239.823,6275.823,7200.0,,否,10,0
S003-WAT-03,Q2-019,S003,1,4714.278,4744.278,7200.0,,否,10,0
S003-WAT-04,Q2-022,S003,4,6275.823,6311.823,7200.0,,否,10,0
S004-FOD-01,Q2-013,S004,2,3429.494,3459.494,10800.0,,否,8,0
S004-HYG-01,Q2-018,S004,4,4669.228,4705.228,14400.0,,否,6,0
S004-MED-01,Q2-013,S004,1,3399.494,3429.494,7200.0,7200.0,是,20,0
S004-WAT-01,Q2-018,S004,1,4561.228,4597.228,7200.0,7200.0,是,10,0
S004-WAT-02,Q2-018,S004,2,4597.228,4633.228,7200.0,,否,10,0
S004-WAT-03,Q2-018,S004,3,4633.228,4669.228,7200.0,,否,10,0
S005-FOD-01,Q2-024,S005,4,7151.994,7187.994,14400.0,,否,6,0
