figure,from,to,cruise_altitude_m,traversals,forward,backward,types,sorties
01_问题一二维路线总览,O01,S001,273.0566101074219,4,2,2,C,Q1-S001-01;Q1-S001-02
01_问题一二维路线总览,O01,S002,308.9542541503906,4,2,2,B;C,Q1-S002-01;Q1-S002-02
01_问题一二维路线总览,O01,S003,561.8041381835938,4,2,2,B;C,Q1-S003-01;Q1-S003-02
01_问题一二维路线总览,O01,S004,398.2391662597656,2,1,1,C,Q1-S004-01
01_问题一二维路线总览,O01,S005,326.410888671875,2,1,1,C,Q1-S005-01
01_问题一二维路线总览,O01,S006,366.09783935546875,2,1,1,C,Q1-S006-01
01_问题一二维路线总览,O01,S007,511.9731750488281,2,1,1,C,Q1-S007-01
01_问题一二维路线总览,O01,S008,372.9093322753906,2,1,1,C,Q1-S008-01
01_问题一二维路线总览,O01,S009,293.2289123535156,2,1,1,B,Q1-S009-01
01_问题一二维路线总览,O01,S010,435.63653564453125,2,1,1,B,Q1-S010-01
01_问题一二维路线总览,O01,S011,295.36175537109375,2,1,1,B,Q1-S011-01
01_问题一二维路线总览,O01,S012,413.3009948730469,2,1,1,B,Q1-S012-01
01_问题一二维路线总览,O01,S013,399.18182373046875,2,1,1,B,Q1-S013-01
01_问题一二维路线总览,O01,S014,591.9473876953125,2,1,1,B,Q1-S014-01
01_问题一二维路线总览,O01,S015,571.7992553710938,2,1,1,B,Q1-S015-01
02_问题一三维地形航迹,O01,S001,273.0566101074219,4,2,2,C,Q1-S001-01;Q1-S001-02
02_问题一三维地形航迹,O01,S002,308.9542541503906,4,2,2,B;C,Q1-S002-01;Q1-S002-02
02_问题一三维地形航迹,O01,S003,561.8041381835938,4,2,2,B;C,Q1-S003-01;Q1-S003-02
02_问题一三维地形航迹,O01,S004,398.2391662597656,2,1,1,C,Q1-S004-01
02_问题一三维地形航迹,O01,S005,326.410888671875,2,1,1,C,Q1-S005-01
02_问题一三维地形航迹,O01,S006,366.09783935546875,2,1,1,C,Q1-S006-01
02_问题一三维地形航迹,O01,S007,511.9731750488281,2,1,1,C,Q1-S007-01
02_问题一三维地形航迹,O01,S008,372.9093322753906,2,1,1,C,Q1-S008-01
02_问题一三维地形航迹,O01,S009,293.2289123535156,2,1,1,B,Q1-S009-01
02_问题一三维地形航迹,O01,S010,435.63653564453125,2,1,1,B,Q1-S010-01
02_问题一三维地形航迹,O01,S011,295.36175537109375,2,1,1,B,Q1-S011-01
02_问题一三维地形航迹,O01,S012,413.3009948730469,2,1,1,B,Q1-S012-01
02_问题一三维地形航迹,O01,S013,399.18182373046875,2,1,1,B,Q1-S013-01
02_问题一三维地形航迹,O01,S014,591.9473876953125,2,1,1,B,Q1-S014-01
02_问题一三维地形航迹,O01,S015,571.7992553710938,2,1,1,B,Q1-S015-01
03_问题二维路线总览,O01,S001,273.0566101074219,6,3,3,A;C,Q2-004;Q2-007;Q2-013
03_问题二维路线总览,O01,S002,308.9542541503906,6,3,3,B;C,Q2-002;Q2-016;Q2-023
03_问题二维路线总览,O01,S003,561.8041381835938,8,4,4,A;B,Q2-010;Q2-026;Q2-027;Q2-028
03_问题二维路线总览,O01,S004,398.2391662597656,4,2,2,C,Q2-020;Q2-024
03_问题二维路线总览,O01,S005,326.410888671875,4,2,2,A;B;C,Q2-005;Q2-029;Q2-033
03_问题二维路线总览,O01,S006,366.09783935546875,8,4,4,A;B,Q2-001;Q2-006;Q2-009;Q2-035
03_问题二维路线总览,O01,S007,511.9731750488281,6,3,3,A;B,Q2-014;Q2-017;Q2-030
03_问题二维路线总览,O01,S008,372.9093322753906,7,3,4,A;B;C,Q2-005;Q2-019;Q2-025;Q2-032
03_问题二维路线总览,O01,S009,293.2289123535156,1,0,1,C,Q2-012
03_问题二维路线总览,O01,S010,435.63653564453125,6,3,3,A;B,Q2-011;Q2-015;Q2-022
03_问题二维路线总览,O01,S011,295.36175537109375,5,3,2,A;B;C,Q2-029;Q2-034;Q2-036
03_问题二维路线总览,O01,S012,413.3009948730469,1,1,0,C,Q2-012
03_问题二维路线总览,O01,S013,399.18182373046875,4,2,2,A,Q2-003;Q2-021
03_问题二维路线总览,O01,S014,591.9473876953125,4,2,2,A,Q2-008;Q2-031
03_问题二维路线总览,O01,S015,571.7992553710938,2,1,1,A,Q2-018
03_问题二维路线总览,S005,S008,366.78717041015625,1,1,0,B,Q2-005
03_问题二维路线总览,S005,S015,618.6133422851562,1,0,1,C,Q2-029
03_问题二维路线总览,S009,S012,360.91961669921875,1,0,1,C,Q2-012
03_问题二维路线总览,S011,S015,588.7306518554688,1,1,0,C,Q2-029
04_问题二三维地形航迹,O01,S001,273.0566101074219,6,3,3,A;C,Q2-004;Q2-007;Q2-013
04_问题二三维地形航迹,O01,S002,308.9542541503906,6,3,3,B;C,Q2-002;Q2-016;Q2-023
04_问题二三维地形航迹,O01,S003,561.8041381835938,8,4,4,A;B,Q2-010;Q2-026;Q2-027;Q2-028
04_问题二三维地形航迹,O01,S004,398.2391662597656,4,2,2,C,Q2-020;Q2-024
04_问题二三维地形航迹,O01,S005,326.410888671875,4,2,2,A;B;C,Q2-005;Q2-029;Q2-033
04_问题二三维地形航迹,O01,S006,366.09783935546875,8,4,4,A;B,Q2-001;Q2-006;Q2-009;Q2-035
04_问题二三维地形航迹,O01,S007,511.9731750488281,6,3,3,A;B,Q2-014;Q2-017;Q2-030
04_问题二三维地形航迹,O01,S008,372.9093322753906,7,3,4,A;B;C,Q2-005;Q2-019;Q2-025;Q2-032
04_问题二三维地形航迹,O01,S009,293.2289123535156,1,0,1,C,Q2-012
04_问题二三维地形航迹,O01,S010,435.63653564453125,6,3,3,A;B,Q2-011;Q2-015;Q2-022
04_问题二三维地形航迹,O01,S011,295.36175537109375,5,3,2,A;B;C,Q2-029;Q2-034;Q2-036
04_问题二三维地形航迹,O01,S012,413.3009948730469,1,1,0,C,Q2-012
04_问题二三维地形航迹,O01,S013,399.18182373046875,4,2,2,A,Q2-003;Q2-021
04_问题二三维地形航迹,O01,S014,591.9473876953125,4,2,2,A,Q2-008;Q2-031
04_问题二三维地形航迹,O01,S015,571.7992553710938,2,1,1,A,Q2-018
04_问题二三维地形航迹,S005,S008,366.78717041015625,1,1,0,B,Q2-005
04_问题二三维地形航迹,S005,S015,618.6133422851562,1,0,1,C,Q2-029
04_问题二三维地形航迹,S009,S012,360.91961669921875,1,0,1,C,Q2-012
04_问题二三维地形航迹,S011,S015,588.7306518554688,1,1,0,C,Q2-029
05_问题二分无人机二维路线_U01,O01,S005,326.410888671875,2,1,1,A,Q2-033
05_问题二分无人机二维路线_U01,O01,S006,366.09783935546875,2,1,1,A,Q2-001
05_问题二分无人机二维路线_U01,O01,S008,372.9093322753906,2,1,1,A,Q2-025
05_问题二分无人机二维路线_U01,O01,S010,435.63653564453125,2,1,1,A,Q2-011
05_问题二分无人机二维路线_U01,O01,S015,571.7992553710938,2,1,1,A,Q2-018
05_问题二分无人机二维路线_U02,O01,S003,561.8041381835938,2,1,1,A,Q2-027
05_问题二分无人机二维路线_U02,O01,S007,511.9731750488281,2,1,1,A,Q2-014
05_问题二分无人机二维路线_U02,O01,S013,399.18182373046875,4,2,2,A,Q2-003;Q2-021
05_问题二分无人机二维路线_U03,O01,S001,273.0566101074219,2,1,1,A,Q2-004
05_问题二分无人机二维路线_U03,O01,S003,561.8041381835938,2,1,1,A,Q2-010
05_问题二分无人机二维路线_U03,O01,S008,372.9093322753906,2,1,1,A,Q2-019
05_问题二分无人机二维路线_U03,O01,S014,591.9473876953125,2,1,1,A,Q2-031
05_问题二分无人机二维路线_U04,O01,S003,561.8041381835938,2,1,1,A,Q2-026
05_问题二分无人机二维路线_U04,O01,S010,435.63653564453125,2,1,1,A,Q2-015
05_问题二分无人机二维路线_U04,O01,S011,295.36175537109375,2,1,1,A,Q2-034
05_问题二分无人机二维路线_U04,O01,S014,591.9473876953125,2,1,1,A,Q2-008
05_问题二分无人机二维路线_U05,O01,S002,308.9542541503906,2,1,1,B,Q2-016
05_问题二分无人机二维路线_U05,O01,S003,561.8041381835938,2,1,1,B,Q2-028
05_问题二分无人机二维路线_U05,O01,S005,326.410888671875,1,1,0,B,Q2-005
